FeatureID,mz,RT,C,H,O,N,S,P,Cl,Br,B,Se,I,H/C,O/C,N/C,AI-mod,DBE,DBE/C,Formula,ZodiacScore
427,320.2586336,11.10817168,20,33,2,1,0,0,0,0,0,0,0,1.65,0.1,0.05,0.194444444,5,0.25,C20H33NO2,1
428,320.2583331,11.64882859,20,33,2,1,0,0,0,0,0,0,0,1.65,0.1,0.05,0.194444444,5,0.25,C20H33NO2,1
429,321.31499,12.36941228,22,40,1,0,0,0,0,0,0,0,0,1.818181818,0.045454545,0,0.11627907,3,0.136363636,C22H40O,1
430,322.2950554,10.64789356,15,37,3,4,0,0,0,0,0,0,0,2.466666667,0.2,0.266666667,0,-0.5,-0.033333333,C15H37N4O3,1
431,326.1961245,6.203560126,17,27,5,1,0,0,0,0,0,0,0,1.588235294,0.294117647,0.058823529,0.148148148,5,0.294117647,C17H27NO5,1
432,326.378019,11.62413417,22,47,0,1,0,0,0,0,0,0,0,2.136363636,0,0.045454545,0,0,0,C22H47N,1
433,327.0806394,10.22983106,14,18,4,1,0,2,0,0,0,0,0,1.285714286,0.285714286,0.071428571,0.444444444,7.5,0.535714286,C14H18NO4P2,0.79019019
434,327.1989287,3.242373801,14,30,8,0,0,0,0,0,0,0,0,2.142857143,0.571428571,0,0,0,0,C14H30O8,1
435,327.2522123,10.64659476,17,36,4,0,0,0,0,0,0,0,0,2.117647059,0.235294118,0,0,0,0,C17H36O4,0.718918919
436,328.231027,2.874262981,12,31,6,4,0,0,0,0,0,0,0,2.583333333,0.5,0.333333333,0,-0.5,-0.041666667,C12H31N4O6,0.646946947
437,328.9154219,13.11528532,5,8,6,1,4,0,0,0,0,0,0,1.6,1.2,0.2,0,2.5,0.5,C5H8NO6S4,1
438,329.1936379,8.169328812,17,28,6,0,0,0,0,0,0,0,0,1.647058824,0.352941176,0,0.071428571,4,0.235294118,C17H28O6,1
439,329.3161881,9.704930863,19,40,2,2,0,0,0,0,0,0,0,2.105263158,0.105263158,0.105263158,0,1,0.052631579,C19H40N2O2,1
440,330.2426863,6.064396918,18,33,5,0,0,0,0,0,0,0,0,1.833333333,0.277777778,0,0,2.5,0.138888889,C18H33O5,0.966466466
441,330.3365566,10.20306673,20,43,2,1,0,0,0,0,0,0,0,2.15,0.1,0.05,0,0,0,C20H43NO2,1
442,331.2092243,5.433806543,14,34,0,3,2,0,0,0,0,0,0,2.428571429,0,0.214285714,0,-0.5,-0.035714286,C14H34N3S2,0.524624625
443,332.2794094,9.643458054,18,37,4,1,0,0,0,0,0,0,0,2.055555556,0.222222222,0.055555556,0,1,0.055555556,C18H37NO4,1
444,332.3141796,9.944935497,19,41,3,1,0,0,0,0,0,0,0,2.157894737,0.157894737,0.052631579,0,0,0,C19H41NO3,1
445,332.3310024,10.5629544,20,43,3,0,0,0,0,0,0,0,0,2.15,0.15,0,0,-0.5,-0.025,C20H43O3,0.9997998
446,333.2998011,11.10544249,19,40,4,0,0,0,0,0,0,0,0,2.105263158,0.210526316,0,0,0,0,C19H40O4,1
447,334.2699494,4.34664501,16,35,4,3,0,0,0,0,0,0,0,2.1875,0.25,0.1875,0,1,0.0625,C16H35N3O4,0.972972973
448,334.2954469,8.8797956,18,39,4,1,0,0,0,0,0,0,0,2.166666667,0.222222222,0.055555556,0,0,0,C18H39NO4,1
449,335.2205538,10.40386447,20,30,4,0,0,0,0,0,0,0,0,1.5,0.2,0,0.222222222,6,0.3,C20H30O4,1
450,336.3107226,10.90931544,16,39,3,4,0,0,0,0,0,0,0,2.4375,0.1875,0.25,0,-0.5,-0.03125,C16H39N4O3,1
451,336.3259357,11.7462523,22,41,1,1,0,0,0,0,0,0,0,1.863636364,0.045454545,0.045454545,0.097560976,3,0.136363636,C22H41NO,1
452,337.1034641,9.916035365,17,21,3,0,1,1,0,0,0,0,0,1.235294118,0.176470588,0,0.37037037,8,0.470588235,C17H21O3PS,1
