SampleID,Pn_multiseries_A_DOM_I_t,Pn_multiseries_A_DOM_II_t,Pn_multiseries_B_DOM_I_t,Pn_multiseries_B_DOM_II_t,Pn_delicatissima_A_DOM_I_t,Pn_delicatissima_A_DOM_II_t,Pn_delicatissima_B_DOM_I_t,Pn_delicatissima_B_DOM_II_t,Pn_subpacifica_A_DOM_I_t,Pn_subpacifica_A_DOM_II_t,Pn_subpacifica_B_DOM_I_t,Pn_subpacifica_B_DOM_II_t,Pn_galaxiae_A_DOM_I_t,Pn_galaxiae_A_DOM_II_t,Pn_galaxiae_B_DOM_I_t,Pn_galaxiae_B_DOM_II_t,Pn_hasleana_A_DOM_I_t,Pn_hasleana_A_DOM_II_t,Pn_hasleana_B_DOM_I_t,Pn_hasleana_B_DOM_II_t,Pn_multiseries_A_Unfil_I_t,Pn_multiseries_A_Unfil_II_t,Pn_multiseries_B_Unfil_I_t,Pn_multiseries_B_Unfil_II_t,Pn_delicatissima_A_Unfil_I_t,Pn_delicatissima_A_Unfil_II_t,Pn_delicatissima_B_Unfil_I_t,Pn_delicatissima_B_Unfil_II_t,Pn_subpacifica_A_Unfil_I_t,Pn_subpacifica_A_Unfil_II_t,Pn_subpacifica_B_Unfil_I_t,Pn_subpacifica_B_Unfil_II_t,Pn_galaxiae_A_Unfil_I_t,Pn_galaxiae_A_Unfil_II_t,Pn_galaxiae_B_Unfil_I_t,Pn_galaxiae_B_Unfil_II_t,Pn_hasleana_A_Unfil_I_t,Pn_hasleana_A_Unfil_II_t,Pn_hasleana_B_Unfil_I_t,Pn_hasleana_B_Unfil_II_t
186,0.018712773,0.019756867,0.030748316,0.024150536,0.025269486,0.026896904,0.02571997,0.028360811,0.036532337,0.035864961,0.034267223,0.034590159,0.028201628,0.031166865,0.016574835,0.01671975,0.012068516,0.012458412,0.022727999,0.02609915,0.010938454,0.010283323,0.01040312,0.009828688,0.010559458,0.008871418,0.01477528,0.009476428,0.031870627,0.032796655,0.028533383,0.027638424,0.014091492,0.015752953,0.008831876,0.00966969,0.008037499,0.007064052,0.01279613,0.005761976
188,0.013329048,0.01483402,0.011703173,0.016534053,0.011224183,0.010446433,0.008062345,0.01244532,0.010163737,0.010368599,0.011156978,0.010435802,0.010964845,0.013790107,0.006292895,0.005700908,0.006942678,0.004571668,0.010287698,0.007085255,0.007252649,0.003660609,0.006074574,0.003193749,0.003316631,0.003794742,0.005983346,0.004636826,0.006426552,0.006928259,0.007700725,0.006395354,0.005244068,0.005253594,0.005118616,0.003974932,0.004074321,0.002787476,0.003464109,0.00309193
189,0.032618051,0.01483402,0.030527077,0.037010503,0.011224183,0.010446433,0.008062345,0.01244532,0.009700668,0.010368599,0.01968276,0.010435802,0.010964845,0.029429764,0.006292895,0.009741817,0.006942678,0.004571668,0.010287698,0.007085255,0.007252649,0.003660609,0.006074574,0.003193749,0.003316631,0.003794742,0.005983346,0.004636826,0.006426552,0.006928259,0.007700725,0.006395354,0.005244068,0.005253594,0.005118616,0.003974932,0.010650929,0.007176412,0.007231937,0.00309193
194,0.006877554,0.006237027,0.006949876,0.009219675,0.020938889,0.007886779,0.015215021,0.007918416,0.019542303,0.00705697,0.011691673,0.010920977,0.00592456,0.011400773,0.0088092,0.007218096,0.005513647,0.003885882,0.008683426,0.005244068,0.006418767,0.002694442,0.011271574,0.004301176,0.003821004,0.001857419,0.006164453,0.002071233,0.004858002,0.020420234,0.005186544,0.014951611,0.005366589,0.004785413,0.005830985,0.002085667,0.003860061,0.001897368,0.002703704,0.001852027
209,0.032167963,0.034859822,0.035530341,0.035299653,0.029270765,0.030417681,0.028947712,0.031315915,0.017324896,0.017302915,0.014037448,0.014419723,0.014784888,0.014789319,0.008117971,0.008012576,0.006841106,0.007470009,0.011859705,0.011480322,0.018939453,0.018296184,0.0186497,0.018337249,0.015756476,0.014653067,0.014813914,0.013498002,0.014221133,0.013810942,0.013115215,0.012057199,0.005753292,0.007596125,0.005338564,0.005215386,0.004219017,0.003885882,0.004898999,0.003728279
231,0.051161264,0.054860296,0.047309199,0.048968685,0.057544787,0.060748897,0.063930957,0.059868759,0.048544769,0.047166824,0.083879588,0.087165647,0.043681762,0.044358587,0.044819066,0.047348314,0.031472814,0.031091743,0.042418663,0.041977205,0.024397317,0.023163634,0.024163436,0.01038715,0.027185751,0.025671146,0.022350149,0.019487408,0.036871941,0.038017301,0.047201686,0.04847239,0.015745332,0.022225331,0.018527069,0.019765624,0.019353908,0.017036111,0.019746688,0.018239377
235,0.00261343,0.001931322,0.003193749,0.004110973,0.002406244,0.003160701,0.003420533,0.004347427,0.001702939,0.001577974,0.001857419,0.002037156,0.006348271,0.008567485,0.00736892,0.010158866,0.007668191,0.006503891,0.009038928,0.008142571,0.001624808,0.002553432,0.001587451,0.000524404,0.001118034,0.001048809,0.001646209,0.000950263,0.001452584,0.001403567,0.000961769,0.001086278,0.003028205,0.004110973,0.002170255,0.002896554,0.004990011,0.004183312,0.003898728,0.003633188
252,0.008786466,0.008910786,0.009279142,0.008567485,0.011035848,0.011342157,0.010708613,0.012853758,0.004024933,0.003240376,0.004207149,0.003405884,0.007746044,0.007169441,0.006826472,0.005522709,0.005108838,0.005744594,0.008820545,0.007113428,0.003577716,0.004183312,0.004393191,0.002197728,0.0053198,0.003872993,0.005069538,0.003807896,0.002323792,0.002269363,0.002592299,0.001862795,0.002961423,0.002557345,0.002632492,0.003240376,0.003535541,0.0036194,0.002184035,0.002668336
260,0,0.001552418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101489,0,0,0,0,0.000350714,0.003376395,0,0,0.000121244,0,0,0,0,0,0.00225832,0,0,0,0.00011619,0,7.89E-05,0,0.000638749,0
268,0.033932549,0.034735935,0.041154745,0.0420658,0.028055347,0.028771781,0.030433615,0.029782499,0.027717643,0.02640104,0.028277785,0.028726155,0.029898132,0.032189343,0.022172631,0.023393606,0.013208223,0.012684977,0.032652578,0.031883231,0.017856172,0.017064063,0.020369054,0.013700903,0.012985741,0.01182601,0.01151442,0.010455381,0.021848843,0.0235021,0.024466292,0.024367961,0.011240966,0.016565177,0.012117805,0.013515033,0.008049932,0.006949876,0.008989003,0.008526533
