feature,DOM,Unfil,MeanDecreaseAccuracy,MeanDecreaseGini
X1883,7.222222222222222e-6,0,4.033613445378151e-6,7.549999999999996e-5
X1895,0,0,0,0
X1900,2.8166666666666666e-5,2.8968253968253967e-5,2.8064868052484152e-5,0.002687566801619433
X1906,0,0,0,0
X1925,0,0,0,0
X1928,0,0,0,0
X1951,0,0,0,0
X1952,0,0,0,0
X1961,0,0,0,0
X1966,0,0,0,0
X1967,0,0,0,0
X1992,0,0,0,0
X2003,0,0,0,0
X2004,0,0,0,0
X2014,0,0,0,0
X2023,0,0,0,0
X2036,4e-6,2.5e-6,3.076923076923077e-6,3.64e-4
X2041,2.857142857142857e-6,4e-6,3.3333333333333333e-6,3.7894736842105276e-5
X2047,0,0,0,0
X2049,2.857142857142857e-6,0,1.8181818181818183e-6,3.714285714285715e-5
X2052,0,0,0,0
X2058,0,0,0,0
X2067,2.0666666666666663e-5,9.494949494949495e-6,1.413533834586466e-5,8.304e-4
X2070,0,0,0,0
X2071,0,0,0,0
X2072,0,0,0,0
X2088,5e-6,0,2.857142857142857e-6,3.799999999999997e-5
X2089,0,0,0,0
X2093,4.444444444444444e-6,0,2.666666666666667e-6,3.7777777777777785e-5
X2105,8.214285714285714e-6,5e-6,6.761904761904763e-6,3.3986956521739125e-4
X2116,0,0,0,0
X2118,0,0,0,0
X2120,0,0,0,0
X2141,0,0,0,0
X2146,3.3333333333333333e-6,2.857142857142857e-6,3.076923076923077e-6,7.200000000000003e-5
X2149,0,0,0,7.058823529411764e-5
X2150,0,0,0,0
X2152,0,0,0,0
X2168,0,0,0,3.714285714285715e-5
X2177,0,0,0,3.799999999999997e-5
X2178,0,0,0,0
X2185,5e-6,2.222222222222222e-6,3.076923076923077e-6,3.7894736842105276e-5
X2186,0,0,0,0
X2187,0,0,0,0
X2191,0,0,0,0
X2193,0,0,0,0
X2197,0,0,0,0
X2199,0,0,0,3.80952380952381e-5
X2200,5.714285714285714e-6,0,2.857142857142857e-6,3.81818181818182e-5
X2206,6.666666666666667e-6,0,1.6666666666666667e-6,3.851851851851855e-5
X2209,8.571428571428571e-6,0,4.2857142857142855e-6,1.05e-4
X2221,0,0,0,3.75e-5
X2231,4.444444444444444e-6,2.857142857142857e-6,3.75e-6,3.81818181818182e-5
X2237,0,0,0,7.577777777777776e-5
X2238,0,0,0,0
X2239,0,0,0,0
X2244,0,0,0,0
X2253,0,0,0,0
X2261,2.857142857142857e-6,2e-6,2.352941176470588e-6,3.846153846153847e-5
X2264,0,0,0,0
X2266,0,0,0,0
X2274,0,0,0,0
X2278,0,0,0,0
X2281,2.5e-6,0,1.4285714285714284e-6,3.7894736842105276e-5
X2287,0,0,0,0
X2296,0,0,0,0
X2306,0,0,0,0
X2320,0,0,0,3.81818181818182e-5
X2331,0,0,0,0
X2335,0,0,0,7.23809523809524e-5
X2343,0,0,0,0
X2345,0,0,0,0
X2347,0,0,0,0
X2350,0,0,0,0
X2360,0,0,0,0
X2371,1e-5,0,5e-6,3.799999999999997e-5
X2387,0,0,0,3.75e-5
X2388,0,0,0,0
X2392,0.0022966435786435776,0.0023339994449994438,0.0022139393216003135,0.09042220634920634
X2393,0,0,0,0
X2402,0,0,0,0
X2408,0,0,0,3.764705882352942e-5
X2411,6.064285714285714e-5,7.559523809523809e-5,6.734453781512605e-5,0.005490739130434783
X2413,0,0,0,0
X2414,0,0,0,7.652173913043484e-5
X2415,2e-6,0,1.3333333333333334e-6,3.857142857142854e-5
X2426,2.857142857142857e-6,3.3333333333333333e-6,3.076923076923077e-6,3.799999999999997e-5
X2430,0,0,0,0
X2440,4.444444444444444e-6,6.666666666666667e-6,5e-6,3.714285714285715e-5
X2443,0,0,0,0
X2445,0,0,0,0
X2453,0,0,0,3.7777777777777785e-5
X2458,0,0,0,0
X2459,0,0,0,0
X2463,0,0,0,0
X2468,0,0,0,0
X2470,0,0,0,0
X2474,2.2979076479076478e-5,5.413492063492064e-5,3.477594627594627e-5,0.0034175047619047615
X2480,0,0,0,0
X2481,0,0,0,0
X2482,0,0,0,0
X2488,0,0,0,0
X2498,-2.857142857142857e-6,0,-1.25e-6,3.81818181818182e-5
X2500,0,2e-5,3.6363636363636366e-6,3.3932592592592596e-4
X2510,0,0,0,0
X2513,1.2380952380952381e-5,1.8469696969696968e-5,1.498015873015873e-5,0.0014627497665732961
X2531,3.3333333333333333e-6,0,1.25e-6,3.7777777777777785e-5
X2534,0,0,0,0
X2537,0,0,0,3.7777777777777785e-5
X2545,5e-6,0,2.666666666666667e-6,3.7894736842105276e-5
X2549,4.444444444444444e-6,5e-6,4.705882352941176e-6,3.7894736842105276e-5
X2557,0,0,0,0
X2567,0,0,0,0
X2568,9.879826839826837e-4,0.0010152763347763348,9.575099965394074e-4,0.050161020013802626
X2569,0,0,0,0
X2594,0,0,0,0
X2597,0,0,0,0
X2598,2.222222222222222e-6,0,1.3333333333333334e-6,7.36e-5
X2599,0,0,0,0
X2602,0,2.5e-6,1.25e-6,3.80952380952381e-5
X2605,0,0,0,0
X2606,0,0,0,0
X2608,2e-6,0,1.3333333333333334e-6,7.11111111111111e-5
X2620,0,0,0,0
X2622,0,0,0,0
X2635,0,0,0,0
X2641,1.5238095238095238e-5,8.571428571428571e-6,1.1648351648351647e-5,4.382608695652174e-4
X2645,0,2.5e-6,1.3333333333333334e-6,3.799999999999997e-5
X2646,5e-6,1.8181818181818183e-6,2.666666666666667e-6,3.64e-4
X2649,0,0,0,0
X2651,0,0,0,0
X2669,0,0,0,0
X2671,0,0,0,0
X2674,0,0,0,0
X2680,0,0,0,0
X2683,4.444444444444444e-6,3.3333333333333333e-6,4.2051282051282055e-6,1.0900584795321638e-4
X2684,0,0,0,0
X2688,0,0,0,0
X2692,2.857142857142857e-6,2.857142857142857e-6,2.857142857142857e-6,1.1142857142857146e-4
X2695,0,0,0,3.75e-5
X2705,0,0,0,0
X2706,0,0,0,0
X2707,0,0,0,3.799999999999997e-5
X2708,0,3.3333333333333333e-6,1.3333333333333334e-6,3.840000000000003e-5
X2710,0,0,0,0
X2711,0,0,0,0
X2712,2.9307081807081802e-5,2.6969696969696968e-5,2.5995564892623717e-5,0.002799836864889496
X2713,0,0,0,0
X2724,0,0,0,0
X2726,4e-6,6.857142857142857e-6,6e-6,1.4751515151515158e-4
X2727,3.55021645021645e-5,4.158730158730158e-5,3.5815018315018313e-5,0.002407
X2730,0,0,0,0
X2737,0,0,0,0
X2738,0,0,0,0
X2739,0,0,0,0
X2747,0,0,0,0
X2756,0,0,0,0
X2758,0,0,0,0
X2760,4.444444444444444e-6,0,2.666666666666667e-6,3.7777777777777785e-5
X2767,0,0,0,0
X2768,0,0,0,0
X2771,0,0,0,7.64e-5
X2773,0,0,0,0
X2774,0,0,0,0
X2782,0,0,0,0
X2784,0,0,0,3.9600000000000003e-4
X2785,0,0,0,0
X2790,4.166666666666667e-6,5e-6,5.128205128205128e-6,7.609523809523807e-5
X2791,0,0,0,3.7894736842105276e-5
X2792,4.444444444444444e-6,4.642857142857143e-6,4.69607843137255e-6,6.738947368421051e-4
X2795,0,0,0,7.23809523809524e-5
X2798,0,0,0,0
X2799,0,0,0,0
X2801,0,0,0,7.42857142857143e-5
X2803,0,0,0,0
X2804,0,0,0,0
X2807,0,0,0,0
X2808,0,0,0,0
X2809,0,0,0,0
X2813,0,0,0,0
X2820,4e-6,4e-6,4e-6,3.840000000000003e-5
X2821,0,0,0,0
X2822,0,0,0,0
X2825,5e-6,2.857142857142857e-6,4e-6,1.1292753623188406e-4
X2829,0,0,0,0
X2834,2.857142857142857e-6,0,1.25e-6,7.599999999999994e-5
X2836,0,0,0,0
X2837,0,0,0,0
X2840,0,0,0,0
X2842,0,0,0,0
X2843,2.5e-6,2.857142857142857e-6,2.666666666666667e-6,3.799999999999997e-5
X2845,0,0,0,0
X2847,0,0,0,0
X2853,0,0,0,0
X2857,2.222222222222222e-6,8e-6,4.2857142857142855e-6,3.7777777777777785e-5
X2860,0,0,0,0
X2862,0,0,0,0
X2864,0,0,0,0
X2865,0,0,0,0
X2871,2.857142857142857e-6,3.3333333333333333e-6,3.076923076923077e-6,3.8333333333333355e-5
X2872,2.857142857142857e-6,2.222222222222222e-6,2.5e-6,3.75e-5
X2881,0,0,0,0
X2882,1.873015873015873e-5,2.5e-6,1.1499999999999998e-5,1.1429951690821263e-4
X2883,7.911544011544011e-5,1.060079365079365e-4,8.792719354948459e-5,0.005231839160839162
X2888,0,0,0,0
X2889,0,0,0,0
X2895,0,0,0,0
X2897,6.857142857142857e-6,1.3968253968253968e-5,1.0672268907563025e-5,5.519200746965453e-4
X2898,5.714285714285714e-6,2.857142857142857e-6,4.2857142857142855e-6,3.7894736842105276e-5
X2900,0,0,0,0
X2903,0,0,0,0
X2907,0,0,0,7.666666666666671e-5
X2908,4e-6,1.6666666666666664e-5,9.454545454545454e-6,7.590000000000003e-5
X2910,0,0,0,0
X2915,0,0,0,0
X2917,0,0,0,3.799999999999997e-5
X2921,0,0,0,0
X2925,2.857142857142857e-6,5.714285714285714e-6,4.285714285714286e-6,1.1427301587301592e-4
X2926,0,0,0,0
X2930,0,0,0,0
X2932,0,0,0,0
X2936,0,5e-6,2.857142857142857e-6,3.764705882352942e-5
X2937,0,0,0,0
X2939,0,0,0,3.81818181818182e-5
X2947,0,0,0,3.7777777777777785e-5
X2948,0,0,0,0
X2951,0,0,0,0
X2953,0,0,0,0
X2956,0,0,0,0
X2962,0,0,0,3.826086956521742e-5
X2963,2.222222222222222e-6,0,1.3333333333333334e-6,3.799999999999997e-5
X2969,0,0,0,0
X2970,0,2e-6,1.176470588235294e-6,3.75e-5
X2972,0,0,0,0
X2974,8e-6,0,3.6363636363636366e-6,3.799999999999997e-5
X2975,0,0,0,0
X2979,0,0,0,0
X2986,2.222222222222222e-6,4e-6,2.857142857142857e-6,3.764705882352942e-5
X2987,0,0,0,0
X2988,0,0,0,0
X2993,3.3333333333333333e-6,2.857142857142857e-6,3.076923076923077e-6,7.304347826086953e-5
X2998,0,2.5e-6,1.25e-6,7.617777777777782e-5
X3000,0,0,0,0
X3001,0,0,0,0
X3002,0,0,0,0
X3005,1.8181818181818183e-6,0,1.176470588235294e-6,1.1037681159420288e-4
X3006,0,0,0,0
X3008,0,0,0,0
X3009,1.738095238095238e-5,2.222294372294372e-5,1.972992530345471e-5,0.002459927536231884
X3012,0,0,0,0
X3017,0,0,0,0
X3018,2.222222222222222e-6,7.857142857142858e-6,4.4102564102564104e-6,7.617777777777782e-5
X3023,4e-6,4e-6,4e-6,3.714285714285715e-5
X3026,0,0,0,0
X3030,0,0,0,3.9600000000000003e-4
X3034,0,0,0,0
X3037,0,0,0,0
X3038,0,0,0,0
X3042,3.3333333333333333e-6,2.222222222222222e-6,2.666666666666667e-6,7.058823529411764e-5
X3043,3.0238095238095236e-5,2.0454545454545454e-5,2.5924908424908425e-5,0.0014391342995169084
X3045,0,0,0,0
X3046,0,0,0,0
X3048,0,0,0,0
X3049,0,0,0,0
X3050,0,0,0,0
X3054,0,0,0,0
X3059,0,0,0,0
X3063,0,0,0,0
X3064,2e-6,6.666666666666667e-6,3.75e-6,1.0285714285714284e-4
X3065,0,0,0,0
X3068,8.636363636363637e-6,2.857142857142857e-6,6.3174603174603175e-6,1.8036601307189545e-4
X3069,0,0,0,0
X3070,4e-6,0,1.3333333333333334e-6,3.75e-5
X3075,0,0,0,0
X3079,0,0,0,0
X3084,2.5e-6,-4e-6,0,7.157894736842107e-5
X3087,0,0,0,0
X3090,0,0,0,0
X3094,0,0,0,0
X3096,0,0,0,0
X3102,0,0,0,0
X3109,0,0,0,0
X3111,5e-6,0,1.5384615384615385e-6,3.764705882352942e-5
X3116,0,0,0,0
X3117,0,0,0,0
X3118,0,0,0,0
X3119,0,0,0,7.615560640732269e-5
X3120,0,0,0,0
X3124,0,0,0,0
X3126,0,0,0,0
X3128,0,0,0,0
X3135,0,0,0,0
X3136,0,0,0,0
X3137,0,0,0,0
X3139,0,0,0,0
X3140,0,0,0,0
X3142,5e-6,1.5384615384615385e-6,2.352941176470588e-6,3.64e-4
X3143,0,0,0,0
X3144,0,0,0,0
X3145,0,2.5e-6,1.3333333333333334e-6,1.10622009569378e-4
X3146,6.666666666666667e-6,0,1.5384615384615385e-6,3.8620689655172386e-5
X3150,0,0,0,0
X3151,9.81818181818182e-6,0,5.428571428571429e-6,1.1006060606060608e-4
X3152,2.5e-6,5.714285714285714e-6,4e-6,3.840000000000003e-5
X3155,4.444444444444444e-6,0,2.857142857142857e-6,3.7333333333333344e-5
X3156,0,0,0,0
X3159,0,0,0,0
X3162,0,-3.3333333333333333e-6,-1.8181818181818183e-6,3.7777777777777785e-5
X3163,0,0,0,0
X3166,3.3333333333333333e-6,4e-6,3.6363636363636366e-6,7.272727272727273e-5
X3172,0,0,0,0
X3182,0,0,0,0
X3187,0,0,0,3.8333333333333355e-5
X3191,0,0,0,0
X3203,0,0,0,0
X3211,0,0,0,0
X3212,0,0,0,0
X3217,0,-2.857142857142857e-6,-1.6666666666666667e-6,3.799999999999997e-5
X3218,0,0,0,0
X3219,0,-2.222222222222222e-6,-1.4285714285714284e-6,3.7894736842105276e-5
X3220,0,0,0,0
X3221,0,0,0,0
X3222,0,0,0,0
X3227,8.571428571428571e-6,5e-6,6.31578947368421e-6,3.75e-4
X3229,0,0,0,0
X3233,3.3333333333333333e-6,2e-6,2.5e-6,3.840000000000003e-5
X3236,0,0,0,0
X3239,0,0,0,0
X3245,0,0,0,0
X3249,0,0,0,0
X3250,0,0,0,3.81818181818182e-5
X3256,0,0,0,0
X3263,0,0,0,0
X3264,0,0,0,0
X3267,0,0,0,0
X3268,0,0,0,0
X3271,4e-6,4.444444444444444e-6,4.2857142857142855e-6,7.23809523809524e-5
X3279,0,0,0,0
X3281,0,0,0,0
X3282,4.444444444444444e-6,5.714285714285714e-6,5e-6,7.36e-5
X3287,0,0,0,0
X3302,-1.5384615384615385e-6,-3.3333333333333333e-6,-2.1052631578947366e-6,3e-4
X3303,0,0,0,0
X3322,0,0,0,3.857142857142854e-5
X3326,0,0,0,0
X3328,0,0,0,0
X3330,0,0,0,0
X3331,0,0,0,3.84e-4
X3333,0,0,0,0
X3337,0,0,0,0
X3338,0,4.722222222222222e-6,2.967032967032967e-6,1.1112727272727277e-4
X3340,0,0,0,0
X3342,0,0,0,0
X3346,2.5e-6,0,1.25e-6,3.7777777777777785e-5
X3350,0,2.222222222222222e-6,1.4285714285714284e-6,3.799999999999997e-5
X3355,0,0,0,0
X3360,0,0,0,0
X3366,0,0,0,0
X3367,5e-6,5.714285714285714e-6,5.333333333333334e-6,3.764705882352942e-5
X3375,0,0,0,0
X3377,0,0,0,0
X3395,0,0,0,0
X3401,0,0,0,0
X3402,0,0,0,0
X3404,-5e-6,-3.6363636363636366e-6,-4.210526315789473e-6,4.338947368421053e-4
X3405,0,0,0,0
X3406,0,0,0,0
X3407,0,0,0,0
X3415,0,0,0,0
X3423,0,0,0,0
X3433,0,0,0,0
X3443,0,0,0,0
X3450,0,0,0,0
X3453,0,0,0,0
X3455,0,0,0,0
X3457,2.3206565656565652e-4,2.216212121212121e-4,2.159206479794715e-4,0.014513342128047392
X3458,2.80946608946609e-4,2.2497186147186148e-4,2.3645124483359783e-4,0.013323971548300341
X3459,0,0,0,0
X3461,0,0,0,0
X3462,0,0,0,0
X3464,0,0,0,0
X3470,2.079365079365079e-5,2.5844155844155843e-5,2.265914786967419e-5,0.0011548857142857142
X3471,0,2.222222222222222e-6,1.25e-6,3.799999999999997e-5
X3473,0,0,0,0
X3475,0,0,0,0
X3477,4e-6,3.3333333333333333e-6,3.6363636363636366e-6,3.80952380952381e-5
X3478,0,0,0,0
X3479,0,0,0,1.05e-4
X3483,0.0011301103896103899,0.001138579365079365,0.0010743304169171033,0.05445730403888051
X3488,4.222222222222222e-6,0,2.5e-6,7.626086956521739e-5
X3490,0,0,0,0
X3492,0,0,0,0
X3493,0,0,0,0
X3494,0,0,0,0
X3497,0,0,0,3.75e-5
X3501,0,0,0,0
X3502,0,0,0,0
X3503,3.3333333333333333e-6,3.6363636363636366e-6,3.5294117647058825e-6,7.384615384615387e-5
X3506,0,0,0,0
X3507,0,0,0,0
X3508,0,0,0,0
X3509,0,0,0,0
X3513,0,0,0,0
X3515,0,0,0,0
X3528,2.5e-6,2.222222222222222e-6,2.352941176470588e-6,4.2940000000000003e-4
X3529,2.857142857142857e-6,0,1.25e-6,3.5773913043478253e-4
X3533,0,0,0,0
X3552,0,0,0,0
X3556,0,0,0,0
X3558,0,0,0,0
X3560,0,0,0,0
X3563,4.974747474747474e-5,5.457503607503608e-5,4.978049461718193e-5,0.004262701615148984
X3564,6.666666666666667e-6,0,3.076923076923077e-6,7.200000000000003e-5
X3573,3.3333333333333333e-6,1.8181818181818183e-6,2.352941176470588e-6,3.91e-4
X3578,0,0,0,0
X3579,0,0,0,0
X3582,2.857142857142857e-6,2.5e-6,2.666666666666667e-6,7.23809523809524e-5
X3588,2.8516883116883117e-4,3.3303174603174605e-4,2.991395793748735e-4,0.017373681318681323
X3594,2.222222222222222e-6,-5.142857142857143e-6,-9.523809523809517e-8,7.649523809523814e-5
X3596,0,0,0,0
X3599,0,0,0,0
X3600,0,0,0,0
X3603,0.002518830447330447,0.002595409257409258,0.002451666338649312,0.11147799999999988
X3604,6.333333333333333e-5,7.727777777777778e-5,6.860832794656325e-5,0.004695
X3614,0,0,0,0
X3615,2.5e-6,8.333333333333332e-6,5.178571428571428e-6,7.644268774703562e-5
X3616,0,0,0,0
X3619,6.666666666666667e-6,1.3333333333333333e-5,1.1285714285714285e-5,3.912738897930714e-4
X3620,0,0,0,0
X3622,3.896103896103896e-6,2.857142857142857e-6,3.0357142857142856e-6,1.099789473684211e-4
X3623,0,0,0,0
X3624,2.222222222222222e-6,3.3333333333333333e-6,2.666666666666667e-6,3.826086956521742e-5
X3627,0,0,0,1.0363636363636366e-4
X3630,1e-5,0,2.222222222222222e-6,3.75e-5
X3633,3.59510101010101e-4,3.7784126984126984e-4,3.578112710303113e-4,0.021891537831733487
X3639,8.571428571428571e-6,5.6818181818181815e-6,7.316239316239317e-6,9.816190476190476e-4
X3640,0,0,0,0
X3641,0,0,0,0
X3642,-1.6666666666666667e-6,9.444444444444445e-6,2.666666666666667e-6,6.956052631578947e-4
X3644,9.548095238095236e-4,0.0010591356421356425,9.496600730710637e-4,0.04941794878759583
X3645,0,0,0,0
X3650,0,0,0,0
X3652,0,0,0,0
X3653,4.4634920634920634e-5,5.9380952380952385e-5,4.8902624207577764e-5,0.004077841991341992
X3659,0,0,0,0
X3660,0,0,0,0
X3661,7.636363636363636e-6,4.444444444444444e-6,5.818181818181818e-6,4.382608695652174e-4
X3666,3.3333333333333333e-6,2e-6,2.5e-6,3.799999999999997e-5
X3667,0,0,0,0
X3670,0,0,0,0
X3671,0,-2.857142857142857e-6,-1.4285714285714284e-6,3.75e-5
X3673,0,0,0,0
X3676,0,0,0,0
X3686,0,3.6363636363636366e-6,2.857142857142857e-6,7.590792838874684e-5
X3688,4.444444444444444e-6,5.714285714285714e-6,5e-6,7.157894736842107e-5
X3689,0,0,0,0
X3691,2.610786435786437e-4,2.558412698412699e-4,2.47332454095612e-4,0.01510094249896168
X3694,0,0,0,0
X3695,0,0,0,0
X3696,2.222222222222222e-6,2.5e-6,2.352941176470588e-6,3.9600000000000003e-4
X3697,1.4523809523809521e-5,1.9166666666666664e-5,1.6409472880061116e-5,0.001195
X3698,2.857142857142857e-6,4e-6,3.75e-6,1.1137777777777779e-4
X3699,0,0,0,0
X3701,0,0,0,0
X3703,1.1333333333333334e-5,1.0888888888888888e-5,1.0523809523809524e-5,0.0014329999999999998
X3705,0,4.444444444444444e-6,2.666666666666667e-6,3.80952380952381e-5
X3713,0,0,0,0
X3714,0,0,0,0
X3721,2.5e-6,4e-6,3.076923076923077e-6,7.333333333333336e-5
X3724,0,0,0,0
X3727,1.2393162393162394e-5,1.1428571428571427e-5,1.1288461538461539e-5,0.0014649197860962567
X3728,0,0,0,0
X3729,4.835641580641579e-4,5.153037518037518e-4,4.8035288541867466e-4,0.02667826395173455
X3730,0,0,0,0
X3732,0,0,0,0
X3734,0,0,0,7.658181818181824e-5
X3737,0,0,0,0
X3740,0,2.857142857142857e-6,1.4285714285714284e-6,3.80952380952381e-5
X3741,0,0,0,0
X3743,0,0,0,0
X3744,1.8999999999999998e-5,2.2898989898989903e-5,2.1216871363930187e-5,0.0017873419913419912
X3746,0,0,0,0
X3747,0,0,0,3.826086956521742e-5
X3749,0,0,0,0
X3750,0,0,0,0
X3753,0,6.666666666666667e-6,3.3333333333333333e-6,3.7777777777777785e-5
X3754,0,0,0,0
X3755,0,-5e-6,-2.666666666666667e-6,7.304347826086953e-5
X3758,0,0,0,0
X3759,0,0,0,3.799999999999997e-5
X3763,0,7.5e-6,3.75e-6,7.272727272727273e-5
X3766,0,0,0,0
X3768,0,0,0,3.826086956521742e-5
X3769,0,0,0,0
X3774,2.3666666666666668e-5,1.5e-5,1.8e-5,0.0011332222222222223
X3775,2.5793650793650796e-5,1.7333333333333332e-5,2.1670352351466903e-5,0.0011341497584541063
X3776,5e-6,2.857142857142857e-6,4e-6,3.799999999999997e-5
X3777,0,0,0,0
X3779,1.697936507936508e-4,1.599213564213564e-4,1.6091445809092867e-4,0.010834458204334367
X3783,0,0,0,0
