"","Aminoimidazoles","Benzenoids","Carboximidamides","Dialkylamines","Glycosylamines","Guanidines","Imidazoles","Lactams","Peptidomimetics","Pyrrolidines"
"1977",0,0.14,0.03,0.36,0,0,0.02,0.05,0.01,0.05
"1978",0,0.07,0.01,0,0,0,0.03,0.05,0,0.03
"1979",0,0.12,0.03,0.01,0,0,0.08,0.03,0,0.06
"1980",0,0.15,0.02,0.01,0,0.02,0.04,0.11,0.01,0.08
"1981",0,0.03,0,0.03,0,0,0.01,0,0,0.01
"1984",0,0.11,0,0.01,0,0,0.01,0.01,0,0.02
"1985",0,0.18,0.04,0.02,0,0,0.03,0.04,0,0.07
"1986",0,0.02,0,0,0,0,0.02,0.01,0,0.01
"1988",0.02,0.14,0.1,0.14,0,0.18,0.15,0.15,0.13,0.15
"1989",0,0.08,0.13,0.3,0,0.31,0.09,0.13,0.03,0.24
"1991",0,0.06,0,0.36,0,0,0,0.01,0.01,0.01
"1992",0,0.06,0,0.07,0,0,0.04,0.07,0.04,0.13
"1993",0,0.18,0.01,0.02,0,0,0.01,0.06,0,0.06
"1994",0,0.09,0.01,0.01,0,0,0.02,0.02,0.02,0.03
"1995",0,0.14,0.01,0.01,0,0,0.03,0.01,0,0.01
"1996",0,0.09,0,0.18,0,0,0.01,0.03,0.01,0.04
"1997",0,0,0.23,0.02,0,0.83,0,0.01,0.02,0
"1998",0,0.12,0.03,0.18,0,0.01,0.04,0.01,0,0.06
"1999",0,0.04,0,0.03,0.01,0.01,0.15,0.16,0.08,0.22
"2000",0,0.31,0.01,0.06,0,0,0.01,0.07,0,0.32
"2001",0,0.09,0.01,0.06,0,0,0.02,0.09,0.02,0.05
"2002",0,0.01,0,0.03,0,0,0,0,0,0
"2005",0,0.18,0,0.03,0,0,0.03,0.02,0,0.01
"2006",0.01,0.04,0.14,0.1,0.5,0.1,0.18,0.03,0.03,0
"2007",0,0.13,0.01,0.01,0,0,0.03,0.01,0,0.02
"2010",0,0.07,0.03,0.06,0,0,0.05,0.03,0.02,0.04
"2011",0,0.36,0,0.02,0,0,0.01,0.06,0,0.12
"2012",0,0.06,0,0.03,0,0,0,0,0,0
"2014",0,0.15,0.02,0.02,0,0.01,0.01,0.01,0,0.01
"2015",0,0.09,0.01,0.05,0,0,0.04,0.01,0,0.02
"2017",0,0.26,0.03,0.03,0.02,0,0.06,0.06,0.02,0.28
"2018",0,0.78,0,0.08,0,0,0.02,0.41,0.01,0.28
"2020",0,0.11,0,0.01,0,0,0.01,0.56,0,0.43
"2023",0,0.17,0.01,0.01,0,0,0.02,0.01,0,0.03
"2024",0,0.02,0,0.02,0,0,0.03,0.01,0,0.02
"2025",0.03,0.24,0.06,0.13,0,0.01,0.09,0.09,0.01,0.11
"2026",0,0.13,0.01,0.33,0,0,0.03,0.17,0.01,0.51
"2027",0,0.02,0,0.06,0.01,0,0.02,0.06,0,0.35
"2028",0.01,0.84,0.14,0.11,0.01,0.06,0.14,0.27,0.01,0.11
"2029",0,0.05,0,0.02,0,0,0.01,0.01,0,0.03
"2030",0,0.23,0.01,0.01,0,0,0.02,0.01,0,0.02
"2031",0.04,0.07,0.19,0.13,0.01,0.19,0.2,0.08,0.01,0.09
"2033",0,0.08,0,0.39,0,0,0.01,0.14,0.02,0.52
"2034",0,0.06,0.01,0.08,0,0.01,0.1,0.17,0.01,0.33
"2035",0,0.21,0.02,0.06,0,0.01,0.02,0.02,0.01,0.04
"2036",0,0.06,0,0.02,0,0,0,0,0,0.01
"2038",0,0.06,0,0.04,0,0,0,0,0,0
"2040",0,0.17,0,0.02,0,0,0,0.01,0.01,0.01
"2042",0,0.69,0.01,0.02,0,0,0.02,0.03,0,0.17
"2045",0,0.01,0,0.01,0,0,0,0,0,0
"2046",0,0.01,0,0.03,0,0,0,0,0,0
"2048",0,0.8,0.01,0.01,0,0,0.01,0.03,0,0.11
"2050",0,0.02,0.48,0.14,0.13,0.83,0.2,0,0.14,0.02
"2051",0.01,0.13,0.03,0.13,0,0.01,0.13,0.09,0.01,0.06
"2053",0,0.07,0.01,0.04,0.01,0,0.03,0.1,0.01,0.21
"2055",0,0.02,0,0.02,0,0.01,0,0,0.01,0.01
"2056",0,0.14,0,0.01,0,0,0.03,0.15,0,0.33
"2058",0,0.07,0,0,0,0,0.01,0,0,0.01
"2059",0,0.06,0,0.22,0.01,0,0.01,0.01,0.03,0.04
"2060",0.01,0.03,0.02,0.03,0,0.09,0.13,0.01,0.01,0.05
"2061",0,0.09,0.01,0.02,0.01,0,0.02,0.38,0.02,0.31
"2062",0,0.18,0.02,0.06,0,0,0.03,0.02,0,0.03
"2063",0,0.16,0,0.01,0,0,0.01,0.01,0,0.01
"2064",0.12,0.11,0.22,0.11,0,0.23,0.23,0.11,0.01,0.08
"2065",0,0.28,0.01,0.01,0,0,0.06,0.02,0,0.01
"2067",0,0.04,0,0.01,0,0,0,0,0,0
"2068",0,0.1,0.01,0,0,0,0.02,0.02,0,0.02
"2070",0,0.01,0,0.02,0,0,0,0,0,0
"2071",0,0.01,0,0,0,0,0,0,0,0
"2072",0,0.04,0.04,0.01,0,0.12,0.01,0.01,0.01,0.01
"2073",0,0.11,0.07,0.06,0,0.06,0.05,0.12,0,0.02
"2075",0,0.12,0.01,0.11,0,0,0.01,0.01,0.01,0.05
"2076",0,0.05,0.01,0.13,0,0.01,0.02,0.02,0.01,0.01
"2077",0,0.02,0,0.07,0,0,0,0,0,0
"2078",0,0.02,0,0.01,0,0,0,0,0,0
"2079",0,0.03,0,0,0,0,0.01,0.02,0.01,0
"2080",0,0.12,0.01,0.02,0,0,0.02,0.01,0,0.01
"2083",0,0.24,0,0.02,0,0,0.01,0.08,0.01,0.15
"2084",0,0.06,0.01,0.04,0,0,0.02,0.04,0,0.1
"2085",0,0.19,0.04,0.2,0,0,0.03,0.12,0,0.12
"2086",0,0.28,0,0.03,0,0,0,0.36,0.01,0.06
"2087",0,0.45,0.01,0.02,0,0,0.01,0.14,0.01,0.12
"2089",0,0.09,0.08,0.05,0,0.06,0.01,0.05,0,0.06
"2090",0,0.13,0,0.01,0,0,0.02,0.02,0.01,0.03
"2091",0,0.14,0,0,0,0,0.01,0.14,0.01,0.13
"2092",0,0.08,0,0,0,0,0.01,0.04,0,0.08
"2095",0,0.14,0.03,0.01,0,0,0.03,0.03,0,0.05
"2098",0,0.11,0,0.02,0,0,0.01,0,0,0.01
"2101",0,0.35,0,0.01,0,0,0.02,0.01,0,0.04
"2103",0,0.07,0.03,0.02,0,0.01,0.05,0.22,0,0.04
"2104",0.03,0.02,0.02,0.05,0,0,0.01,0.03,0,0.02
"2105",0,0.01,0,0.01,0,0,0,0,0,0
"2106",0,0.93,0.03,0.65,0,0,0.02,0.09,0,0.09
"2107",0,0.24,0.02,0.02,0,0,0.01,0.11,0,0.21
"2108",0,0.08,0,0.03,0,0,0.02,0.01,0.01,0.03
"2110",0,0.07,0,0.05,0,0.01,0,0,0,0.02
"2112",0,0.4,0.03,0.03,0,0,0.04,0.1,0.02,0.14
"2113",0,0.11,0,0.14,0,0,0.01,0.01,0,0.04
"2116",0,0.98,0,0.01,0,0,0.01,0.01,0,0.02
"2118",0,0.27,0.01,0.02,0,0,0.02,0.05,0.01,0.03
"2119",0,0.07,0.01,0.06,0,0,0.03,0.04,0,0.02
"2120",0,0.22,0,0.02,0,0,0.02,0.13,0,0.16
"2121",0,0.16,0,0.02,0,0,0,0,0,0.06
"2122",0,0.18,0.02,0.03,0,0,0.02,0.03,0.03,0.25
"2123",0,0.2,0.02,0.06,0,0,0.02,0.14,0,0.08
"2125",0,0.06,0.01,0.01,0,0,0.01,0.22,0,0.28
"2126",0,0.65,0.01,0.04,0,0,0.03,0.06,0.03,0.23
"2127",0,0.13,0.02,0.11,0,0,0.02,0.01,0,0.05
"2129",0,0.34,0.01,0.19,0,0,0.02,0.02,0.01,0.31
"2130",0,0.63,0.01,0.08,0,0,0.03,0.03,0.01,0.28
"2131",0,0.35,0.01,0.08,0,0,0.02,0.03,0,0.41
"2132",0,0.14,0.01,0.1,0,0,0.05,0.03,0,0.29
"2134",0,0.22,0,0.04,0,0,0.01,0.01,0,0.01
"2135",0,0.16,0,0.03,0,0,0.03,0.01,0,0.01
"2141",0,0.02,0,0.02,0,0,0,0,0,0
"2143",0,0.1,0,0.01,0,0,0.03,0.03,0.01,0.04
"2146",0,0.01,0,0.01,0,0,0,0,0,0
"2147",0,0.19,0.08,0.17,0,0,0.02,0.07,0,0.1
"2150",0,0.17,0.02,0.02,0,0,0.07,0.04,0,0.03
"2151",0,0.13,0.02,0.01,0,0.01,0.03,0.13,0,0.02
"2152",0,0.24,0.04,0.33,0.01,0.02,0.18,0.27,0.01,0.31
"2153",0,0.06,0,0.04,0,0.01,0.01,0.02,0,0.01
"2156",0,0.13,0.03,0.09,0,0,0.02,0.01,0,0.02
"2159",0,0.12,0.01,0.01,0.01,0,0.03,0.28,0.01,0.21
"2160",0,0.16,0.01,0.05,0.01,0.01,0.05,0.57,0,0.31
"2162",0,0.22,0.01,0.21,0,0.02,0.09,0.04,0,0.2
"2163",0,0.22,0.01,0.23,0,0.01,0.1,0.08,0.01,0.19
"2164",0,0.53,0.01,0.03,0.01,0,0.01,0.06,0,0.04
"2165",0,0.49,0.01,0.03,0.01,0,0.01,0.07,0,0.06
"2168",0,0.01,0,0.01,0,0,0,0,0,0
"2169",0,0.15,0,0.15,0,0.01,0.02,0.03,0.02,0.05
"2170",0,0.17,0.01,0.02,0,0,0.01,0.03,0.01,0.02
"2172",0,0.04,0,0.01,0,0,0,0,0,0
"2175",0,0.22,0.01,0.01,0.01,0,0.04,0.21,0,0.18
"2176",0,0.08,0,0.03,0,0,0,0.01,0,0.04
"2177",0,0.01,0.01,0.06,0.22,0.04,0.05,0.01,0,0.01
"2178",0.01,0.04,0.14,0.05,0.7,0.24,0.17,0.02,0.05,0.01
"2179",0,0.09,0.01,0.01,0,0,0.06,0.01,0,0.02
"2181",0,0.05,0.01,0.04,0,0.01,0.08,0.04,0.01,0.07
"2182",0,0.67,0.01,0.3,0.01,0,0.02,0.15,0,0.07
"2183",0,0.54,0,0.04,0,0,0.03,0.14,0,0.14
"2184",0,0.03,0.03,0.04,0,0.34,0.01,0.07,0.01,0.02
"2185",0,0.02,0,0.01,0,0,0,0,0,0
"2186",0,0.01,0,0,0,0,0,0,0,0
"2188",0,0.1,0.03,0.01,0,0,0.01,0.02,0,0.01
"2189",0,0.02,0,0.01,0,0,0,0,0,0
"2191",0,0.04,0,0.04,0,0,0.01,0.03,0,0.01
"2192",0,0.04,0,0.02,0,0,0.03,0.02,0.01,0.04
"2195",0,0.15,0.01,0.47,0.01,0.01,0.02,0.14,0.05,0.23
"2200",0,0.02,0,0.01,0,0,0,0,0,0
"2201",0,0.01,0,0.02,0,0,0,0,0,0
"2202",0,0.01,0,0.01,0,0,0,0,0,0
"2203",0,0.07,0,0.2,0,0,0.01,0.01,0,0.04
"2205",0,0.02,0.01,0.02,0.01,0,0.03,0.05,0,0
"2209",0,0.02,0,0.01,0,0,0,0,0,0
"2213",0,0.02,0,0.08,0,0,0,0,0,0.01
"2214",0,0.01,0,0.02,0,0,0,0,0,0
"2215",0,0.01,0,0.01,0,0,0,0,0,0
"2217",0,0.15,0.02,0.17,0,0.01,0.02,0.07,0.07,0.14
"2218",0,0.23,0.07,0.08,0,0,0.03,0.35,0.01,0.16
"2220",0,0.06,0,0.06,0,0,0.01,0.05,0.09,0.01
"2221",0,0.01,0,0.01,0,0,0,0,0,0
"2223",0,0.02,0,0.03,0,0,0,0,0,0
"2224",0,0.02,0,0.01,0,0,0,0,0,0
"2226",0,0.02,0,0,0,0,0,0,0,0.01
"2228",0,0.09,0,0.09,0.01,0.01,0.02,0.23,0,0.05
"2231",0.01,0.04,0.04,0.25,0.03,0.21,0.32,0.03,0.01,0.04
"2233",0,0.12,0.01,0.06,0.01,0,0.01,0.84,0.04,0.68
"2235",0,0.07,0,0.17,0,0,0,0.01,0.01,0.01
"2237",0,0,0,0.01,0,0,0,0,0,0
"2239",0.03,0.02,0.79,0.07,0,0.11,0,0,0,0.02
"2241",0.02,0.74,0.1,0.14,0,0.31,0.34,0.03,0.01,0.02
"2244",0,0.01,0,0.02,0,0,0,0,0,0
"2246",0,0.01,0,0.01,0,0,0,0,0,0
"2247",0,0.01,0,0.02,0,0,0,0,0,0
"2248",0,0.88,0,0.02,0,0,0,0.11,0,0.21
"2249",0,0.07,0.02,0.13,0,0.01,0.01,0.12,0.03,0.24
"2253",0,0.44,0.18,0.19,0,0.35,0.06,0.03,0,0.09
"2254",0,0.12,0.01,0.05,0,0,0.01,0.16,0.01,0.08
"2255",0,0.04,0.01,0.01,0,0,0,0,0,0.01
"2256",0,0.01,0.01,0,0,0,0,0,0,0
"2258",0,0.84,0.01,0.08,0,0,0.01,0.07,0.01,0.07
"2259",0,0.12,0.02,0.07,0.02,0,0.02,0.93,0.02,0.46
"2260",0,0.13,0.01,0.28,0,0.01,0.02,0.03,0,0.02
"2261",0,0.02,0.08,0.16,0,0.1,0.04,0.03,0.02,0.02
"2262",0.02,0.01,0.32,0.14,0.09,0.3,0.1,0.01,0.08,0
"2264",0,0.02,0,0.01,0,0,0,0,0,0
"2265",0,0.21,0.02,0.13,0.01,0,0.02,0.04,0.03,0.11
"2266",0,0.09,0.02,0.11,0.04,0.06,0.05,0.12,0.13,0.07
"2267",0,0.01,0,0.02,0,0,0,0,0,0
"2269",0.01,0.9,0.02,0.05,0,0,0.03,0.2,0.01,0.15
"2270",0,0.95,0,0.01,0,0,0.01,0.23,0.01,0.12
"2271",0,0.84,0,0.02,0,0,0,0.03,0,0.16
"2272",0,0.06,0,0.13,0,0.01,0.01,0.14,0,0.04
"2276",0,0.07,0,0.02,0,0,0.01,0.02,0,0.01
"2278",0,0.02,0,0.01,0,0.01,0,0,0,0
"2281",0.03,0.11,0.17,0.06,0.22,0.25,0.7,0.19,0.09,0.11
"2282",0,0.18,0.03,0.01,0,0.03,0,0.09,0,0.08
"2284",0,0.06,0,0.01,0,0,0.01,0.21,0,0.06
"2285",0,0.93,0.01,0.03,0.01,0,0.02,0.11,0.01,0.2
"2287",0,0.06,0.04,0.09,0.01,0.23,0.06,0.03,0.01,0.02
"2289",0,0.37,0,0.01,0,0,0.01,0.01,0,0.03
"2294",0,0.11,0.01,0.09,0,0.01,0.03,0.07,0.07,0.12
"2295",0,0.01,0,0.04,0,0,0,0,0,0
"2298",0,0.01,0,0.01,0,0,0,0,0,0.01
"2300",0,0.03,0,0.13,0,0.21,0,0.09,0.01,0.01
"2301",0,0.16,0.02,0.02,0,0,0.03,0.81,0.21,0.22
"2304",0,0.22,0,0.01,0,0,0.01,0.01,0,0.01
"2305",0,0.03,0,0.04,0,0,0,0,0,0
"2306",0,0.03,0.02,0.15,0.01,0.08,0.03,0.09,0.15,0.02
"2312",0,0.11,0,0.01,0,0,0.01,0.64,0.12,0.09
"2317",0,0.09,0.01,0.25,0.02,0.01,0.02,0.1,0.04,0.03
"2319",0,0.12,0,0.04,0,0,0.02,0.7,0.07,0.34
"2320",0,0.1,0,0.03,0,0,0.02,0.64,0.06,0.19
"2321",0,0.12,0,0,0,0,0.01,0.29,0.08,0.04
"2322",0,0.06,0.01,0.03,0,0,0.01,0.18,0.13,0.37
"2327",0,0.01,0.16,0.07,0.02,0.67,0.01,0.01,0.01,0.01
"2329",0,0.03,0,0.07,0,0.03,0,0.03,0.01,0.01
"2331",0,0.05,0.06,0.08,0,0.14,0.03,0.04,0.01,0.01
"2332",0,0.1,0,0.02,0,0,0.02,0.54,0.07,0.25
"2335",0,0.1,0.01,0.01,0,0,0.01,0,0,0.02
"2336",0,0.01,0,0.02,0,0,0,0,0,0
"2346",0,0,0,0.07,0,0,0,0,0,0
"2347",0,0.06,0,0.1,0.01,0.04,0.01,0.13,0.03,0.04
"2350",0.69,0.01,0.53,0.18,0.02,0.38,0.86,0.01,0,0
"2354",0,0,0,0,0,0,0,0,0,0
"2355",0,0,0,0,0,0,0,0,0,0
"2357",0,0.13,0.03,0.18,0.01,0.03,0.01,0.08,0.05,0.01
"2361",0,0.01,0,0.05,0,0,0,0,0,0
"2362",0,0.07,0,0.27,0,0,0.01,0.52,0.01,0.08
"2363",0,0.04,0,0.14,0,0,0.01,0.42,0,0.02
"2387",0,1,0.01,0.01,0,0,0.01,0,0,0
"2390",0,0.05,0,0,0,0,0.01,0,0,0
"2391",0,0.26,0.02,0.05,0,0.02,0.04,0.21,0.01,0.07
"2392",0,0.07,0.02,0.02,0,0,0.06,0.02,0.01,0.03
"2393",0,0.08,0.02,0.01,0,0,0.06,0.02,0.01,0.02
"2395",0,0.04,0.04,0.03,0,0.02,0.27,0.06,0,0.02
"2396",0,0.03,0,0,0.01,0,0,0.05,0,0.01
"2397",0,0.06,0.01,0,0,0,0.06,0.01,0,0.01
"2398",0,0.18,0,0,0,0,0.01,0.04,0,0.02
"2399",0,0.27,0,0,0,0,0.02,0.01,0,0.02
"2400",0,0.09,0.01,0.05,0,0,0.04,0.02,0,0.04
"2401",0,0.3,0,0.01,0,0,0,0.02,0,0.01
"2402",0,0.17,0.01,0.01,0,0,0.02,0.01,0,0.04
"2403",0,0.83,0.01,0.01,0,0,0.01,0.05,0.01,0.03
"2404",0,0.09,0.02,0.01,0,0,0.06,0.02,0,0.04
"2405",0,0.09,0.01,0.02,0,0,0.06,0.01,0,0.04
"2406",0,0.1,0.01,0.02,0,0,0.07,0.01,0,0.01
"2407",0,0.07,0.01,0.01,0,0,0.03,0.02,0,0.03
"2408",0.02,0.33,0.23,0.04,0,0.09,0.05,0.11,0.06,0.09
"2409",0,0.15,0.07,0.02,0,0.01,0.05,0.02,0,0.03
"2410",0,0.21,0.02,0.01,0,0,0.06,0.01,0,0.03
"2411",0,0.06,0,0,0,0,0.01,0.01,0,0.01
"2412",0,0.09,0,0.01,0,0,0.02,0.01,0,0.02
"2413",0,0.12,0,0.07,0.01,0,0.04,0.29,0.01,0.13
"2414",0,0.1,0,0.02,0,0,0.02,0.02,0,0.04
"2415",0,0.11,0.01,0.02,0,0,0.03,0.01,0,0.02
"2416",0,0.04,0,0.01,0,0,0,0,0,0
"2417",0,0.1,0,0.01,0,0,0.02,0.02,0,0.02
"2419",0,0.07,0,0.02,0,0,0.01,0.01,0,0.02
"2420",0,0.1,0.01,0,0,0,0.01,0.01,0,0.03
"2422",0,0.06,0,0.01,0,0,0.01,0.02,0,0.02
"2423",0,0.28,0.01,0.2,0,0,0.07,0.18,0,0.05
"2424",0,0.76,0.03,0.16,0,0.03,0.08,0.37,0.02,0.12
"2425",0,0.27,0.02,0.01,0,0,0.09,0.01,0,0.03
"2426",0,0.12,0,0.01,0,0,0.02,0.01,0,0.01
"2427",0,0.11,0,0.02,0,0,0.02,0.02,0,0.03
"2429",0,0.99,0.02,0.05,0,0,0.04,0.01,0,0.11
"2430",0,0.15,0.01,0.01,0,0,0.03,0.02,0,0.02
"2431",0,0.72,0.01,0.02,0,0,0.04,0,0,0.05
"2432",0,0.03,0.03,0,0.01,0.01,0.02,0.26,0,0.04
"2433",0,0.98,0.01,0.03,0,0,0.02,0.02,0,0.02
"2434",0,0.07,0.01,0,0,0,0.01,0.01,0,0.01
"2435",0,0.99,0,0.01,0,0,0,0.01,0,0
"2436",0,0.09,0,0.06,0,0.01,0.04,0.06,0.01,0.04
"2437",0.01,0.77,0.01,0.38,0,0,0.02,0.05,0.02,0.13
"2438",0,0.88,0,0.34,0,0.01,0.02,0.06,0.01,0.06
"2439",0,0.16,0.01,0.32,0,0.01,0.04,0.03,0,0.08
"2440",0,0.15,0,0,0,0,0.01,0,0,0.01
"2442",0,0.86,0.02,0.02,0,0.04,0.06,0.17,0.01,0.06
"2443",0,0.02,0.25,0.08,0.01,0.91,0.04,0.05,0.01,0.01
"2444",0,0.11,0,0.01,0,0,0.04,0.01,0,0.02
"2445",0,0.07,0,0.02,0,0,0.01,0.01,0,0.01
"2446",0,0.16,0,0.29,0,0.01,0.01,0.03,0,0.03
"2447",0,1,0,0.01,0,0,0,0.01,0.07,0.01
"2448",0,0.18,0.01,0.01,0,0,0.01,0.04,0,0.02
"2449",0,0.18,0,0,0,0,0.02,0.01,0,0.01
"2450",0,0.04,0,0.12,0,0.02,0.06,0.04,0.01,0.05
"2451",0,0.62,0.06,0.54,0.01,0.03,0.16,0.14,0.04,0.13
"2452",0,0.55,0.08,0.01,0,0.01,0.06,0.09,0.09,0.05
"2453",0.03,0.05,0.05,0.41,0,0.01,0.39,0.25,0.01,0.05
"2454",0,0.21,0.03,0.02,0.01,0,0.03,0.01,0,0.02
"2455",0,0.89,0,0,0,0,0.01,0,0,0.01
"2456",0,0.05,0,0.12,0,0,0,0,0,0
"2457",0,0.2,0,0.02,0,0,0.01,0.02,0,0.01
"2460",0,0.13,0.03,0.01,0,0,0.03,0.01,0,0.02
"2461",0,0.13,0.01,0.07,0.01,0,0.05,0.18,0.03,0.35
"2463",0.01,0.04,0.24,0.03,0,0.2,0.12,0.1,0.01,0.07
"2464",0,0.12,0,0,0,0,0.01,0,0,0.01
"2466",0,0.1,0,0.01,0,0,0.01,0.01,0,0.02
"2467",0,0.14,0,0.03,0,0,0.01,0.34,0,0.68
"2468",0,0.05,0,0,0,0,0.02,0.33,0,0.11
"2469",0,0.11,0,0.01,0,0,0.02,0.04,0,0.92
"2470",0.16,0,0.38,0.02,0.92,0.79,0.26,0.03,0,0.01
"2471",0,0.63,0,0.12,0,0,0.01,0.18,0.04,0.06
"2472",0,0.17,0.01,0.02,0,0,0.04,0.01,0,0.03
"2473",0,0.11,0,0.02,0,0,0.02,0.03,0,0.02
"2474",0,0.07,0.01,0.01,0,0,0.02,0.02,0,0.01
"2475",0,0.09,0.8,0.23,0,0.68,0.02,0.03,0.02,0.02
"2477",0,0.14,0.02,0.11,0,0.01,0.03,0.07,0.01,0.12
"2478",0,0.04,0.01,0.01,0.02,0.01,0.07,0.06,0.02,0.03
"2479",0,0.25,0,0.14,0,0.01,0.03,0.01,0.04,0.02
"2480",0.01,0.07,0.06,0.26,0.36,0.03,0.82,0.02,0.01,0.09
"2481",0,0.02,0.01,0.06,0.84,0.01,0.98,0.01,0.01,0.06
"2482",0,0.1,0,0.02,0,0,0.01,0.02,0,0.06
"2483",0,0.21,0.02,0.02,0,0,0.02,0.02,0,0.02
"2485",0.02,0.13,0.11,0.27,0,0.08,0.1,0.07,0.03,0.09
"2486",0,0.24,0.01,0.11,0,0,0.01,0.03,0,0.08
"2488",0,0.16,0.01,0.05,0,0,0.04,0.05,0,0.04
"2489",0,0.38,0,0.01,0,0,0.02,0.01,0,0.01
"2490",0,0.09,0.01,0.01,0,0,0.02,0.01,0,0.03
"2491",0,0.08,0,0.02,0,0,0.02,0.01,0,0.01
"2493",0,0.14,0,0.01,0,0,0.02,0.02,0,0.02
"2494",0.03,0.18,0.01,0.1,0,0.02,0.21,0.05,0.05,0.07
"2495",0,0.16,0.01,0.02,0,0,0.04,0.04,0.01,0.02
"2496",0,0.19,0,0,0,0,0,0.01,0,0.02
"2497",0,0.12,0,0.02,0,0,0.01,0,0,0.01
"2501",0,0.14,0.01,0.14,0,0.01,0.02,0.04,0.01,0.07
"2502",0,0.13,0.01,0,0,0,0.02,0.01,0,0.01
"2503",0,0.13,0.02,0,0,0,0.04,0.01,0,0.02
"2504",0,0.24,0.01,0.01,0,0,0.06,0.01,0,0.01
"2505",0,0.14,0.04,0.04,0,0,0.02,0.01,0.02,0.03
"2506",0,0.09,0,0.05,0,0,0.03,0.1,0,0.61
"2508",0,0.05,0,0,0,0,0.02,0.08,0,0.15
"2509",0,0.19,0.02,0.03,0,0.01,0.03,0.02,0,0.03
"2511",0,0.98,0,0.07,0,0,0.01,0,0,0.01
"2513",0,0.37,0.01,0.04,0,0.02,0.09,0.58,0,0.21
"2514",0,0.15,0,0.04,0,0,0.01,0.01,0,0.04
"2516",0,0.1,0,0.05,0,0,0.03,0.05,0,0.07
"2517",0,0.07,0,0,0,0,0,0.01,0,0.01
"2520",0,0.01,0.01,0.14,0,0,0.01,0.01,0.01,0.01
"2521",0,0.2,0.01,0.11,0,0,0.04,0.09,0,0.11
"2522",0,0.05,0,0.01,0,0,0.01,0,0,0
"2523",0,0.23,0,0.04,0,0,0.01,0.02,0,0.02
"2524",0,0.09,0,0.07,0,0,0,0.01,0,0.07
"2528",0,0.17,0.13,0.14,0,0.01,0.04,0.22,0.02,0.16
"2529",0,0.22,0.01,0.01,0,0,0.03,0.01,0,0.03
"2531",0,0.02,0,0.01,0,0,0,0,0,0
"2532",0,0.1,0,0.05,0,0,0.01,0.01,0,0.02
"2536",0,0.02,0,0.01,0,0,0,0,0,0
"2542",0,0.02,0,0.02,0,0,0.02,0.02,0,0.01
"2543",0,0.99,0,0,0,0,0,0,0,0
"2545",0,0.07,0.13,0.08,0,0.41,0.07,0.02,0.01,0.01
"2547",0,0.13,0.03,0.17,0.01,0,0.04,0.09,0.05,0.15
"2548",0,0.03,0,0,0,0,0,0.1,0,0.02
"2553",0,0.12,0,0.29,0,0,0.01,0.07,0,0.06
"2556",0,0.01,0.01,0,0,0,0,0,0,0
"2557",0.01,0.04,0.01,0.1,0.02,0.02,0.09,0.16,0.08,0.28
"2558",0.19,0.01,0.4,0.15,0.03,0.29,0.06,0.02,0.02,0.01
"2561",0,0.07,0,0.13,0,0,0,0.03,0,0.01
"2562",0,0.01,0,0,0,0,0,0,0,0
"2567",0,0.03,0,0.09,0,0,0,0,0,0
"2569",0,0.02,0,0.01,0,0,0,0,0,0
"2570",0,0.01,0,0.05,0,0,0,0.01,0,0
"2577",0.04,0.03,0.37,0.12,0.13,0.24,0.7,0.07,0.29,0.04
"2579",0.08,0.03,0.19,0.13,0.06,0.21,0.49,0.03,0.01,0.06
"2580",0,0.18,0,0.09,0,0,0.01,0.59,0,0.04
"2586",0,0.04,0.01,0,0,0,0.46,0.02,0,0.02
"2587",0,0.96,0,0.01,0,0,0.01,0.03,0,0.01
"2588",0.11,0.12,0.07,0.02,0,0.1,0.32,0.03,0.02,0.04
"2589",0,0.05,0.01,0,0,0,0.01,0.02,0,0.01
"2590",0,0.15,0.01,0.02,0,0,0.03,0.01,0,0.03
"2591",0,0.04,0.01,0.54,0,0,0.01,0.01,0,0.01
"2592",0,0.08,0.01,0.02,0,0,0.05,0.02,0,0.02
"2593",0,0.07,0.03,0.11,0,0.01,0.05,0.04,0,0.07
"2594",0,0.04,0.01,0.02,0,0,0.01,0.02,0,0.01
"2595",0,0.1,0.05,0.43,0,0,0.02,0.01,0,0.02
"2596",0,0.23,0.01,0.02,0,0,0.03,0.15,0,0.09
"2597",0,0.11,0.36,0.2,0.01,0.35,0.08,0.03,0.01,0.09
"2598",0,0.05,0,0.03,0,0,0.06,0.01,0,0.02
"2599",0,0.06,0,0.73,0,0,0.02,0.05,0.01,0.01
"2601",0,1,0,0,0,0,0,0.03,0,0.01
"2602",0,0.02,0,0.02,0,0,0,0,0,0.01
"2603",0,0.1,0,0.01,0,0,0.01,0.02,0,0.02
"2604",0,0.98,0.01,0.02,0,0,0,0.03,0,0.01
"2605",0,0.08,0,0.07,0,0,0.02,0.33,0.07,0.44
"2606",0,0.16,0,0.04,0,0,0.01,0.06,0.03,0.03
"2607",0,0.06,0.01,0.02,0,0,0.02,0.05,0.01,0.06
"2608",0,0.03,0,0.01,0,0,0,0.01,0,0.02
"2609",0,0.95,0.01,0.04,0,0,0.05,0.49,0.02,0.76
"2610",0,0.01,0,0.01,0,0,0.01,0.01,0.01,0.01
"2611",0,0.59,0.01,0,0,0,0.02,0.09,0,0.1
"2612",0,0.11,0,0,0,0,0.01,0.01,0,0.01
"2613",0,0.22,0.01,0.01,0,0,0.01,0.01,0,0
