"","Alcohols and polyols","Alkyl phosphates","Alpha,beta-unsaturated carbonyl compounds","Alpha,beta-unsaturated ketones","Aminosaccharides","Androstane steroids","Carbonyl compounds","Carboxylic acid derivatives","Carboxylic acid esters","Carboxylic acids and derivatives","Cholines","Dialkyl phosphates","Dicarboxylic acids and derivatives","Disaccharides","Fatty acid esters","Fatty Acyls","Glycerophosphocholines","Glycerophospholipids","Lipids and lipid-like molecules","O-glycosyl compounds","Organic acids and derivatives","Organic cations","Organic oxides","Organic phosphoric acids and derivatives","Organic salts","Phosphate esters","Phosphatidylcholines","Phosphocholines","Quaternary ammonium salts","Secondary alcohols","Steroid esters","Tetraalkylammonium salts"
"4638",0.57,1,0.12,0.07,0,0,0.97,0.96,0.9,0.99,0.6,0.98,0.47,0,0.84,0.95,0.96,0.99,1,0,1,0.11,1,1,0.35,1,0.51,0.95,0.86,0.47,0,0.63
"4689",0.75,1,0.02,0.03,0,0,0.97,0.99,0.97,0.99,0.98,1,0.67,0,0.97,0.97,1,1,1,0,1,0.53,1,1,0.6,1,0.74,0.99,0.99,0.6,0,0.98
"4910",0.9,0,0.04,0.12,0,0.02,0.74,0.87,0.77,0.83,0,0,0.17,0.62,0.03,0.17,0,0,0.8,0.62,0.77,0.01,0.82,0,0.01,0.01,0,0.01,0,0.72,0.02,0.01
"4929",0.93,0,0.04,0.11,0,0.01,0.67,0.68,0.64,0.67,0,0.01,0.55,0.08,0.21,0.84,0,0,0.95,0.83,0.59,0.01,0.8,0,0,0,0.01,0,0,0.7,0.01,0
"4934",0.48,0,0.01,0.02,0.07,0.42,0.99,0.94,0.79,0.93,0,0,0.62,0.17,0.2,0.4,0,0,0.96,0.21,0.95,0.01,0.92,0.03,0,0.01,0.01,0.02,0,0.36,0.66,0.01
"4951",0.46,0.01,0.08,0.1,0.04,0.14,0.97,0.9,0.71,0.87,0,0.01,0.55,0.14,0.19,0.33,0,0.01,0.82,0.21,0.93,0.03,0.86,0.01,0.01,0,0.02,0.02,0,0.67,0.16,0
"5069",0.66,0,0.01,0.01,0,0.01,0.93,0.05,0.01,0.08,0,0,0,0,0,0.01,0,0,0.21,0,0.13,0,0.96,0.01,0.04,0,0,0,0,0.22,0,0
"5081",0.41,0,0.1,0.13,0,0.01,0.91,0.9,0.73,0.94,0,0,0.1,0,0.25,0.76,0,0,0.87,0,0.88,0,0.96,0,0,0,0,0,0,0.24,0,0
"5174",0.89,1,0.09,0.05,0,0,0.95,0.96,0.9,0.98,0.99,1,0.05,0,0.89,0.96,0.99,1,1,0,1,0.32,1,1,0.59,1,0.3,0.99,1,0.76,0,0.99
"5176",0.99,1,0,0,0,0,0.97,0.97,0.93,0.97,0,0.86,0.28,0,0.98,0.97,0.01,1,1,0,1,0,1,1,0,1,0,0,0,0.94,0,0
