sample_code,Alpha.amino.acid.amides,Alpha.amino.acids.and.derivatives,Aminoimidazoles,Carboximidamides,Carboximidic.acids,Carboximidic.acids.and.derivatives,Dialkylamines,Fatty.amides,Heteroaromatic.compounds,Hydroxamic.acids,Imidazoles,Imidolactams,Isoleucine.and.derivatives,Lactams,N.acyl.amines,N.substituted.imidazoles,Organic.acids.and.derivatives,Peptidomimetics,Primary.carboxylic.acid.amides,Pyrrolidines,Substituted.imidazoles,Tertiary.alkylarylamines,Tertiary.carboxylic.acid.amides,Valine.and.derivatives,Vinylogous.esters
Exp2_Pn-delicatissima_A_DOM_I,0.3041097866962127,0.5430159165462749,0.2097001214109263,0.20888003969143581,0.3110412674461001,0.3261690259961186,0.3459775875631584,0.34545482756865337,0.6525057247107277,0.06328779298136195,0.42676081095024715,0.3261690259961186,0.12549570531395968,0.35013620569939,0.32008016435576775,0.36687629984314063,1.2457270994310785,0.11859943334659404,0.23745559610468303,0.2208807120750294,0.3868476585637485,0.13705467958745904,0.24956430006370461,0.18360401027891857,0.23230096326947633
Exp2_Pn-delicatissima_A_DOM_II,0.3503085891659717,0.5832709823404789,0.22122697764814403,0.2194905476982728,0.33330206831584475,0.3491580302834635,0.36164700878088074,0.3818932481989158,0.6884964034176312,0.09828885638083633,0.4561983077141873,0.3456872468687211,0.13650631116230516,0.3677603474954004,0.37051194302650514,0.3888048227052563,1.2357013584367054,0.140568247797814,0.25666798363096105,0.2363191130841573,0.41252616996254404,0.1418970546041639,0.2618988485241167,0.21241221373944436,0.2346867440435124
Exp2_Pn-delicatissima_A_Unfil_I,0.2608231402166277,0.610343768282227,0.25779700312304527,0.23005911869133103,0.34987749818444613,0.36136712390670783,0.3948911097857275,0.32091629268629573,0.7943986494683207,0.03162804943757168,0.5049177606384087,0.39489110978572756,0.1418970546041639,0.29852296919768434,0.26874154235911984,0.440098043549124,1.2216959072106155,0.1268308680377276,0.24215115787296,0.17699078348623626,0.4617699604175846,0.14887328003763659,0.19089392711174488,0.1711278811067632,0.25268025514207865
Exp2_Pn-delicatissima_A_Unfil_II,0.2334143952757577,0.5575988266995366,0.25371113070835816,0.2289305587505595,0.3340500998785385,0.3483218992286966,0.3688629842266244,0.29133177076965755,0.7388308714132713,0.03162804943757168,0.5031442898303006,0.39629720591905804,0.1288082185713109,0.3073036114385614,0.27165712367757405,0.4381490305841703,1.2432569892589052,0.12683086803772764,0.22320826908703012,0.19749553586205984,0.4617699604175846,0.1364376140257385,0.20515150262242235,0.1681228942962163,0.2506068883856284
Exp2_Pn-delicatissima_B_DOM_I,0.334661072487387,0.535761396095547,0.19980586862425057,0.23236858473052793,0.3227592993363752,0.33563667106547007,0.35653006183926267,0.38218523894572115,0.62827967096144,0.12463876839368525,0.4249887829624035,0.31870788887420415,0.1294607710031106,0.34621498778638743,0.36705726864991217,0.3523405416653133,1.217054720905225,0.15534768322086556,0.31409638430368014,0.234388819935292,0.38174718604205027,0.13180706636749268,0.24425799209517762,0.2013579207903308,0.2191734520607586
Exp2_Pn-delicatissima_B_DOM_II,0.3257522344787009,0.5690554018160376,0.21333990470328756,0.20047625012345635,0.3408110554902579,0.35374160588967146,0.3494757403724977,0.3574396156307952,0.6531727061737531,0.07198163954285895,0.4318327809263994,0.3336324090873854,0.13431025790122147,0.3274544261462247,0.3094795987115482,0.36937536877761046,1.2519304467166559,0.14433966254685313,0.24891516608096567,0.20484872598107423,0.39187173179375007,0.13300479860520464,0.2408518566202239,0.16999406989399535,0.22787516398957888
Exp2_Pn-delicatissima_B_Unfil_I,0.24842236376772966,0.5865623433047169,0.24166256590779256,0.22964932924157247,0.3387909653739396,0.35374160588967146,0.35444041854003383,0.317943312119688,0.7234213966741947,0.03693584504964715,0.4893017347112695,0.3821852389457212,0.13005122266071176,0.2998946688701559,0.26236968292655904,0.4207375772502385,1.2128787635932738,0.12278275875764601,0.2493743099545502,0.193078040871879,0.44637498377374024,0.1386133076185414,0.20366502681573126,0.16450352385776087,0.23672557863603313
Exp2_Pn-delicatissima_B_Unfil_II,0.22047357828701544,0.5624291588457923,0.236248357441902,0.21636287721824268,0.3253564376092483,0.3401442303333122,0.34631816289433526,0.30164078471071926,0.6842754146003363,0.03612361178894319,0.4706760096493511,0.3695089395069588,0.1434416720650467,0.29310485197035124,0.2923179888998522,0.40913966264674717,1.2117358976400472,0.12188531634467903,0.21842727504946396,0.19112718168686726,0.43074711586355857,0.12717691523735153,0.19459410093302137,0.16222518186004617,0.24098126846624923
Exp2_Pn-galaxiae_A_DOM_I,0.31036460345891964,0.4993150405930211,0.191867561485691,0.27095291088346823,0.33162129115763994,0.34867595148073927,0.34124865863798587,0.3426874384522192,0.6206130770533154,0.07267751123673002,0.40175686490598683,0.2501334776274248,0.141246251618595,0.3971899678494711,0.3241670204984603,0.3005382733906193,1.241841987397692,0.2004280535204208,0.2221531103538374,0.29892698375925286,0.3520597747637285,0.2275901048951354,0.3253694874710235,0.14949179781255828,0.26054935654536854
Exp2_Pn-galaxiae_A_DOM_II,0.27339923553947354,0.481752525185249,0.15565115113133535,0.26744708528366534,0.3260272946205282,0.3439503121191598,0.3141462810570606,0.31000644440604097,0.5948515525591229,0.06725283584044395,0.3888133373156641,0.2810581808951823,0.12605729729987525,0.3908780458240482,0.296133370276517,0.3080580176838315,1.2355763516732232,0.18906742969629584,0.22955008458176704,0.2923561059763818,0.34648285707267085,0.21492021513404685,0.30972875006012107,0.1401585783422844,0.24678705145206045
