variable,p_value,FDR
Carboxylic acid hydrazides,1,1
Carboxylic acid imides,0.9995664344629899,1
Carboxylic acid salts,0.9996123981786269,1
Carboxylic acids,0.9976317524129099,1
Carboxylic acids and derivatives,1.977604513851655e-15,8.750899973793574e-14
Cardenolides and derivatives,0.5031102808777741,1
Catechols,0.9953578914015226,1
Chalcones and dihydrochalcones,0.9709515000484534,1
Chloroalkenes,0.7647574793505559,1
Chlorobenzenes,0.9999999998672158,1
Cholestane steroids,5.571495715585698e-5,6.163467135366678e-4
Cholesterols and derivatives,0.0014805798357894176,0.013325218522104759
Cholines,2.6015090894459593e-8,5.313082024983864e-7
Chromones,0.6974738169348993,1
Cinnamaldehydes,0.33535876013891713,1
Cinnamic acids and derivatives,0.4370773372978707,1
Coumarins and derivatives,0.9463066612808357,1
Cyclic alcohols and derivatives,0.9999935620281608,1
Cyclic ketones,0.0725287781758533,0.3882285203437289
Cyclic olefins,0.025048000287555553,0.15833914467490473
Cyclitols and derivatives,0.9999999999999853,1
Cyclohexenones,0.001353779776721459,0.012611527393668328
Cysteine and derivatives,0.8674454970047705,1
Delta-4-steroids,0.002041682164040328,0.017208463954054194
Delta-5-steroids,1.0010223982554657e-6,1.3987970880885586e-5
Delta lactams,0.9999936096773727,1
Delta valerolactones,0.6540192349424785,1
Depsipeptides,0.999911516318423,1
Diacylglycerols,0.007723476899594333,0.055421165320062034
Dialkyl ethers,1,1
Dialkyl peroxides,0.9635124751009725,1
Dialkyl phosphates,2.1961851347493296e-15,8.970571588860723e-14
Dialkylamines,1,1
Dialkylarylamines,0.9999999597604274,1
Dialkyldisulfides,1,1
Dialkylthioethers,0.9999999980896175,1
Diazanaphthalenes,0.6407528133361833,1
Diazinanes,0.9999999830116492,1
Diazines,0.9284726586872027,1
Dicarboximides,0.9999944355807195,1
Dicarboxylic acids and derivatives,5.472763900288485e-13,1.9373584207021233e-11
Dichlorobenzenes,0.6264552483038555,1
Dihydrofurans,0.02719042640359759,0.16788507465477118
Dihydropyranones,0.9722670481810345,1
Dihydropyridinecarboxylic acids and derivatives,0.7720844043110249,1
Dihydropyridines,0.536803810033447,1
Dimethoxybenzenes,0.8522328006642724,1
Dioxopiperazines,0.9999999972347908,1
Dipeptides,0.9999999999998451,1
Diphenylmethanes,0.7322035453799055,1
Diradylglycerols,0.09370819612112045,0.48309759359529086
Disaccharides,1.237330981022206e-8,2.7375947955116307e-7
Diterpene glycosides,5.306922583177672e-8,1.043694774691609e-6
Diterpene lactones,0.04063559254993773,0.2424438162249094
Diterpenoids,0.002352677060735294,0.019519867488288142
Eicosanoids,0.39778831034026274,1
Enoate esters,0.0026596874776335937,0.021727600778822125
Enols,0.9999999998450542,1
Enones,1.622036086376048e-7,2.969115943361004e-6
Epoxides,0.3013629823079767,1
Ethers,0.9750968329625336,1
Fatty acid esters,8.074351287677985e-27,8.57496106751402e-25
Fatty acid methyl esters,0.9993784725248142,1
Fatty acids and conjugates,0.9999975366392146,1
Fatty acyl glycosides,2.7043128915724085e-7,4.487469204452966e-6
Fatty acyl glycosides of mono- and disaccharides,4.4296645985457394e-7,7.1277330358417805e-6
Fatty Acyls,9.454825646966092e-15,3.586080298956425e-13
Fatty alcohols,0.9999998226765896,1
Fatty amides,1,1
Flavones,0.8842049158488738,1
Flavonoids,0.9999999987930175,1
Formamidines,0.9999999924338837,1
Furanoid lignans,0.38845444348213765,1
Furanones,0.4545516415061906,1
Furans,0.8797418531133525,1
Furazans,0.8861951975141096,1
Furofurans,0.8356238523047304,1
Furopyrans,0.6324419218625437,1
Galloyl esters,0.5790405171581737,1
Gamma-keto acids and derivatives,0.7846055936805605,1
Gamma amino acids and derivatives,1,1
Gamma butyrolactones,0.7691082102550717,1
"Gluco/mineralocorticoids, progestogins and derivatives",0.8126734104635179,1
Glucuronic acid derivatives,0.48932616001234536,1
Glucuronides,0.6473161611735089,1
Glutamic acid and derivatives,0.9918712418204543,1
Glutamine and derivatives,0.9999594373278577,1
Glycerol ethers,0.9999999998568815,1
Glycerolipids,0.0013851929263994035,0.01268168006755316
Glycerophosphocholines,2.4887858421666526e-10,6.815075844275383e-9
Glycerophosphoethanolamines,0.004875932957918502,0.03752348406745978
Glycerophospholipids,3.685563547167771e-18,2.7957632050658377e-016
Glycosyl compounds,1.1982374812660958e-6,1.6314464168007612e-5
Glycosylamines,0.32818193010410274,1
Guanidines,0.9999999999999991,1
Haloalkenes,0.35383943289551134,1
Halobenzenes,0.9999913269664722,1
Halogenated fatty acids,0.999997721050254,1
Hemiacetals,0.0073899315454027,0.053754159597381286
Heteroaromatic compounds,0.9471529837763424,1
Heterocyclic fatty acids,0.8728756377075004,1
