feature_number,variable,response,importance
2641,mz,350.2350908,not
2645,mz,361.2374263,not
2646,mz,367.2693598,not
2651,mz,377.1763072,not
2666,mz,443.335063,not
2671,mz,506.3147744,not
2680,mz,606.3353112,not
2688,mz,732.5472382,not
2705,mz,179.1067486,not
2706,mz,180.0880054,not
2708,mz,182.0813558,not
2710,mz,184.1083007,important
2711,mz,184.1333479,not
2712,mz,188.0707184,not
2713,mz,190.0499586,not
2724,mz,202.1802648,not
2726,mz,204.1021151,not
2727,mz,205.097378,not
2730,mz,209.0931579,not
2738,mz,221.1175206,not
2739,mz,221.117533,not
2747,mz,226.1534589,not
2748,mz,226.1914166,not
2756,mz,229.155245,not
2758,mz,231.118214,not
2760,mz,235.2057778,not
2767,mz,237.133884,important
2768,mz,237.1344491,not
2771,mz,238.1468691,not
2773,mz,238.1484834,not
2774,mz,239.1279385,not
2784,mz,247.1199515,not
2785,mz,247.1210308,not
2790,mz,249.1341553,not
2791,mz,249.1848722,not
2795,mz,251.096809,not
2798,mz,251.1389682,not
2799,mz,251.1493144,not
2801,mz,253.1293778,not
2803,mz,253.1532021,important
2804,mz,253.1602953,not
2807,mz,257.1351647,not
2808,mz,258.1816402,not
2809,mz,259.0949674,not
2813,mz,264.1596259,not
2817,mz,266.1387549,important
2820,mz,267.1756537,not
2821,mz,267.1953073,not
2822,mz,268.1043471,not
2825,mz,269.137746,not
2829,mz,275.1414027,not
2834,mz,277.1054628,not
2836,mz,277.1793542,not
2837,mz,278.1406373,not
2840,mz,280.1580342,important
2842,mz,281.1602521,not
2843,mz,281.1596549,important
2844,mz,281.1598113,important
2847,mz,283.1536648,not
2853,mz,291.2163157,not
2857,mz,293.1096926,important
2865,mz,298.2222506,not
2872,mz,303.1763074,not
2873,mz,303.231152,important
2881,mz,309.168491,not
2882,mz,309.2054,not
2883,mz,309.2417576,not
2888,mz,311.1845595,not
2889,mz,312.2376661,not
2895,mz,313.1994818,not
2897,mz,313.2727493,not
2898,mz,313.2730356,not
2900,mz,314.2151942,not
2907,mz,315.1951927,not
2908,mz,315.2312571,not
2915,mz,319.1696236,not
2917,mz,319.1894547,not
2921,mz,324.2374884,not
2922,mz,324.3259361,not
2925,mz,326.231612,not
2926,mz,326.2536388,not
2929,mz,329.0940135,not
2936,mz,331.1061437,not
2937,mz,333.1864113,not
2939,mz,335.1477902,not
2947,mz,342.2476809,not
2948,mz,342.2469914,not
2951,mz,343.1085428,not
2953,mz,343.225708,not
2956,mz,347.2048392,not
2962,mz,349.2371519,not
2963,mz,350.2390182,not
2969,mz,355.1740756,not
2972,mz,357.2052682,not
2975,mz,359.2213574,not
2979,mz,359.2586693,not
2985,mz,363.1194739,important
2993,mz,366.2843388,not
2998,mz,370.2795654,not
2999,mz,371.2202615,not
3000,mz,371.2401214,not
3001,mz,372.2532909,not
3002,mz,372.2576967,not
3006,mz,373.3066474,not
3009,mz,375.1562404,not
3012,mz,377.214342,not
3017,mz,380.243298,not
3018,mz,381.225939,not
3023,mz,387.2517976,not
3026,mz,389.2311692,not
3030,mz,392.2836177,not
3034,mz,398.2901903,not
3037,mz,402.2675138,not
3038,mz,404.228815,not
3043,mz,407.2416807,not
3045,mz,409.1855156,not
3048,mz,413.2680061,not
3049,mz,413.340624,not
3050,mz,414.3039514,not
3054,mz,416.2856284,not
3059,mz,421.2386088,not
3063,mz,423.2368587,not
3064,mz,424.3266171,not
3065,mz,425.3110528,not
3067,mz,429.2633228,not
3068,mz,429.282715,not
3071,mz,431.2995792,not
3079,mz,439.2317514,not
3084,mz,444.3121978,not
3087,mz,446.2939515,not
3094,mz,453.2113612,not
3102,mz,457.3295903,not
3118,mz,467.2623217,not
3119,mz,467.279346,not
3123,mz,469.3956715,not
3126,mz,470.3325343,not
3128,mz,470.3702123,not
3145,mz,483.3528286,not
3146,mz,485.2882732,not
3156,mz,490.3196212,important
3162,mz,492.2807716,not
3163,mz,492.2812685,not
3182,mz,501.2828103,not
3201,mz,517.3729032,not
3212,mz,525.3929269,not
3220,mz,534.3068429,not
3222,mz,534.3445478,not
3227,mz,536.3922572,not
3239,mz,542.3905193,not
3260,mz,551.4432301,not
3263,mz,553.4227472,not
3268,mz,555.2937716,important
3275,mz,558.4002523,important
3281,mz,561.426254,not
3282,mz,562.3077092,not
3284,mz,563.3551504,not
3287,mz,566.3573991,important
3290,mz,567.4384992,not
3300,mz,575.416014,not
3303,mz,580.3339475,not
3312,mz,586.4325129,not
3328,mz,598.4529257,not
3339,mz,603.4068029,not
3346,mz,607.4374386,not
3366,mz,628.4425817,not
3367,mz,628.4425614,not
3377,mz,636.3452665,not
3380,mz,637.4785713,not
3385,mz,641.474542,not
3401,mz,656.4939363,not
3407,mz,661.4679276,not
3420,mz,670.4896867,not
3427,mz,682.5364688,not
3450,mz,713.4948086,not
3461,mz,725.5179875,important
3462,mz,725.5178324,important
3464,mz,726.5018747,important
3483,mz,760.4989594,not
3490,mz,790.5891385,not
3528,mz,229.1056937,not
3529,mz,232.1539543,not
3533,mz,259.077236,not
3549,mz,316.3209515,not
3552,mz,323.2213972,not
3554,mz,325.1394398,not
3556,mz,329.0606799,not
3560,mz,333.1472403,not
3563,mz,347.1257902,not
3564,mz,347.2213001,not
3578,mz,403.2307831,not
3579,mz,405.2259537,not
3582,mz,426.306136,not
3588,mz,483.2727116,not
3594,mz,536.3278091,not
3600,mz,624.3807475,not
3614,mz,152.0535314,not
3615,mz,152.0534183,not
3616,mz,153.0910526,not
3619,mz,161.0961949,not
3620,mz,161.0961959,not
3622,mz,163.1117963,not
3623,mz,164.0932777,not
3624,mz,171.1016083,not
3627,mz,175.0889312,not
3630,mz,177.0910967,not
3632,mz,179.1067708,not
3635,mz,180.0879223,not
3639,mz,181.1223683,not
3640,mz,181.1223552,not
3641,mz,189.1256701,not
3642,mz,189.1275546,not
3643,mz,189.1274363,not
3644,mz,189.1274385,not
3645,mz,189.1274402,not
3646,mz,189.1274285,not
3648,mz,190.0863585,not
3650,mz,191.143089,not
3652,mz,192.0656147,not
3653,mz,193.0715924,not
3654,mz,194.1038493,not
3659,mz,197.1172269,not
3660,mz,197.1173005,not
3661,mz,197.1173097,not
3666,mz,202.1438069,not
3667,mz,203.1406566,important
3670,mz,205.1224729,not
3671,mz,205.1224688,not
3673,mz,207.1381256,not
3676,mz,209.1337407,not
3677,mz,209.1537601,not
3686,mz,213.1620184,not
3688,mz,215.0862525,not
3689,mz,215.1277176,not
3691,mz,215.1431571,not
3692,mz,216.2323984,not
3694,mz,217.122584,not
3695,mz,217.1587857,not
3696,mz,218.1046388,not
3697,mz,218.1390753,not
3698,mz,219.0779561,not
3699,mz,219.1359043,not
3701,mz,220.11832,not
3702,mz,221.0923115,not
3703,mz,221.0923644,not
3704,mz,221.153811,not
3705,mz,221.1538184,not
3713,mz,223.1504769,not
3714,mz,225.1487599,not
3721,mz,229.1552194,not
