feature,delicatissima,galaxiae,hasleana,multiseries,subpacifica,MeanDecreaseAccuracy,MeanDecreaseGini,mean_decrease_important
Aryl.alkyl.ketones,0.0020861904761904754,0.0011033333333333336,9.678095238095241e-4,0.002263952380952382,0.0038643333333333355,0.0019819242955187236,0.09447938698816342,not important
Aryl.bromides,-8.306666666666667e-4,1.8538095238095238e-4,-1.1519047619047624e-4,-5.446666666666664e-4,1.8233333333333337e-4,-2.376866596595699e-4,0.03744748398286725,not important
Aryl.chlorides,4.820000000000001e-4,4.1500000000000006e-4,-4.333333333333328e-6,-4.746666666666665e-4,-1.3333333333333337e-4,6.924871696930515e-5,0.04382185495651892,not important
Aryl.halides,-3.4766666666666675e-4,3.06e-4,-1.3666666666666666e-4,6.253333333333333e-4,0.0015153333333333345,3.595546230515267e-4,0.050707035906437076,not important
Aryl.ketones,0.001252333333333334,2.183333333333334e-4,1.5628571428571425e-4,8.264285714285717e-4,9.533333333333334e-4,6.353522876332467e-4,0.051225234133174855,not important
Aspartic.acid.and.derivatives,0.019284238095238083,-6.154761904761903e-4,0.0016698095238095254,6.573333333333333e-4,0.00115852380952381,0.003995512795168382,0.29668183226526357,important
Azacyclic.compounds,0.0013036666666666674,8.990000000000002e-4,0.0016196666666666664,0.0028515238095238107,0.0031216190476190484,0.0018510186891711677,0.08472233942276529,not important
Azaspirodecane.derivatives,5.433333333333331e-4,8.588571428571433e-4,7.099999999999996e-5,0.01494366666666667,4.90666666666667e-4,0.0032377151841966275,0.21736173741399786,important
Azetidines,7.375714285714284e-4,-9.233333333333335e-5,-3.850476190476189e-4,0.00148452380952381,-7.836666666666669e-4,2.0849462620283022e-4,0.087858724222906,not important
Azo.compounds,-1.8866666666666674e-4,0.0012416666666666667,-1.1804761904761902e-4,8.045238095238098e-4,8.343333333333336e-4,5.332978075416151e-4,0.05549570388884821,not important
Azo.imides,-3.666666666666667e-4,0.0011314761904761908,-8.400000000000004e-5,7.906666666666666e-4,0.0012771428571428575,5.426092101053399e-4,0.06508828548986809,not important
Azoles,0.0014743333333333336,9.668571428571439e-4,0.001223380952380953,0.00231852380952381,0.002992666666666666,0.0017060450761828489,0.08270094294122,not important
Azolines,0.001250333333333334,0.001071666666666667,0.001514666666666667,0.0020830000000000002,0.004111333333333334,0.0018197825804226755,0.08913623515040732,not important
B,0,0,0,0,0,0,0,not important
Benzene.and.substituted.derivatives,0.0013433333333333342,0.0014631904761904769,0.0013290000000000012,0.0029933333333333344,0.0032830000000000025,0.0019604583363832615,0.09118906164535096,not important
Benzenoids,9.241904761904768e-4,0.001096666666666667,0.0013336666666666677,0.002637333333333333,0.0030723333333333336,0.0017108730146702302,0.08007308096527893,not important
Benzodiazines,0.0014936666666666672,0.0010146666666666672,0.0016925238095238096,0.0030130000000000005,0.0034713333333333328,0.0020161060101748954,0.08411244088923044,not important
Benzoic.acid.esters,0.0016190000000000006,0.001344666666666668,0.0013490000000000006,0.0024622380952380963,0.0035753333333333323,0.0019173832626781572,0.09706711542025125,not important
Benzoic.acids,0.012007000000000014,0.0018397619047619057,9.208571428571436e-4,0.002809666666666668,0.0049736666666666705,0.003983770599541506,0.2260225964981159,important
Benzoic.acids.and.derivatives,0.0014511904761904766,0.0014007142857142864,0.0015780000000000006,0.0025216666666666664,0.004198666666666667,0.0021229261651661063,0.09062617982083482,not important
Benzopyrans,6.066666666666665e-4,4.513333333333333e-4,2.54e-4,0.0014196666666666663,3.053333333333333e-4,5.714151703989163e-4,0.04388483036215415,not important
Benzoyl.derivatives,0.0015776666666666665,0.001065000000000001,0.001520666666666667,0.003154000000000001,0.0036226666666666664,0.0020878344926487367,0.09104571213895588,not important
Benzylamines,6.688571428571425e-4,5.936666666666666e-4,6.823333333333332e-4,0.02783295238095239,0.0016994761904761914,0.005760354810222466,0.3507859948842419,important
Beta.amino.acids.and.derivatives,4.4766666666666674e-4,-1.461904761904762e-4,-3.1214285714285713e-4,0.006487333333333331,-1.6385714285714275e-4,0.0010709111324691853,0.09390961177520882,not important
Beta.hydroxy.acids.and.derivatives,3.9819047619047625e-4,-6.333333333333332e-5,-2.2095238095238098e-4,9.666666666666665e-4,3.0533333333333335e-4,3.0866959201788894e-4,0.03001947151802249,not important
Beta.lactams,0.005698047619047615,2.0966666666666665e-4,0.001220190476190478,0.0026583333333333324,0.0034216666666666657,0.002411646281393189,0.15054135965368046,important
Beta.amino.ketones,0.0016161904761904761,2.8514285714285724e-4,8.273333333333338e-4,0.010224666666666665,-9.957142857142858e-4,0.0020057044758646976,0.1468787023903145,not important
Beta.diketones,8.086666666666667e-4,2.266666666666667e-4,-1.3133333333333332e-4,5.400476190476191e-4,-8.066666666666668e-5,2.2237305513543896e-4,0.05175821870039892,not important
Br,1.1133333333333333e-4,-2.3466666666666671e-4,-2.726666666666666e-4,3.4352380952380957e-4,-1.8933333333333337e-4,-6.398981324832719e-5,0.019394732217077746,not important
Branched.fatty.acids,0.001740333333333334,-1.646666666666666e-4,-8.88095238095238e-5,0.0015402380952380954,6.2e-5,5.802343156499501e-4,0.06644464573814933,not important
Branched.unsaturated.hydrocarbons,8.28571428571428e-6,1.5271428571428573e-4,-4.275714285714285e-4,-9.109523809523806e-5,0.0015937142857142862,1.9090620765543356e-4,0.042131101031776703,not important
Butenolides,2.226666666666667e-4,5.436666666666665e-4,8.800000000000001e-5,1.008571428571429e-4,4.919999999999999e-4,2.4317171287604718e-4,0.03427701449703601,not important
Butyrophenones,0.005844333333333335,0.0012346666666666671,0.001438333333333334,0.002959523809523809,0.0037261904761904776,0.0027817525883988797,0.14644637739687133,important
C,7.233333333333332e-5,9.733333333333332e-5,-8.580952380952382e-5,0.0010926666666666667,2.7366666666666663e-4,2.7995419793484767e-4,0.0320491787478274,not important
C_log10,5.443333333333332e-4,-3.0733333333333345e-4,-2.3352380952380955e-4,0.0010990000000000004,4.913333333333332e-4,3.190826919898124e-4,0.039962768965120916,not important
C.nitro.compounds,0.004091000000000003,1.60952380952381e-5,8.983333333333334e-4,-1.366666666666666e-4,7.293333333333335e-4,0.0010129834438007844,0.11646602307502489,not important
Carbamate.esters,7.505238095238102e-4,2.0666666666666656e-5,-2.5404761904761897e-4,0.0011041904761904765,-5.296666666666666e-4,1.661045216393513e-4,0.035527870148062,not important
