sample_code,Alcohols and polyols,Alkyl phosphates,"Alpha,beta-unsaturated carbonyl compounds","Alpha,beta-unsaturated ketones",Aminosaccharides,Androstane steroids,Carbonyl compounds,Carboxylic acid derivatives,Carboxylic acid esters,Carboxylic acids and derivatives,Cholines,Dialkyl phosphates,Dicarboxylic acids and derivatives,Disaccharides,Fatty acid esters,Fatty Acyls,Glycerophosphocholines,Glycerophospholipids,Lipids and lipid-like molecules,O-glycosyl compounds,Organic acids and derivatives,Organic cations,Organic oxides,Organic phosphoric acids and derivatives,Organic salts,Phosphate esters,Phosphatidylcholines,Phosphocholines,Quaternary ammonium salts,Secondary alcohols,Steroid esters,Tetraalkylammonium salts
Exp2_Pn-delicatissima_A_DOM_I,0.46862908027264505,0.06328779298136195,0.27550134531625764,0.16195218790248178,0,0.0895624074394449,1.295294981478639,0.65181466703342,0.47603381806132283,0.8616938992073041,0,0.044736280102247346,0.4276447724989879,0,0.07753733648216919,0.4833612822119522,0,0,0.7131469804266849,0,0.8963053986458455,0.17408301063648043,1.3967133161584162,0.06328779298136195,0.2113313024021523,0.044736280102247346,0.0895624074394449,0.044736280102247346,0.044736280102247346,0.2830491909746638,0,0.044736280102247346
Exp2_Pn-delicatissima_A_DOM_II,0.5148943387727872,0.0707697366622136,0.16660086201027519,0.1666008620102752,0,0.08671116054780226,1.3030329996377024,0.7302866384035749,0.5350708071951542,0.9830020746743241,0,0.050020856805770016,0.48214523579090485,0,0.08671116054780226,0.5407527743903904,0,0,0.6382847445229571,0,1.0443155792136378,0.1881917411588641,1.4381198519960718,0.0707697366622136,0.2367255786360331,0.050020856805770016,0.1001674211615598,0.050020856805770016,0.050020856805770016,0.31332210582037034,0,0.050020856805770016
Exp2_Pn-delicatissima_A_Unfil_I,0.8633926511601475,0.7131830706686421,0.2790958344589496,0.24291711717159287,0.2588814563928645,0.22917282755893398,1.1971792887410246,0.9997621769500052,0.8924645049344826,1.0971779734536378,0.4749369144973012,0.6461033122016232,0.5326248771749793,0.20940758197338893,0.7378264237445034,0.849142125280839,0.48388182016773507,0.6889075064064752,1.1213646932843282,0.2857677032332605,1.1491450723981553,0.3046926540153975,1.2717655310478382,0.716429665188256,0.3832396180368444,0.7148067424518824,0.2987134929867313,0.4877740621747462,0.48388182016773507,0.8027230584952686,0.16984628808367366,0.48214523579090485
Exp2_Pn-delicatissima_A_Unfil_II,0.8801958521183002,0.6452363451669874,0.25623253968545806,0.2461140674733409,0.2420134418378582,0.22639417283711577,1.1911946557475246,1.0112006998305247,0.9005150468096292,1.1237034209811283,0.39751986039910614,0.5797796150896611,0.5659880346712751,0.24961786307898529,0.7213772185926592,0.8512292201860561,0.40677486051416,0.6206377127346792,1.1161848051189451,0.35845003963183125,1.1858236558310256,0.2570158550370004,1.2849863028965003,0.6577334844134064,0.3226042838610771,0.6554796375229669,0.25779700312304515,0.4097654569487353,0.4048307326738403,0.8208123815813512,0.18431690213615123,0.4032347114596059
Exp2_Pn-delicatissima_B_DOM_I,0.46862908027264505,0.06328779298136195,0.27550134531625764,0.16195218790248178,0,0.0895624074394449,1.295294981478639,0.65181466703342,0.47603381806132283,0.8616938992073041,0,0.044736280102247346,0.4276447724989879,0,0.07753733648216919,0.4833612822119522,0,0,0.7131469804266849,0,0.8963053986458455,0.17408301063648043,1.3967133161584162,0.06328779298136195,0.2113313024021523,0.044736280102247346,0.0895624074394449,0.044736280102247346,0.044736280102247346,0.2830491909746638,0,0.044736280102247346
Exp2_Pn-delicatissima_B_DOM_II,0.46862908027264505,0.06328779298136195,0.27550134531625764,0.16195218790248178,0,0.0895624074394449,1.295294981478639,0.65181466703342,0.47603381806132283,0.8616938992073041,0,0.044736280102247346,0.4276447724989879,0,0.07753733648216919,0.4833612822119522,0,0,0.7131469804266849,0,0.8963053986458455,0.17408301063648043,1.3967133161584162,0.06328779298136195,0.2113313024021523,0.044736280102247346,0.0895624074394449,0.044736280102247346,0.044736280102247346,0.2830491909746638,0,0.044736280102247346
Exp2_Pn-delicatissima_B_Unfil_I,0.9034245362881665,0.6566466688307485,0.2672402914853043,0.2521978632226931,0.2557615018470387,0.23215213178548805,1.1892244742089195,1.0197517889411367,0.9162189820811644,1.1150289499346915,0.42374507475530343,0.5892020052962348,0.5470010329347273,0.2808038766467193,0.7308902615037791,0.8482300667502397,0.42976076394319507,0.6247834524842428,1.1333418037969165,0.3878959773307214,1.1800526072548996,0.27139910324118255,1.2772307152818079,0.659815271473084,0.34145999798037396,0.6581627389025675,0.2677633271571938,0.4353661432298603,0.4311671458244635,0.8338740705082665,0.18801028132060565,0.42940863594116474
Exp2_Pn-delicatissima_B_Unfil_II,0.9047369576466308,0.7172771688554455,0.2651191601420388,0.24303124891330963,0.24078519418130412,0.20249735994933882,1.189454860640986,1.0362360661356251,0.9319658275743478,1.1305143733221379,0.4500749520870841,0.6385186614554585,0.5599230894719869,0.22823739117506156,0.7718144029363666,0.8854678736031614,0.4565197107788901,0.6821281863704136,1.1184393112137196,0.3279188858900195,1.2008251758855746,0.28510184061861754,1.2935325080769047,0.7205899828635115,0.3612542842523022,0.719536223038056,0.2834385448581881,0.46177931512300635,0.4580267806536878,0.8348818874376974,0.1749558528980922,0.45595365481183975
Exp2_Pn-galaxiae_A_DOM_I,0.46862908027264505,0.06328779298136195,0.27550134531625764,0.16195218790248178,0,0.0895624074394449,1.295294981478639,0.65181466703342,0.47603381806132283,0.8616938992073041,0,0.044736280102247346,0.4276447724989879,0,0.07753733648216919,0.4833612822119522,0,0,0.7131469804266849,0,0.8963053986458455,0.17408301063648043,1.3967133161584162,0.06328779298136195,0.2113313024021523,0.044736280102247346,0.0895624074394449,0.044736280102247346,0.044736280102247346,0.2830491909746638,0,0.044736280102247346
Exp2_Pn-galaxiae_A_DOM_II,0.46862908027264505,0.06328779298136195,0.27550134531625764,0.16195218790248178,0,0.0895624074394449,1.295294981478639,0.65181466703342,0.47603381806132283,0.8616938992073041,0,0.044736280102247346,0.4276447724989879,0,0.07753733648216919,0.4833612822119522,0,0,0.7131469804266849,0,0.8963053986458455,0.17408301063648043,1.3967133161584162,0.06328779298136195,0.2113313024021523,0.044736280102247346,0.0895624074394449,0.044736280102247346,0.044736280102247346,0.2830491909746638,0,0.044736280102247346
Exp2_Pn-galaxiae_A_Unfil_I,0.8690777215387984,0.7717122439799555,0.2764047862165615,0.25430620958879785,0.21184395888191568,0.21343855380452192,1.1984255947670963,1.029596449247004,0.9325115822719395,1.1265137235254505,0.5128964314154357,0.7013182479271575,0.5486208378996862,0.18126863114398706,0.8029017382851229,0.9033307083022558,0.5255716791300844,0.7408656261599711,1.1532119870394313,0.25159095646093343,1.1899611158286907,0.31377057379670237,1.2943915405783346,0.774081407731769,0.4033795810475921,0.7739497946812034,0.3378549355688805,0.529051352999102,0.5219258796221657,0.7888192427220132,0.15793526235796307,0.5168874612231845
Exp2_Pn-galaxiae_A_Unfil_II,0.8033089703847287,0.6809185593494492,0.27452254187944947,0.22657811602176411,0.15154528087895908,0.2249792918090501,1.1332529265248579,0.9166684394640469,0.8226418965836795,1.0163099556524855,0.49879684398900187,0.6149040393461329,0.5265476572246113,0.16924702084702703,0.7034032398686965,0.8179793554012121,0.499626798032287,0.6320763878529037,1.065658876659062,0.21571093730667587,1.0919134550758343,0.303063601327276,1.249045772398254,0.6821069079307789,0.3983502930859168,0.6825820812872458,0.317462418610474,0.5023869477837789,0.504862828788992,0.7191580583211348,0.1451823327605915,0.5045881126191195
Exp2_Pn-galaxiae_B_DOM_I,0.46862908027264505,0.06328779298136195,0.27550134531625764,0.16195218790248178,0,0.0895624074394449,1.295294981478639,0.65181466703342,0.47603381806132283,0.8616938992073041,0,0.044736280102247346,0.4276447724989879,0,0.07753733648216919,0.4833612822119522,0,0,0.7131469804266849,0,0.8963053986458455,0.17408301063648043,1.3967133161584162,0.06328779298136195,0.2113313024021523,0.044736280102247346,0.0895624074394449,0.044736280102247346,0.044736280102247346,0.2830491909746638,0,0.044736280102247346
Exp2_Pn-galaxiae_B_DOM_II,0.46862908027264505,0.06328779298136195,0.27550134531625764,0.16195218790248178,0,0.0895624074394449,1.295294981478639,0.65181466703342,0.47603381806132283,0.8616938992073041,0,0.044736280102247346,0.4276447724989879,0,0.07753733648216919,0.4833612822119522,0,0,0.7131469804266849,0,0.8963053986458455,0.17408301063648043,1.3967133161584162,0.06328779298136195,0.2113313024021523,0.044736280102247346,0.0895624074394449,0.044736280102247346,0.044736280102247346,0.2830491909746638,0,0.044736280102247346
Exp2_Pn-galaxiae_B_Unfil_I,0.8404426151914588,0.7688618156439968,0.28304919097466374,0.2726870089447651,0.19479262076229406,0.2190020419158413,1.202131619504144,1.039075396796464,0.9381638596977485,1.14174003299383,0.5011295272505836,0.6963955534720295,0.5683816236141127,0.17408301063648043,0.8066045206270737,0.9102929145791255,0.5163319085932259,0.7430809953811015,1.156196854006269,0.22428674728973644,1.200943252032019,0.3093210733182263,1.2965710107864912,0.780331410015466,0.39713899509040873,0.7784646078495288,0.33678480422358137,0.5174181608296647,0.5104102229402714,0.77553085626457,0.2135952813255563,0.5055473752081431
Exp2_Pn-galaxiae_B_Unfil_II,0.8161770921762991,0.7064630939397067,0.2918489663199373,0.2724396347556218,0.24208318048997035,0.2139087342331582,1.2019333425682721,1.0089773591428068,0.9055382106580339,1.1179973284459395,0.4871349845593112,0.6533626251196174,0.5618189676520897,0.1931238663740463,0.7676729319893479,0.8771785348727397,0.5013818431789347,0.6821339773053156,1.145470659417218,0.26751516582706425,1.177011486195017,0.3022513774207075,1.2904015462749547,0.717851118404466,0.38767419602209524,0.7155509592547575,0.32968385040877995,0.5034813303469311,0.4961082617399431,0.7577891987811178,0.22811306066353237,0.49140686811633816
Exp2_Pn-hasleana_A_DOM_I,0.5090406068490567,0.0707697366622136,0.3090335659276074,0.17408301063648043,0,0.1001674211615598,1.293390810304861,0.595893653049473,0.5293532869303744,0.7603877349945632,0,0.050020856805770016,0.47295813451679397,0,0.0707697366622136,0.18126863114398709,0,0,0.5823642378687435,0,0.7978994658471288,0.1881917411588641,1.3759159603961595,0.0707697366622136,0.23118256200971368,0.050020856805770016,0.1001674211615598,0.050020856805770016,0,0.3090335659276074,0,0
Exp2_Pn-hasleana_A_DOM_II,0.5090406068490567,0.0707697366622136,0.3090335659276074,0.17408301063648043,0,0.1001674211615598,1.293390810304861,0.595893653049473,0.5293532869303744,0.7603877349945632,0,0.050020856805770016,0.47295813451679397,0,0.0707697366622136,0.18126863114398709,0,0,0.5823642378687435,0,0.7978994658471288,0.1881917411588641,1.3759159603961595,0.0707697366622136,0.23118256200971368,0.050020856805770016,0.1001674211615598,0.050020856805770016,0,0.3090335659276074,0,0
Exp2_Pn-hasleana_A_Unfil_I,0.8431320038530514,0.711751876466861,0.28204972879639134,0.25650860341015863,0.22904205472076747,0.2248662996103232,1.2179224432936624,1.0391033288382396,0.9327323512001628,1.1308170568640974,0.4732619751658507,0.6658105518958687,0.5744027395545265,0.18645979375678412,0.7694799815863669,0.8731722374133619,0.48582139075788255,0.6987682062990103,1.1501360300401382,0.2530436768702175,1.1768580414499257,0.29773290007664943,1.2911264440678862,0.723550425552589,0.3798298399803593,0.7218469076010636,0.3124805189629669,0.48582139075788255,0.4774156395232664,0.7746931202134143,0.23439826656961235,0.47499566555899037
Exp2_Pn-hasleana_A_Unfil_II,0.8784699245465689,0.7913137943646759,0.2674871909601504,0.24055816393754345,0.2209465903271554,0.222260325308562,1.2019333425682721,1.0307618821643754,0.9392216362645122,1.1174401443423194,0.5162487971942286,0.7161630384105282,0.5632297741167721,0.1880000532676602,0.800189052903428,0.8989058196760473,0.5284642015999452,0.7593300172656318,1.1713249826208587,0.25362416244826724,1.1804473689771622,0.3175010738239093,1.2943280177169765,0.794271868652747,0.4063050435936091,0.7931449522042998,0.3420963295399465,0.5320152380429307,0.5245740303582791,0.8023027921815394,0.20703243198361299,0.5180513427122558
Exp2_Pn-hasleana_B_DOM_I,0.46862908027264505,0.06328779298136195,0.27550134531625764,0.16195218790248178,0,0.0895624074394449,1.295294981478639,0.65181466703342,0.47603381806132283,0.8616938992073041,0,0.044736280102247346,0.4276447724989879,0,0.07753733648216919,0.4833612822119522,0,0,0.7131469804266849,0,0.8963053986458455,0.17408301063648043,1.3967133161584162,0.06328779298136195,0.2113313024021523,0.044736280102247346,0.0895624074394449,0.044736280102247346,0.044736280102247346,0.2830491909746638,0,0.044736280102247346
Exp2_Pn-hasleana_B_DOM_II,0.506097880726048,0,0.3046926540153975,0.1666008620102752,0,0.1001674211615598,1.2981735831855823,0.49720360602934977,0.19488036639873743,0.7903982467345319,0,0,0.19488036639873743,0,0.0707697366622136,0.5407527743903904,0,0,0.8154161926200875,0,0.8004004143091868,0.16660086201027519,1.375915960396159,0.0707697366622136,0.1587802146457607,0.050020856805770016,0.08671116054780226,0.050020856805770016,0.050020856805770016,0.2677633271571939,0,0.050020856805770016
Exp2_Pn-hasleana_B_Unfil_I,0.8379564387484428,0.7148566896123273,0.26866640911299317,0.23588065695646077,0.17853770574398525,0.22936523061019268,1.1802565145462205,0.9878042676691196,0.8892195316081745,1.0863143491861351,0.45959679640437323,0.633696804108977,0.5385715208710463,0.17408301063648043,0.7444292589917005,0.8487986937618006,0.46537614081017353,0.6790598759130984,1.132447106813926,0.24322287931787653,1.157185292994272,0.28304919097466374,1.2742631442243493,0.7176526150750367,0.3697769902904764,0.7162549243337923,0.2932136552768586,0.4703449383365673,0.4653761408101736,0.7616969806715854,0.19457647154309976,0.464800459378573
Exp2_Pn-hasleana_B_Unfil_II,0.881057588150233,0.7769362209997659,0.25260079791863316,0.22231574659219763,0.1802900560119503,0.22195780006134364,1.1879648484621983,1.0205913721942386,0.9212161032357599,1.1211435814563246,0.4891331522597834,0.6967811065461487,0.5581126613495425,0.13164594705477625,0.7827827668553503,0.8895339992152167,0.5023699919382308,0.7414956184712455,1.1370685362177944,0.21652233125570577,1.191753740049772,0.3094978855627264,1.2967677961611637,0.7801672987494476,0.3918491865705402,0.7795518763384262,0.32785486926184354,0.50509943129067425,0.5001796086974873,0.8090993461233114,0.16530245459924886,0.4946764313593204
Exp2_Pn-multiseries_A_DOM_I,0.46862908027264505,0.06328779298136195,0.27550134531625764,0.16195218790248178,0,0.0895624074394449,1.295294981478639,0.65181466703342,0.47603381806132283,0.8616938992073041,0,0.044736280102247346,0.4276447724989879,0,0.07753733648216919,0.4833612822119522,0,0,0.7131469804266849,0,0.8963053986458455,0.17408301063648043,1.3967133161584162,0.06328779298136195,0.2113313024021523,0.044736280102247346,0.0895624074394449,0.044736280102247346,0.044736280102247346,0.2830491909746638,0,0.044736280102247346
Exp2_Pn-multiseries_A_DOM_II,0.506097880726048,0,0.3046926540153975,0.1666008620102752,0,0.1001674211615598,1.2981735831855823,0.49720360602934977,0.19488036639873743,0.7903982467345319,0,0,0.19488036639873743,0,0.0707697366622136,0.5407527743903904,0,0,0.8154161926200875,0,0.8004004143091868,0.16660086201027519,1.375915960396159,0.0707697366622136,0.1587802146457607,0.050020856805770016,0.08671116054780226,0.050020856805770016,0.050020856805770016,0.2677633271571939,0,0.050020856805770016
Exp2_Pn-multiseries_A_Unfil_I,0.8330629171428205,0.6400253349653484,0.27758123666977097,0.269211391219022,0.22930731858794853,0.2094726239519916,1.2118154448056424,1.0416555011965718,0.9355135897202368,1.149889437623476,0.43573407464739017,0.5929999970770332,0.5729522539125421,0.24609899585283068,0.7569569024276763,0.8814508324982286,0.4517344895420891,0.6263400929101985,1.1597848516830376,0.3310493830404567,1.2048335203969316,0.27546597166473674,1.2914633302290022,0.6559954599512203,0.34886989763909854,0.6533116302823935,0.296010287165391,0.4523236186454386,0.4436669865408192,0.7756753284309368,0.25515555090142117,0.43959334841468156
