sample,116_NA_NA,1245_NA_NA,1269_NA_NA,1522_NA_NA,1688_NA_NA,1747_NA_NA,175_NA_NA,1783_NA_NA,1795_Domoic acid_Amino acids and derivatives,1855_Methyl-Domoic Acid_Amino acids and derivatives,1862_NA_Long-chain fatty acids,1928_NA_NA,209_NA_NA,2197_NA_NA,2253_NA_NA,2329_NA_NA,2343_NA_NA,2360_NA_NA,2388_NA_Carboxylic acid amides,2443_NA_NA,2468_NA_NA,2569_NA_NA,2594_NA_NA,2606_NA_NA,2684_NA_NA,2692_NA_NA,2707_NA_NA,2710_NA_NA,2767_NA_NA,2768_NA_NA,2803_NA_NA,2817_Domoic acid_Amino acids and derivatives,2840_NA_NA,2843_NA_NA,2844_NA_NA,2857_NA_NA,2871_NA_NA,"2873_cis-5,8,11,14,17-Eicosapentaenoic acid_Long-chain fatty acids",2970_NA_NA,2987_NA_NA,3046_NA_NA,3057_NA_NA,3088_NA_NA,3122_NA_NA,3124_NA_NA,3135_NA_NA,3136_NA_NA,3137_NA_NA,3140_NA_NA,3144_NA_NA,3156_NA_Dialkyl ethers,3187_NA_Dialkyl ethers,320_NA_NA,3211_NA_NA,3275_NA_NA,3287_NA_NA,3310_NA_NA,3375_NA_NA,3389_NA_NA,3409_NA_Cobalamin derivatives,3443_NA_NA,3455_NA_NA,3461_NA_NA,3462_NA_NA,3464_NA_NA,3471_NA_NA,3475_NA_NA,3477_NA_NA,3478_NA_NA,3498_NA_NA,3501_NA_NA,3506_NA_NA,3510_NA_NA,3667_Ala-Leu_Peptides,3740_NA_NA,3798_NA_NA,3916_NA_Prostaglandins and related compounds,3986_NA_NA,3988_7'-carboxy-N-geranyl-L-gluatamic acid_NA,4008_NA_NA,4018_NA_Monoacylglycerols,4047_NA_NA,4075_Tyr-Arg_Peptides,4207_NA_NA,4241_NA_NA,4293_NA_NA,4315_NA_NA,4334_NA_NA,4353_NA_Dialkyl ethers,4379_NA_NA,4397_NA_NA,4398_NA_NA,4414_NA_Glycero-3-phospho-N-acyl-ethanolamines,4428_NA_NA,4441_NA_N-acyl amines,4448_NA_NA,4460_NA_Glycero-3-phospho-N-acyl-ethanolamines,4471_Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphoethanolamine from NIST14_Lysophosphatidylethanolamines,4582_Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14_Lysophosphatidylcholines,4664_NA_NA,4692_NA_Dialkyl ethers,4700_NA_NA,4763_NA_NA,4771_NA_NA,4792_NA_NA,4814_NA_NA,4816_NA_NA,4817_NA_NA,4827_NA_NA,4828_NA_NA,4884_NA_NA,4906_NA_NA,4921_NA_NA,5061_NA_NA,5084_NA_Amino acids and derivatives,5090_NA_Amino acids and derivatives,5114_NA_NA,5145_NA_NA,5188_NA_NA,5202_NA_NA,5299_NA_NA,5355_NA_NA,5375_NA_Prostaglandins and related compounds,5376_NA_Prostaglandins and related compounds,5387_NA_NA,5393_NA_NA,"5432_1-O-Hexadecyl-2-O-acetyl-sn-glyceryl-3-phosphorylcholine_1-alkyl,2-acylglycero-3-phosphocholines",5563_Ser-Phe_Peptides,5621_NA_NA,5657_NA_NA,5686_NA_NA,5730_NA_NA,5738_NA_NA,5751_NA_NA,5770_NA_NA,5862_NA_NA,5875_NA_NA,5893_NA_NA,5958_NA_NA,5960_NA_NA,5974_NA_NA,6033_NA_Thiamines,6043_NA_NA,6045_NA_NA,6055_NA_NA,6063_NA_NA,6078_NA_NA,6079_NA_NA,6094_NA_NA,6104_NA_NA,6106_NA_NA,6111_NA_NA,6117_NA_NA,6119_NA_NA,6121_NA_NA,6146_NA_Prostaglandins and related compounds,6159_NA_NA,617_NA_NA,6177_NA_NA,6189_NA_NA,6191_NA_NA,6193_NA_NA,6212_NA_NA,6215_NA_NA,6299_NA_NA,6313_NA_NA,6386_NA_NA,6399_NA_NA,6405_NA_NA,6410_NA_NA,6416_NA_NA,6421_NA_NA,6424_NA_NA,6425_NA_Sugar acids and derivatives,6429_NA_NA,6439_NA_NA,646_NA_NA,6483_NA_NA,6484_NA_NA,6486_NA_NA,6494_NA_NA,6495_NA_NA,6505_NA_NA,6510_NA_NA,6530_NA_NA,6566_NA_NA,6582_NA_NA,6648_NA_NA,6656_NA_Androgens and derivatives,6661_NA_NA,6689_2-hydroxy-3-(2-hydroxyacetoxy)propyl palmitate_Lysophosphatidylethanolamines,"6693_Spectral Match to 1,2-Dioctanoyl PC from NIST14_Phosphatidylcholines",6731_NA_NA,6765_NA_NA,6795_NA_NA,683_NA_NA,6891_NA_Long-chain fatty alcohols,6924_NA_NA,6927_NA_NA,6932_NA_NA,6976_NA_NA,6997_NA_NA,6999_NA_NA,7002_NA_NA,7032_NA_NA,7082_NA_NA,7084_NA_NA,7104_NA_NA,7112_NA_Lysophosphatidylcholines,7121_NA_NA,7132_NA_NA,7147_NA_NA,7245_NA_NA,7261_NA_NA,7265_NA_NA,7269_NA_NA,7276_NA_NA,7278_NA_NA,7280_NA_NA,7281_NA_Monosaccharides,7283_NA_NA,7287_NA_NA,7289_NA_NA,7290_NA_NA,7291_NA_NA,7294_NA_NA,7297_NA_NA,7298_NA_NA,7313_NA_NA,7315_NA_NA,7318_NA_NA,7325_NA_NA,7355_NA_NA,7364_NA_NA,7365_NA_NA,7371_NA_NA,7376_NA_NA,7409_NA_NA,7416_NA_NA,742_NA_NA,7425_NA_NA,743_NA_NA,7455_NA_NA,7458_NA_NA,747_NA_Dialkyl ethers,7470_NA_NA,7486_NA_NA,7493_NA_NA,7584_NA_NA,7633_NA_NA,7636_NA_NA,7656_NA_NA,7665_NA_NA,7707_NA_NA,7725_NA_NA,7752_NA_NA,7767_NA_NA,7841_NA_NA,7852_NA_NA,7873_NA_NA,7880_NA_NA,7884_NA_NA,7891_NA_NA,790_NA_NA,7926_NA_NA,7928_NA_NA,7931_NA_NA,7942_NA_NA,8032_NA_NA,8075_NA_NA,8086_NA_NA,8087_NA_NA,8089_NA_N-acyl amines,8094_NA_NA,8097_NA_NA,8104_NA_NA,8109_NA_NA,8111_NA_NA,8112_NA_NA,8114_NA_NA,8116_NA_NA,8127_NA_NA,8128_NA_NA,8135_NA_NA,8138_NA_NA,8142_NA_NA,8143_NA_NA,8162_NA_NA,8164_NA_NA,8165_NA_NA,8166_NA_NA,8167_NA_NA,8201_NA_NA,8215_NA_NA,8219_NA_Anthracenecarboxylic acids,8227_NA_NA,8237_NA_NA,8247_NA_NA,8254_NA_NA,8259_NA_NA,8260_NA_Prostaglandins and related compounds,8261_NA_NA,8262_NA_NA,8297_NA_NA,8308_NA_NA,8331_NA_NA,8366_NA_NA,8410_NA_NA,8411_NA_NA,8412_NA_NA,8415_NA_NA,8420_NA_NA,8437_NA_NA,"864_1-O-Hexadecyl-2-O-acetyl-sn-glyceryl-3-phosphorylcholine_1-alkyl,2-acylglycero-3-phosphocholines",8743_NA_NA,8829_NA_NA,8838_NA_NA,8861_NA_NA,8871_NA_NA,8882_NA_NA,8905_NA_NA,8969_NA_NA,8976_NA_NA,8992_NA_NA,9024_NA_Long-chain fatty acids,9038_NA_NA,9041_NA_NA,9042_NA_NA,9044_NA_NA,9046_NA_NA,9047_NA_NA,9055_NA_NA,9057_NA_NA,9084_NA_NA,9085_NA_NA,9104_NA_NA,9132_NA_2-benzopyrans,9163_NA_NA,9169_NA_NA,9173_NA_NA,9239_NA_NA,9301_NA_NA,9398_NA_NA,9435_NA_Prostaglandins and related compounds,9467_NA_NA,9491_NA_NA,9904_NA_NA
Pn-delicatissima_A,-0.7912036386634271,-0.23934365649092845,-0.339976366331014,-0.3671690458858964,-0.6850842954118966,-0.5131978867079888,-0.10746531070045011,-0.5851795023825319,-0.5630248733513488,-0.26403852450833487,-0.4979159702889182,-0.42119471161713207,-0.15951105112281144,-0.8016195518895393,-0.0639462407773835,-0.44167088048778547,-0.5299969274503148,-0.5970964011628075,-0.43175857044494126,-0.553116623540668,-1.111114855519101,-0.43865721648478395,0.285457155565581,-0.3495991454087848,-0.8160917125331508,-0.8419563496505387,-0.5267172190715099,-0.6049273389377273,-0.6196674618546583,-0.5778178655828184,-0.1498338305465869,-0.5938329936835334,-0.35515894773831,-0.7698718293283614,-0.6107455913917457,-0.6644445347037213,-0.7969098421960432,-1.3759674458958697,-0.6063428182561881,-0.9131553934820128,-0.6092764903145518,-0.6574966472751476,-0.5474541434875279,-0.5728064863824338,-0.6083602838682735,-0.8673283042110729,-1.021925278479679,-0.5916011055011172,-0.5352046122607322,-0.6457780312816894,-0.016448692901283157,-0.16967757580490633,-1.0849141722355315,-0.6263260528148129,-0.5569599138960162,-0.0716423293010207,-0.5954659705097528,-0.7898717083484613,-0.5231465423628239,-0.7718197990065441,-0.7152806673089094,-0.7333571883286386,-0.8698028861468842,-0.8466190570632354,-0.6051203083673465,-0.7811422306166712,-0.667350980930487,-0.9487884064151128,-0.9182256658150424,-0.5997941323116619,-0.7806308191879681,-0.6069444840392518,-0.660508658601884,-0.8092848271909553,-0.3160895853668493,-0.5084463389442877,-0.5384398204180734,-0.4211467612575069,-0.40058265019559836,-0.9769448019711309,-1.175242999527626,-0.4924930775723948,-0.8934979338959557,-0.3792157097711203,-0.519438071856207,-1.2706911050731378,-1.0282229874542417,0.21231892766835914,0.1612248685539915,-0.4547910098127592,-0.9674217406562358,-1.0860669814159387,-0.3187375362362308,-0.5387505121161944,-0.8093800057211533,-0.9682082991419735,-0.9783806933161614,-0.6191229629797367,-0.7702919183278429,-0.44519060656394127,-0.48801290652900947,-0.43711187615699176,-0.3335631399525048,-1.1998789209115308,-1.1224993628878466,-0.45350752122403193,-0.9985140221806227,-0.9713829863474553,-1.0410844850800904,-0.9646486310327852,-0.520637219920963,2.4079510458603393,-0.49709151890561176,-0.5295683853080357,-0.6075963603106027,-0.43254314352689627,-0.5600326482088812,0.41413712321663776,-0.5181236660834525,-0.43641948289598886,-0.4564165582990401,-0.344851986305284,-1.078893000398024,-1.0639267115161366,-0.5738200988011306,-0.7857320478983306,-0.5987765181445651,-0.5783477791117602,-1.1702922851274318,-0.2592249854354109,-1.0659007350767338,-0.4643499355010713,-0.658926764476533,-0.5593204660954214,-0.5126439956512218,0.01002882239391788,0.07097401705769818,-1.0834773787532836,-0.45600943124021487,-0.3628518192124359,-0.5141189224228038,-0.5209526900637362,-0.09883800105556653,2.7130025488822263,-0.5622364546154995,-0.3325132366986528,-0.5449500771314888,-0.5218281699707454,-0.5695875719195496,-0.4311239849650277,-0.7464669521963074,-0.051526388395461815,-0.6714082349833115,-0.6097477698868448,-0.27634915626406586,-0.5095336312768282,-1.0216518826384373,-0.8092219138845747,-0.37500802856008714,-0.43105948283039813,2.4416754770364784,0.35020668955312284,0.09378152260359826,0.4400851033578782,-0.5920623293794914,-0.3324137203735265,-0.42462120368828293,-0.15194602200903573,-0.39787126721577726,-0.6947443566010234,-0.036789088118668115,-0.5887977181430823,-0.43195913826220245,-0.6486585439023649,-0.5631028953080714,-0.7349737266725365,-0.44441775096713976,2.6857037202478935,2.2738027331730533,-0.6939666860803089,-0.47419731427732625,2.3941525614640864,1.4706541600105205,0.04064273191436431,-0.5389751025416987,-1.0991684570588842,1.9306859820541615,-0.8707666393661713,-0.5940150935938838,1.8616349696545909,-0.8289283196027131,-0.6313031811525484,-0.13463231332642445,-0.24887640248729986,-0.4400683749746481,-0.36343984178559735,-0.4734817579975732,-0.3212697470465039,0.45898475818935736,-0.6934892307979296,-1.0565008072138575,-0.9237751662447384,-0.7420970719681581,-0.2538802673808056,-0.7103849941099808,-0.02008540598806706,-0.6854929024642942,-0.7665350172039834,-0.18259429182160064,2.0337141511157637,-0.776050226668294,-0.6669531427535451,-0.43780535981110325,2.7473084545005246,-0.528202205704661,-0.31947395918197474,1.5208656747894191,-0.4696463512738042,1.4699232477525626,2.1503748121888404,1.302263650679474,1.7424709384593808,1.9895717505186619,1.3877414287306653,1.7353667998693436,0.05095596883370355,-0.4442619172835594,-0.485029845391176,2.459017645696255,-0.4533378891465816,-0.7009004746291119,-0.5504786554448081,2.6139985030082187,-0.3024564579661362,-0.46481773763618334,-0.22626198288155663,1.0147126846946994,-0.46010790839205934,-0.43816281910373034,-0.8050283140216554,-0.6667525526272616,-0.36731545696842627,2.1622305494700234,2.7194144769891433,-0.4535896340589362,1.9621655881893916,2.7786906047203406,2.619998721338904,-0.6214133208105024,-0.4736273328622598,-0.6502416390247577,-0.4354866119599327,-0.6895118143764791,-0.9066645024384854,2.6646404254789995,2.590023398213191,1.7507458494649069,0.9657325769490807,2.2398711311566233,1.7566603640517737,-0.504964423917013,2.4447456546908333,0.1924885279420034,-0.5187031370459549,-0.4263107893488417,-0.30851107828211244,0.04556691604117813,-0.006496284989489882,1.5224235237712684,1.89174206152963,-0.5295443455232394,-1.0188288047037304,-0.7435432451979656,-0.9450595282574046,-0.6286789629772098,-0.8059362172544573,-1.0017293991080976,-1.0343021635769412,-1.0665270240203948,-0.9151532211286844,-0.7776004086856645,-0.7212099295890914,-0.7173586191182283,-0.6092533657343884,-0.5615365882008746,-0.6552924142351841,-0.7792912255513339,-0.4831079965058974,-0.6812983115695106,-0.6956634298865215,-0.6405753301538641,-0.5395524969656469,-0.6057854079861698,-0.6336191538343263,-1.0789455823219418,-1.086639710376065,-1.0347509070391856,-0.6746622517429979,-0.4177198114936441,-0.9676821263351376,-1.1594827014355449,-1.0391824560059792,-0.9956144136652131,-0.7425872842802297,-1.0421664110078768,-0.9080519661346261,-0.9466225639447261,-0.7319991489223943,-0.711207245874826,-0.7653505575380697,-0.6590155255801993,-0.5152551247814184,-0.6818552507523087,-0.5876843121294371,-0.1926669682809889,-0.44178816181430336,-0.6248278069849141,-0.7036522585534157,-0.5691672027638928,-0.5203860581732249,-0.5159177317792498,1.8554645735766,-0.6941947431528934,-0.6011725524465625,-0.5896812556640898,-0.46850484662923503,-0.5298406267221014,-0.5775902004011136,-0.6751947311483344,-0.6141474350732159,-0.09550884125289634,-0.511666670222826,-0.474050234100553,-0.3943660008323967,-0.45022226548887606,-0.4670667078800188,-0.524036908795998,-0.6459750689344517,-0.3457118723851757,0.15009119473563776,-0.5313807615834234,-0.46414923364842436,-0.9629765571293818,-0.21054717252768607,-0.5132255262553094,-0.8709089284778335,-0.8469804654451194
Pn-delicatissima_B,-0.8375305277083657,-0.4483396619459935,-0.31510563788113255,-0.30819538353780285,-0.7124918734276584,-0.4564232369586375,-0.11064085668128355,-0.5653013370083089,-0.6057020188888161,-0.4827658550155063,-0.5835926899854882,-0.4385501355444735,-0.06149729577927572,-0.7903482102901475,-0.05495669770548585,-0.4465795277111897,-0.5394131686870406,-0.5451958464995599,-0.4102411666769401,-0.4014551118320733,-0.9662733629074265,-0.3388889762746861,0.47555460733159916,-0.342437402534554,-0.9356584020893186,-0.7958488541459714,-0.377149143160346,-0.6802511618426162,-0.43462910152702405,-0.3188214431483879,-0.1119089235578008,-0.6708499037634763,-0.3523565389963368,-0.7592624632226849,-0.586324597446492,-0.542203459596218,-0.7969098421960432,-1.330750804588095,-0.6063428182561881,-0.787998725713317,-0.3442461625928208,-0.6574966472751476,-0.5474541434875279,-0.5728064863824338,-0.6083602838682735,-0.7882946866305636,-0.8639455504945188,-0.5916011055011172,-0.5352046122607322,-0.6628436481107709,0.004543940418495002,-0.09727975941496615,-1.1955123607681923,-0.6263260528148129,-0.5427267810589386,-0.006434821371540948,-0.6895183509303511,-0.4985548416366844,-0.6069792538720808,-0.801208095142729,-0.7152806673089094,-0.7333571883286386,-0.8698028861468842,-0.8466190570632354,-0.6051203083673465,-0.5423160154199456,-0.667350980930487,-0.748276779249508,-0.7153014815570277,-0.5997941323116619,-0.7806308191879681,-0.6069444840392518,-0.660508658601884,-0.8651475656129184,-0.28718815273637266,-0.5876699817035007,-0.5994654019437409,-0.5025458022782741,-0.47838457195030126,-0.8360486644690761,-1.6196237769382598,-0.5593268067441625,-0.8863324342842416,-0.3852055498638089,-0.44628451480129605,-1.3059373156298766,-0.9966032303244876,-0.5430184438414589,0.18312145252148548,-0.5467772250024723,-1.1633345896708298,-1.0589421652527042,-0.47596236334757125,-0.5645567526729292,-0.5397593029001214,-0.7435630363165384,-0.9422509452005838,-0.6891410872148709,-0.7289111217999166,-0.7031569133997961,-0.46232340036876685,-0.5443076354123815,-0.3885683937382317,-1.1998789209115308,-1.2216777883595868,-0.43898579870930143,-1.4161582176028593,-1.374669034609931,-1.4572733316354984,-1.3473119688288742,-0.5402317349952366,2.0434958819075146,-0.6620769095303833,-0.5352686473277571,-0.6183530020100101,-0.5384296890425152,-0.6000321784287166,-0.8302777479720468,-0.5019799773149097,-0.5316440321315814,-0.4166875238694417,-0.5243178035800622,-1.0227287158507727,-1.0076082876304342,-0.5901797302050708,-0.784979279857196,-0.4828347103324516,-0.23057428055487905,-1.0588918518525523,-0.8547024245170948,-1.2113133493137092,-0.4288461854944082,-0.9276740872918561,-0.5551449894588227,-0.4138330194047225,0.03027501613964044,0.038457607256625156,-0.7749361732348861,-0.47171005189028226,-0.5297663306326251,-0.4390105091568537,-0.781915811175435,-0.37162068083593974,2.102232115384899,-0.5724926639259063,-0.3956495124961141,-0.5247180509534879,-0.6695169932084524,-0.5254963307941367,-0.5709687389776978,-0.8766270520477655,-0.06294583294340074,-0.5182928207303367,-0.4336125579522814,-0.16859802181560937,-0.5164187922807564,-0.9247626032515746,-0.9312069875321028,-0.3374370822493758,-0.49681552318557737,2.1351700836625267,0.15232638933377518,0.2043665708337873,0.2648585187037787,-0.5693729509033993,-0.3760996138474582,-0.3810064919452937,-0.07792876914567531,-0.4189857185863153,-1.0626853394818085,-0.15276598285457302,-0.4632490222801602,-0.43195913826220245,-1.1105498924542978,-0.5631028953080714,-0.7520557069210536,-0.5357300984567921,2.4329466544832954,2.2443613903958477,-0.6961077405944118,-0.3875875576957078,1.5239609912763379,1.5799293366138722,0.1719423289118901,-0.528464136045852,-0.9187078815372225,2.4921716636286346,-1.0726355038870576,-0.6076529981853687,1.9035150413396815,-0.7778969967767636,-0.6189191624978418,-0.35807458061842223,-0.2756492087179833,-0.4400683749746481,-0.33081117306047947,-0.48155271838664016,-0.4163761804355518,0.651243098375451,-0.6839621810547908,-1.5140687537563102,-0.9748964117373752,-0.7876563727306498,-0.38352592138269825,-0.4702461612939196,-0.10715478884880403,-0.9446755105114981,-1.1571694778744748,0.014976200819140091,2.7836337356867427,-1.3298773354412945,-1.1285067922699812,-0.3501302080056807,2.7835938410710788,-0.45604884537118373,-0.4590134236859388,1.7501028161002692,-0.4962646787261633,1.7418973624125504,2.3698214771028074,1.710333536251768,1.5465784153921391,2.6866147407024323,1.1173500862883814,1.4781403005842135,-0.05622210673909121,-0.4442619172835594,-0.485029845391176,2.180498893363978,-0.4533378891465816,-0.7009004746291119,-0.39404954147564764,2.7382570790868614,-0.3090195521702828,-0.4213067396041451,-0.3625100057428251,0.44847906709156354,-0.46010790839205934,-0.43816281910373034,-0.7006358648877649,-1.0869837828198037,-0.3260126613078491,2.30740452312439,2.696122687597474,-0.4960259109242388,2.6780626918339827,2.38892620760839,2.283586928923569,-0.36485638560120126,-0.568346446501249,-0.6875789773094962,-0.4354866119599327,-0.6895118143764791,-0.8359045251493646,1.7474030338798303,2.8568794325893485,1.7984465986035711,0.6582995182204351,3.2086690598836762,3.240905149673556,-0.5000813407457824,2.8503718666610043,-0.053278648470001216,-0.5109833587394496,-0.32618830392908454,-0.2631128612904601,-0.014813919521184455,0.07869985880023601,1.2806532644652031,3.330912199074385,-0.5675333503436364,-0.952773586783964,-0.5981153107586937,-1.1262813808985102,-0.5626960375496988,-0.8488789179323516,-0.879753140088031,-1.048670090805023,-1.2243405355880745,-0.9207901704053818,-0.74038201206708,-0.5146867694645498,-0.32828204450753196,-0.6623990653405931,-1.0359709874465564,-0.6868673239667282,-0.8056190385005557,-0.3862834160580172,-0.7605477028111083,-0.7994459449071171,-0.8415890349812983,-0.2468291667131442,-0.5924138738898626,-0.6336191538343263,-1.1792741044465824,-0.9159246201415427,-1.283800247165765,-0.5664319351822279,-0.5055722526581593,-1.0193128845418618,-1.1591633005556259,-1.0624908979262124,-1.1788857785393398,-0.6847968798844939,-1.0976595313333783,-0.9123325982212693,-0.9466225639447261,-0.7319991489223943,-0.711207245874826,-0.7653505575380697,-0.3365003661184258,-0.48880758515457584,-0.6017487572860614,-0.4527846456970436,-0.41479351984144974,-0.710655197917207,-0.6248278069849141,-0.6479777055227423,-0.528577485144382,-0.7524218630617443,-0.5551095950195204,1.5704937310286424,-0.5876443627036059,-0.6284556939982586,-0.616871674661653,-0.4881190172367682,-0.5298406267221014,-0.7433194339163555,-0.6986385725418676,-0.6141474350732159,-0.021489459565895444,-0.511666670222826,-0.5231404575212047,-0.1935979176049436,-0.5085484475638031,-0.46333995002155426,-0.48107240612357116,-0.791449112345666,-0.261293391449557,0.08187642997702321,-0.3729292139659624,-0.3498678777502648,-0.39446981192421987,-0.46171700785813197,-0.8426101247903776,-0.7451116809240022,-0.8253528306418452
Pn-galaxiae_A,-0.12505573362441152,0.8073161705292444,-0.056876532111867745,0.08548124913820786,-0.30423066224600037,-0.41791983914135605,-0.9324962100443869,-0.4347434030808466,-0.43436782972857,-0.3111747682340925,-0.2637345020251526,-0.43231062373615053,-0.5137508507966799,1.3892092644877014,-0.6179281825938681,-0.37523619112883444,-0.3382443095412623,-0.4270987237122697,-0.3656911448055605,-0.3833253460351863,0.4488735331676178,-0.7058770505983596,-0.6006432533972677,-0.3703348226346519,1.5838031450508305,1.2731333409552221,-0.5031917023017342,-0.3263042917605972,-0.47925374577511926,-0.32419114004705674,-0.6803537695753625,-0.3509402327256359,-0.4326437814637658,-0.4039899348613211,-0.13124945871545968,-0.3692918932896842,1.2248768627041855,-0.5971034734475233,3.0126524027516717,1.9923696484645812,3.2208697394558232,2.6993896748466297,3.3798692258770267,3.3590936693076126,2.964478284286007,1.20086433560845,2.5969420991043934,2.9602544065584016,3.594382262758492,-0.6702957687215457,-0.5254945203966858,-0.4629494924733426,1.843649326120894,2.8703028142401275,-0.40180322802737056,-0.5830238688689091,-0.46596394269798924,2.3290119988080566,-0.673397426814488,-0.5229004989646817,2.0313096579562937,1.0729104435078258,1.4085364892151189,1.1793734738290058,2.987753034904105,3.174810881378007,2.5099022075395307,1.8874197851612409,1.4978752457930582,3.0402060171394725,1.3250470730542205,2.9588965257991733,2.397961885910801,-0.22973778585819393,-0.6851465430046928,-0.42042526623846954,-0.565975134867258,0.33834436306131876,-0.4955605008325654,0.3898813082338815,0.414584137343175,-0.47139302843060427,-0.42652082159196103,-0.4097870604950191,-0.42214378628155824,0.6203251613163707,1.2107898928710918,-0.32877956129319774,-0.6053544185914674,-0.5782857297459316,0.10307262503399896,1.5875746042101437,-0.4581302968707659,-0.5653122712103198,-0.6586122236735789,-0.6273745894108833,-0.6329404845952019,-0.4821326562114091,-0.6402608355907251,-0.27123230116107033,-0.39159100102455857,-0.6434380253925662,-0.4911292495404671,-0.16619354613928577,-0.15085623214327018,-0.3002285246542762,0.013776417997904022,0.21389845656717874,0.5064589889088189,0.062003051642903144,-0.4412550012052197,0.12358754495624157,-0.44665826538024633,-0.5000968495331767,-0.47706370102266016,-0.4727396711679984,-0.24546311080199126,-0.19008923371784858,-0.5038621573337119,-0.6197039215057685,-0.5180818055595893,-0.47070569381747285,3.063589440220545,3.059270199029532,-0.5422883788535827,1.4243296138071186,-0.4969585405835695,-0.2130468166811989,1.9710181107932785,-0.15192464845564743,-0.014344805372255479,-0.5082552877335401,-0.3586179347025852,-0.4455575468057299,-0.5281540080905365,-0.5244083214565569,-0.6928782642899942,2.272573839502668,-0.33222819275352106,-0.38018786331887955,-0.4748503937835554,-0.3692317014740112,-0.6617583135696117,-0.2573096708949236,-0.19081618810526368,-0.17745794459708475,-0.2782636225143709,-0.2487806263020202,-0.47628871173227266,-0.6158389353509122,-0.29074419636531884,-0.6272959079458446,-0.21727946589357067,-0.7037792465490841,-0.3745617113437585,-0.5792141937663624,0.44891031779270707,2.308970335308473,-0.7869473633537359,-0.49681552318557737,0.5132482318336093,-0.5577080611966598,-0.5977153773174986,-0.7757279217552195,-0.7885865151332382,-0.6374159281101986,-0.7257923569057001,-0.8719391109743246,-0.6236747218446468,0.5522787775050724,-0.8494566209916693,-0.5887977181430823,-0.43195913826220245,0.9118403353088955,-0.5631028953080714,1.2075919952912422,-0.6539582465351887,0.3245990561070336,0.6663810392440246,1.698233198196806,-0.47419731427732625,0.34046442467091076,0.6045781032830553,-0.6057927313369833,-0.3451317560020506,-0.5857696300682198,-0.4546049180186019,1.206482802852653,-0.6318990253751574,-0.6973951914776026,-0.7482295558400682,-0.5695389445895328,-0.6468909994150801,-0.654149173382564,-0.4400683749746481,-0.21814656183359757,-0.48606968775104087,-0.45904222200687395,-0.4035372194047566,3.556702309105519,0.8328775573890779,0.03695978767666134,-0.6081778399994551,0.4588661268081604,3.023099853508687,-0.8765102843088783,0.33016487577926457,0.5521433688013677,-0.8343924777057963,-0.6164657217330072,0.77133988756794,0.9932200140813776,-0.41633971023206495,-0.4046967043835299,-0.528202205704661,-0.4590134236859388,2.0488479343293786,-0.79902373981598,1.9773965783907448,1.1884155470085815,-0.6380559252164286,1.2854130485052404,-0.34199459173983104,1.2676751790440215,1.2451629802223967,-0.8864413571024412,-0.4442619172835594,-0.19670523755202274,-0.48474178798403433,-0.4533378891465816,-0.7009004746291119,-0.6316900725503718,-0.4045867280987273,-0.6238882614313082,-0.5659307262560171,-0.11916391718430125,1.8757017862542655,-0.46010790839205934,-0.43816281910373034,1.4543464899854448,0.7738151989385573,-0.2887125749444425,0.6037809596316648,-0.11149432819093735,-0.42094769557167255,-0.237049347521466,1.0528150775090377,-0.21757074941469615,0.7150620021374604,1.8798775131680006,0.02582049173258738,-0.4354866119599327,0.16991369288840993,-0.27593879182994063,-0.16463708065727084,-0.1271945067652419,0.8764028370034862,1.84245560364442,-0.13776010264036906,0.26288951883405953,-0.5062638745911631,0.3331006108452236,-0.9928898219348573,-0.4559030312124709,-0.476594690911977,-0.6770244785745816,-0.7356282958128746,-0.7513278932991151,-0.1088861349424684,-0.22495959497040596,3.381892330555778,1.428521679688818,2.3549112925739326,1.693079363752674,-0.11867606704944694,3.075231630411025,1.247629276558759,3.089346742274015,-0.007471936543039667,3.478150302018947,2.5652353696507264,1.8823858336857475,1.3348080705744705,1.9354159273558553,0.3143794486589437,1.433702493163865,2.532301114061683,2.232254997629977,0.14929487553191206,0.13402315813903348,0.5959174387406705,-0.45593064258801824,-0.44414716707169755,2.7878303866991727,-0.1289590695031435,-0.3114177686808662,0.22428355662540958,-0.2606358005954698,-0.33029803476433467,-0.3530473620473158,-0.23669957161124935,-0.0717083505219678,-0.06431064873552247,-0.1551324600003069,0.06222012814444035,-0.26130857819708425,0.9385799426882975,-0.030214769198998494,-0.00490625437008798,0.5165247203787646,-0.6931863866929819,-0.5990008785561769,-0.5950323714061858,-0.5302324178357558,-0.5861640351856874,-0.5548975955033675,2.993541927685234,-0.7321512848781135,2.0340433845701424,-0.28088167323256485,-0.4749942644247886,1.4630305573804547,-0.5863824476474981,-0.46853599887764374,-0.576128885538183,-0.45355895089097,-0.5298406267221014,-0.5961861986011355,-0.6986385725418676,-0.6141474350732159,-0.754928740029533,-0.511666670222826,-0.4615034901371363,-0.8355965529650022,-0.46425239072098523,-0.40562013107445727,-0.37476989488280854,-0.5088330073440362,-0.671849852717058,-0.5576377420233063,-0.5881966441837696,-0.6323979933652468,1.6319872427601716,-0.03197634027025681,-0.2991209113911937,-0.5614698389060626,-0.2179590326220679
