,,Exp2_Pn-delicatissima_A_DOM_I,Exp2_Pn-delicatissima_A_DOM_II,Exp2_Pn-delicatissima_A_Unfil_I,Exp2_Pn-delicatissima_A_Unfil_II,Exp2_Pn-delicatissima_B_DOM_I,Exp2_Pn-delicatissima_B_DOM_II,Exp2_Pn-delicatissima_B_Unfil_I,Exp2_Pn-delicatissima_B_Unfil_II,Exp2_Pn-galaxiae_A_DOM_I,Exp2_Pn-galaxiae_A_DOM_II,Exp2_Pn-galaxiae_A_Unfil_I,Exp2_Pn-galaxiae_A_Unfil_II,Exp2_Pn-galaxiae_B_DOM_I,Exp2_Pn-galaxiae_B_DOM_II,Exp2_Pn-galaxiae_B_Unfil_I,Exp2_Pn-galaxiae_B_Unfil_II,Exp2_Pn-hasleana_A_DOM_I,Exp2_Pn-hasleana_A_DOM_II,Exp2_Pn-hasleana_A_Unfil_I,Exp2_Pn-hasleana_A_Unfil_II,Exp2_Pn-hasleana_B_DOM_I,Exp2_Pn-hasleana_B_DOM_II,Exp2_Pn-hasleana_B_Unfil_I,Exp2_Pn-hasleana_B_Unfil_II,Exp2_Pn-multiseries_A_DOM_I,Exp2_Pn-multiseries_A_DOM_II,Exp2_Pn-multiseries_A_Unfil_I,Exp2_Pn-multiseries_A_Unfil_II,Exp2_Pn-multiseries_B_DOM_I,Exp2_Pn-multiseries_B_DOM_II,Exp2_Pn-multiseries_B_Unfil_I,Exp2_Pn-multiseries_B_Unfil_II,Exp2_Pn-subpacifica_A_DOM_I,Exp2_Pn-subpacifica_A_DOM_II,Exp2_Pn-subpacifica_A_Unfil_I,Exp2_Pn-subpacifica_A_Unfil_II,Exp2_Pn-subpacifica_B_DOM_I,Exp2_Pn-subpacifica_B_DOM_II,Exp2_Pn-subpacifica_B_Unfil_I,Exp2_Pn-subpacifica_B_Unfil_II
2606,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1
2710,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
2711,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0
2767,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1
2768,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
2795,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1
2803,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2817,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0
2840,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2843,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0
2844,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0
2857,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1
2873,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
2985,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0
3156,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
3268,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
3275,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
3287,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
3461,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3462,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
3464,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3667,9,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3740,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0
3916,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
3986,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0
3988,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
4018,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
