"","Aminoimidazoles","Carboximidamides","Dialkylamines","Imidazoles","Imidolactams","Lactams","Peptidomimetics","Pyrrolidines"
"6421",0,0.08,0.06,0.04,0,0.11,0.28,0.02
"6424",0,0.02,0.21,0.02,0,0.45,0.29,0.05
"6439",0,0.06,0.13,0.13,0.01,0.37,0,0.77
"6483",0,0.27,0.64,0.07,0.02,0.18,0.01,0.02
"6484",0.02,0.05,0.01,0.2,0.31,0.22,0.02,0.08
"6486",0,0,0.37,0.06,0,0.17,0.04,0.12
"6494",0,0.12,0.14,0.05,0.01,0.07,0.17,0.01
"6495",0,0.03,0.45,0.04,0.01,0.2,0.05,0.06
"6505",0.01,0.34,0.29,0.08,0.04,0.08,0.04,0.04
"6566",0,0.01,0.02,0.02,0,0.01,0.01,0.03
"6648",0,0,0,0.02,0,0.02,0,0.03
"6656",0,0.01,0.02,0.01,0,0.03,0,0.03
"6689",0,0,0,0,0,0.02,0,0
"6693",0,0,0.03,0,0,0,0,0
"6731",0.07,0.12,0.04,0.18,0.26,0.11,0.02,0.03
"6765",0,0.16,0.09,0.13,0.03,0.03,0.13,0.02
"6891",0,0,0.02,0,0,0.01,0,0.02
"6924",0,0,0,0,0,0.02,0,0
"6927",0,0,0.02,0.02,0,0.05,0,0.02
"6932",0.09,0.64,0.39,0.74,0.75,0.18,0.05,0.08
"6976",0,0.03,0.1,0.05,0.01,0.03,0,0.01
"6997",0,0,0,0.02,0,0.01,0,0.03
"6999",0,0.01,0,0.05,0.01,0.02,0,0.02
"7002",0,0.11,0.14,0.07,0.03,0.09,0.05,0.18
"7082",0,0.12,0.03,0.05,0.01,0.06,0.11,0.03
"7112",0,0,0.03,0,0,0.01,0,0
"7147",0,0.03,0.03,0.16,0.05,0.04,0.09,0.05
"7261",0,0.01,0.03,0.02,0.07,0.18,0,0.25
"7276",0,0.02,0.01,0.01,0,0.02,0,0.01
"7281",0.25,0.01,0,0.56,0.06,0.01,0,0.01
"7283",0,0,0.01,0,0.01,0.26,0.01,0.14
"7287",0,0.04,0.1,0.02,0,0.03,0.01,0.01
"7289",0,0.03,0.02,0.1,0.02,0.03,0,0.02
"7290",0,0.01,0.01,0.03,0,0.03,0.02,0.01
"7294",0,0,0.02,0.15,0.02,0.05,0.11,0.1
"7298",0.22,0.01,0.2,0.46,0.1,0.05,0,0.01
"7313",0.05,0,0.09,0.56,0.36,0.06,0,0.02
"7318",0,0.05,0.48,0.01,0.03,0.03,0.02,0.02
"7325",0,0.01,0.01,0,0,0,0,0
"7355",0,0,0.02,0.01,0,0.01,0,0.01
"7364",0,0,0.09,0,0,0.01,0.01,0.05
"7365",0,0.01,0.04,0.01,0,0.07,0.01,0.06
"7376",0,0.15,0.07,0.1,0.02,0.64,0,0.19
"7409",0,0.01,0.11,0.01,0.01,0.08,0.27,0.01
"7416",0,0.01,0.31,0.03,0.02,0.38,0.38,0.1
"7425",0.01,0.29,0.03,0.8,0.18,0.31,0.08,0.05
"7470",0.01,0.06,0.22,0.02,0.05,0.08,0.05,0.04
"7486",0.04,0.01,0.32,0.02,0,0.08,0,0.07
"7584",0,0.01,0,0.02,0,0.01,0,0.03
"7633",0,0.01,0.14,0.03,0,0.37,0,0.35
"7656",0,0.01,0.17,0.08,0.02,0.06,0.1,0.22
"7665",0,0,0.01,0.01,0,0.02,0,0.02
"7752",0.03,0.06,0.05,0.04,0.09,0.32,0,0.02
"7841",0,0.01,0.02,0.04,0,0.5,0,0.1
"7880",0,0.01,0.23,0.01,0,0.05,0.02,0.16
"7884",0.01,0.01,0.09,1,0.93,0.25,0.06,0.03
"8032",0.03,0.04,0.06,0.98,1,0,0,0
"8086",0.01,0.24,0.12,0.07,0.07,0.23,0,0.09
"8087",0,0,0.02,0.02,0,0.02,0,0.01
"8089",0,0.03,0.37,0.03,0.01,0.02,0.02,0.1
"8094",0.01,0.02,0.16,0.06,0.01,0.05,0.01,0.05
"8109",0,0.08,0.23,0.03,0.07,0.23,0.01,0.38
"8112",0,0,0,0,0,0,0,0.02
"8127",0,0.01,0.02,0.02,0,0.48,0,0.46
"8128",0,0.01,0.17,0.05,0,0.2,0,0.18
"8135",0,0.01,0.11,0.04,0,0.43,0,0.12
"8138",0,0.16,0.02,0.67,0.11,0.47,0.1,0.07
"8142",0,0.1,0.37,0.12,0,0.27,0.01,0.26
