"","1-hydroxy-2-unsubstituted benzenoids","Alkyl aryl ethers","Alpha amino acid amides","Alpha amino acids and derivatives","Amidines","Amines","Amino acids","Amino acids and derivatives","Amino acids, peptides, and analogues","Aminoimidazoles","Aminopyrimidines and derivatives","Aralkylamines","Azacyclic compounds","Azoles","Carboximidamides","Carboximidic acids","Carboximidic acids and derivatives","Carboxylic acid amides","Dialkylamines","Diazinanes","Dihydropyridinecarboxylic acids and derivatives","Dipeptides","Fatty amides","Guanidines","Heteroaromatic compounds","Hydroxamic acids","Imidazoles","Imidazolyl carboxylic acids and derivatives","Imidolactams","Imines","Isoleucine and derivatives","Lactams","Methyl esters","N-acyl-alpha amino acids and derivatives","N-acyl amines","N-substituted imidazoles","Organic 1,3-dipolar compounds","Organic acids and derivatives","Organic nitrogen compounds","Organoheterocyclic compounds","Organonitrogen compounds","Organopnictogen compounds","Peptides","Peptidomimetics","Phenol ethers","Piperidines","Primary carboxylic acid amides","Propargyl-type 1,3-dipolar organic compounds","Pyrans","Pyridines and derivatives","Pyrrole carboxylic acids and derivatives","Pyrrolidine carboxylic acids and derivatives","Pyrrolidines","Secondary amines","Secondary carboxylic acid amides","Substituted imidazoles","Tertiary alkylarylamines","Tertiary carboxylic acid amides","Valine and derivatives","Vinylogous amides","Vinylogous esters"
"4047",0.01,0.03,0,0.01,0,0.05,0.07,0.01,0.01,0,0,0,0.02,0.01,0.01,0.03,0.03,0.04,0.04,0,0,0.01,0.02,0.02,0.05,0.01,0.04,0.01,0,0.01,0.01,0.01,0.14,0.05,0.03,0.02,0.05,0.27,0,0.27,0,0.19,0,0,0.05,0,0.03,0.04,0.02,0.01,0.02,0,0.01,0.03,0.04,0.01,0,0.01,0.01,0.01,0.01
"4075",1,0,1,1,0,0.99,0.98,1,1,0,0,0.12,0,0.01,1,0.01,0.01,0.94,0,0,0,0.91,0.87,1,0,0,0,0,0,0,0,0,0,1,0.8,0,0.9,1,1,0.01,1,1,1,0,0,0,0.01,0.89,0,0,0,0,0,0,0.95,0.01,0,0,0,0,0
"4207",0,0.02,0,0.01,0,0.03,0.02,0.04,0.04,0,0,0,0.11,0.08,0.01,0.03,0.04,0.06,0.03,0.01,0.01,0,0.01,0,0.4,0,0.03,0,0,0.02,0.01,0.02,0.07,0.05,0.02,0.01,0.03,0.65,0,0.79,0,0.08,0,0,0,0.01,0,0.03,0.13,0.07,0.02,0,0.03,0.04,0.07,0.03,0,0.01,0.03,0.01,0.03
"4241",0,0.06,0,0,0,0,0,0.02,0.02,0,0,0,0.04,0.03,0,0.02,0.02,0.04,0.01,0.01,0.01,0,0.01,0,0.1,0,0.02,0.01,0,0.01,0,0.03,0.52,0,0.02,0,0.02,0.97,0,0.68,0,0.03,0,0,0.03,0.02,0,0.02,0.19,0.02,0.01,0,0.03,0.02,0.02,0.02,0,0.02,0,0.01,0.25
"4315",0.01,0.06,0,0.01,0,0.02,0,0.03,0.02,0,0,0,0.05,0.02,0,0.01,0.01,0.03,0.01,0,0.01,0,0.01,0,0.08,0,0.01,0,0,0.01,0.01,0.02,0.04,0.01,0.02,0.01,0.01,1,0,0.99,0,0.01,0,0,0.07,0,0,0.01,0.38,0.03,0.01,0,0.02,0.01,0.05,0.01,0,0.01,0,0.02,0.08
"4334",0.03,0,0,0.01,0,0.01,0,0.02,0.02,0,0,0,0.02,0.02,0,0.01,0.01,0.05,0.03,0,0,0.01,0,0,0.02,0,0,0,0,0,0,0.01,0.81,0.02,0,0,0.01,0.98,0,0.99,0,0.03,0,0,0.01,0,0.01,0.01,0.41,0,0,0,0.01,0.02,0.02,0,0,0.01,0.01,0,0
"4379",0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0.04,0,0,0.04,0.01,0.26,0,0.66,0,0.74,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0.01,0,0.01,0,0,0,0.01,0
"4397",0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0,0.03,0,0.01,0,0,0.01,0,0,0,0,0,0.02,0.01,0.47,0,0.18,0,0.45,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0.01,0.01,0,0,0,0.01,0
"4398",0,0.01,0,0,0,0.01,0,0,0,0,0,0,0.02,0.01,0,0,0,0.01,0,0,0,0,0,0,0.04,0,0.02,0,0,0,0,0,0.02,0,0,0.05,0.01,0.59,0,0.42,0,0.38,0,0,0.01,0,0,0.01,0,0,0,0,0,0.01,0.01,0.02,0,0,0,0.03,0
"4414",0,0.01,0,0,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0.02,0.02,0.05,0,0,0,0,0.01,0,0.01,0,0,0,0,0.01,0,0.03,0.01,0,0.01,0,0.01,1,0,0.19,0,0.14,0,0,0,0,0,0.01,0,0,0,0,0,0,0.08,0,0,0.01,0,0,0
"4428",0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0.05,0,0.01,0.01,0,0.01,0,0,0,0,0,0.04,0,0.02,0,0,0.01,0,0,0.01,0,0,0.1,0.02,0.15,0,0.24,0,0.84,0,0,0.01,0,0,0.02,0.02,0.01,0,0,0,0.02,0,0.03,0,0,0,0.01,0
"4441",0,0,0,0.01,0,1,0.03,0.97,0.97,0,0,0,0.02,0,0,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,1,1,0.04,1,0.99,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0.03,0,0,0,0,0,0
"4460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.05,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.02,0,0,0.03,0,0.01,1,0,0.08,0,0.28,0,0,0,0,0,0.01,0,0,0,0,0,0,0.05,0,0,0.02,0,0,0
"4582",0,0,0,0,0,0.99,0,0.01,0.01,0,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.03,1,1,0.06,1,0.99,0,0,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0,0,0,0,0
"4692",0,0,0.04,0.09,0.05,0.45,0.03,0.39,0.39,0,0,0.01,0.07,0.01,0.02,0.08,0.07,0.16,0.17,0.01,0,0.11,0.17,0.28,0.02,0,0.01,0,0,0.1,0.01,0.02,0,0.03,0.03,0,0.21,0.81,1,0.07,1,0.71,0.01,0,0,0,0.07,0.22,0,0,0,0,0.01,0.19,0.07,0.01,0,0.01,0.01,0,0
"4771",0,0,0.01,0.01,0.02,0.87,0.01,0.09,0.09,0,0.09,0,0.14,0.09,0.03,0.24,0.29,0.2,0,0.01,0,0.05,0.05,0,0.04,0.01,0.08,0,0.09,0.03,0,0.05,0,0,0.07,0.01,0.21,1,1,0.7,1,0.77,0,0.01,0,0.02,0.07,0.23,0,0.01,0,0,0,0.01,0.18,0.03,0,0.01,0,0.04,0
"5061",0.01,0.09,0,0.01,0,0.01,0,0.06,0.05,0,0,0,0.01,0,0,0,0.01,0.09,0.01,0,0,0,0,0,0.12,0,0,0,0,0.01,0.01,0,0.02,0.01,0,0,0.01,0.98,0,0.97,0,0,0,0,0.01,0,0.01,0.01,0.1,0.01,0,0,0.01,0.01,0.15,0,0,0,0,0,0.03
"5114",0,0.01,0.85,0.61,0.05,0.97,0.01,0.69,0.85,0,0,0.01,0.06,0.04,0.03,0.11,0.12,0.61,0.31,0.04,0,0.6,0.84,0,0.05,0,0.02,0,0.02,0.02,0.84,0.01,0,0.69,0.94,0.01,0.18,0.93,1,0.14,1,0.99,0.54,0.06,0.01,0.01,0.24,0.17,0,0.03,0,0.02,0.02,0.15,0.69,0.01,0,0.05,0.03,0.01,0.01
"5145",0.01,0.08,0,0.01,0,0.02,0.01,0.05,0.05,0,0,0,0.03,0.02,0,0.03,0.04,0.04,0.02,0.01,0,0,0.01,0,0.12,0,0.02,0.02,0,0.02,0,0.01,0.55,0.01,0.01,0.01,0.1,0.96,0,0.28,0.01,0.11,0,0,0.12,0,0,0.06,0.02,0.03,0,0.01,0.02,0.02,0.03,0.02,0.01,0.01,0,0.01,0.05
"5355",0,0.04,0,0.01,0,0.02,0.02,0.03,0.03,0,0,0.01,0.02,0.01,0.01,0.03,0.04,0.03,0.01,0.04,0,0,0.02,0,0.5,0,0.01,0,0,0.02,0,0,0.07,0,0.01,0.01,0.04,0.65,0,0.64,0,0.16,0,0,0.01,0,0.01,0.03,0.02,0.01,0,0,0.03,0.01,0.02,0.01,0.01,0.01,0,0,0.01
"5375",0.01,0.06,0.08,0.26,0.03,0.68,0.06,0.79,0.76,0.1,0.53,0.08,0.99,0.79,0.04,0.07,0.06,0.57,0.09,0.01,0.01,0.04,0.32,0.02,0.98,0.01,0.6,0.83,0.24,0.07,0.02,0.13,0.78,0.06,0.02,0.02,0.06,0.99,1,0.99,1,0.87,0,0.01,0.01,0.11,0.03,0.08,0.01,0.36,0.06,0.02,0.07,0.17,0.58,0.2,0.11,0.08,0.01,0.01,0.01
"5393",0,0,0,0,0,0.02,0,0.02,0.02,0,0,0,0.05,0.01,0,0.01,0.02,0.01,0.01,0,0,0,0,0,0.02,0,0.01,0,0,0.01,0,0,0.01,0,0,0,0.05,0.99,0.04,0.39,0.02,0.44,0,0,0,0.01,0,0.04,0,0.01,0,0,0.01,0.02,0.01,0.01,0,0,0,0,0
"5432",0,0,0,0,0,1,0,0.02,0.02,0,0,0,0.01,0.01,0,0,0.01,0.01,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,1,1,0.04,1,1,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0
"5563",0,0.01,0.97,0.99,0,0.93,0.98,1,1,0,0,0.53,0.02,0.01,0,0.03,0.03,0.89,0,0,0,0.98,0.53,0,0.01,0.01,0,0,0,0,0,0.01,0,0.99,0.05,0,0.03,1,1,0.07,1,1,0.99,0.05,0,0,0.02,0.03,0,0.01,0,0,0,0,0.91,0.02,0,0.01,0,0,0
"5621",0,0.05,0.03,0.36,0.01,0.97,0.06,0.81,0.8,0.02,0.51,0.05,0.98,0.38,0.01,0.06,0.09,0.22,0.18,0.05,0.29,0.05,0.01,0.09,0.91,0,0.15,0.02,0.09,0.21,0.01,0.1,0.58,0.15,0.01,0.11,0.15,0.98,1,0.93,1,0.5,0.02,0,0.01,0.02,0.02,0.2,0.03,0.26,0.01,0.01,0.08,0.25,0.27,0.08,0.07,0.1,0.07,0.21,0.02
"5657",0.01,0.04,0.23,0.42,0.15,0.15,0.49,0.6,0.69,0,0.06,0.01,0.48,0.22,0.19,0.22,0.22,0.42,0.06,0.33,0.05,0.5,0.2,0.07,0.14,0.07,0.21,0.41,0.01,0.53,0.02,0.23,0.03,0.6,0.26,0.11,0.37,0.62,0.99,0.82,0.99,0.99,0.44,0.03,0.01,0.12,0.33,0.38,0.14,0.16,0.03,0.03,0.06,0.07,0.48,0.16,0.06,0.07,0.08,0.06,0.02
"5686",0,0,0.06,0.26,0.06,1,0.08,0.37,0.35,0,0.36,0,0.25,0.42,0.33,0.11,0.16,0.09,0.02,0.01,0,0.02,0.06,0.04,0.09,0,0.19,0,0.39,0,0,0.03,0,0.01,0.08,0.09,0.12,1,1,0.95,1,0.69,0,0,0,0.04,0.08,0.16,0,0.01,0,0,0,0.03,0.05,0.21,0,0.01,0,0.05,0
"5730",0.02,0.01,0.05,0.16,0.03,0.24,0.05,0.49,0.46,0.23,0.01,0.18,0.99,0.48,0.02,0.02,0.02,0.4,0.13,0.03,0,0.07,0,0.03,0.79,0,0.39,0.04,0.05,0.68,0.01,0.53,0.01,0.01,0,0.08,0.18,0.92,0.99,0.99,0.99,0.93,0,0,0.02,0.02,0.04,0.17,0.01,0.2,0.01,0.01,0.11,0.18,0.33,0.17,0.01,0.15,0.01,0.05,0
"5738",0.01,0.06,0,0.04,0,0.03,0.01,0.05,0.04,0,0,0,0.08,0.06,0.02,0.04,0.05,0.09,0.01,0,0,0,0.01,0,0.07,0,0.05,0.02,0,0.01,0.01,0.02,0.4,0.06,0.01,0.04,0.12,0.95,0.01,0.44,0.01,0.18,0,0,0.07,0.01,0.01,0.09,0.03,0.02,0.02,0,0.02,0.01,0.09,0.04,0,0.02,0.01,0.02,0.04
"5751",0,0.03,0.01,0.25,0.01,0.66,0.78,0.48,0.45,0,0,0.02,0.57,0.04,0,0.06,0.06,0.26,0.32,0.02,0.03,0.04,0.02,0.01,0.06,0,0.03,0,0.01,0.05,0.05,0.39,0.01,0.02,0.01,0.02,0.08,0.97,1,0.55,0.99,0.88,0,0,0.02,0.07,0.07,0.09,0.05,0.19,0.09,0.34,0.35,0.3,0.21,0.02,0,0.13,0,0.05,0.04
"5770",0.01,0.01,0.91,0.77,0.01,0.97,0.94,0.92,0.96,0,0.1,0,0.03,0.06,0.56,0.05,0.05,0.73,0.06,0.01,0,0.37,0.78,0.84,0.02,0.01,0.02,0.01,0.15,0.04,0.16,0.02,0.02,0.71,0.91,0,0.22,0.98,1,0.09,0.98,1,0.91,0.02,0.01,0,0.11,0.22,0,0.01,0,0.04,0.01,0.08,0.74,0.01,0.02,0.02,0.33,0.05,0
"5958",0,0.03,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0.01,0.04,0,0.01,0.01,0.11,0.02,0,0,0,0,0,0.06,0,0.01,0,0,0.01,0,0.01,0.02,0,0,0,0.01,0.85,0,0.91,0,0.02,0,0,0.02,0.01,0.02,0.01,0.4,0.01,0.01,0,0.02,0.03,0.1,0.01,0,0.01,0,0.02,0.26
"5960",0.02,0.06,0.2,0.13,0.01,0.82,0.07,0.6,0.57,0.01,0,0.01,0.27,0.05,0,0.08,0.09,0.54,0.34,0.02,0,0.17,0.3,0,0.07,0.02,0.02,0,0.01,0.03,0.03,0.24,0,0.05,0.22,0.02,0.07,0.92,1,0.4,1,0.92,0.01,0.01,0.09,0.1,0.19,0.09,0.02,0.06,0.05,0.06,0.26,0.44,0.55,0.03,0.01,0.04,0.01,0.02,0.06
"5974",0.01,0.02,0.03,0.6,0.02,0.1,0.25,0.77,0.75,0.01,0.01,0.04,0.95,0.73,0.03,0.05,0.05,0.81,0.12,0.01,0,0.02,0.03,0.04,0.51,0,0.27,0.01,0.03,0.31,0.07,0.65,0.01,0.02,0.01,0.03,0.15,0.93,1,0.95,1,0.7,0,0,0.01,0,0.17,0.12,0,0.1,0.02,0.05,0.14,0.13,0.16,0.06,0,0.62,0.03,0.11,0
"6043",0.03,0.02,0.41,0.35,0.01,0.88,0.02,0.49,0.44,0,0,0.02,0.56,0.04,0,0.08,0.08,0.32,0.09,0.26,0.02,0.17,0.29,0,0.05,0.01,0.03,0.01,0.01,0.11,0.07,0.15,0.01,0.04,0.22,0.03,0.11,0.68,1,0.56,1,0.98,0.01,0.04,0.02,0.23,0.09,0.1,0.01,0.19,0.02,0.06,0.19,0.14,0.42,0.03,0.03,0.07,0.02,0.09,0.01
"6045",0.01,0.03,0.52,0.49,0.01,0.83,0,0.72,0.68,0,0,0.03,0.4,0.02,0.01,0.12,0.13,0.61,0.32,0.04,0,0.28,0.66,0,0.06,0,0.02,0,0.01,0.01,0.04,0.03,0,0.08,0.19,0.02,0.12,0.87,1,0.49,1,0.96,0.02,0.02,0.02,0.14,0.33,0.15,0.01,0.05,0,0,0.01,0.3,0.23,0.01,0.03,0.02,0.02,0,0
"6055",0.01,0.01,0,0.03,0.04,0.36,0.32,0.24,0.21,0.03,0.11,0.04,0.96,0.73,0.15,0.05,0.04,0.16,0.01,0.03,0,0.02,0.02,0.12,0.81,0,0.09,0.01,0.13,0.23,0.02,0.13,0.02,0.01,0.01,0.02,0.14,0.54,0.99,0.92,0.97,0.84,0,0,0.01,0.01,0.03,0.16,0,0.08,0,0,0.01,0.06,0.14,0.07,0.02,0.03,0,0.04,0
"6063",0.01,0.03,0,0,0,0.19,0,0.04,0.04,0,0,0,0.7,0.04,0,0.06,0.06,0.23,0.04,0,0.02,0,0.05,0,0.14,0.01,0.01,0,0.01,0.02,0,0.35,0,0,0.01,0.01,0.08,0.72,1,0.74,1,0.96,0,0,0.01,0.03,0.05,0.08,0.09,0.42,0,0.01,0.11,0.17,0.24,0,0.04,0.08,0,0.42,0.01
"6078",0.01,0.15,0,0.01,0,0.97,0,0.01,0.01,0,0,0.02,0.01,0,0,0.04,0.07,0.01,0.05,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.35,1,0.04,1,0.97,0,0,0.5,0,0,0.17,0.01,0,0,0,0,0.05,0.02,0,0,0,0,0,0
"6079",0.01,0.03,0,0.01,0,0.17,0.01,0.08,0.07,0,0,0,0.33,0.03,0,0.08,0.09,0.58,0.01,0,0,0.01,0.04,0,0.06,0.02,0.01,0,0.01,0.02,0.01,0.26,0.01,0,0.04,0.01,0.12,0.67,1,0.51,1,0.97,0,0,0.02,0.52,0.12,0.19,0.02,0.03,0.01,0.01,0.05,0.02,0.45,0,0,0.12,0,0.01,0
"6094",0.04,0.14,0,0.01,0,0.02,0.04,0.03,0.03,0,0,0,0.02,0.02,0,0.02,0.02,0.05,0.01,0,0,0.01,0,0,0.21,0,0.01,0,0.01,0.03,0,0.02,0.02,0.01,0.01,0.01,0.01,0.76,0,0.56,0,0.01,0,0,0.05,0,0.01,0.01,0.2,0.03,0.02,0,0.01,0.03,0.07,0.02,0,0,0,0.01,0.1
"6104",0.04,0.11,0,0,0,0.02,0.02,0.02,0.02,0,0,0,0.01,0.01,0,0.03,0.02,0.04,0.01,0,0,0,0,0,0.16,0,0,0,0,0.01,0,0.02,0.04,0.01,0,0,0.02,0.86,0,0.7,0,0.01,0,0,0.04,0,0,0.01,0.24,0.01,0,0,0.02,0.01,0.04,0,0,0,0,0.01,0.03
"6106",0,0.01,0,0.02,0,0.98,0.65,0.35,0.37,0,0,0.05,0.02,0.01,0,0.08,0.1,0.04,0.81,0,0,0.02,0.04,0,0.03,0,0,0,0,0,0,0,0.01,0,0.05,0,0.08,0.62,1,0.05,1,0.95,0,0,0.02,0,0,0.08,0,0.02,0,0,0.02,0.69,0.08,0,0,0.02,0.01,0,0
"6111",0.01,0.04,0.05,0.1,0.06,0.51,0.53,0.56,0.55,0,0.06,0.04,0.22,0.06,0.02,0.13,0.12,0.35,0.34,0.06,0.07,0.12,0.32,0.05,0.07,0.01,0.09,0.06,0.06,0.05,0.1,0.13,0.05,0.03,0.35,0.02,0.17,0.8,1,0.55,1,0.92,0.03,0.03,0.08,0.06,0.07,0.18,0.05,0.09,0.02,0.03,0.05,0.5,0.41,0.07,0.01,0.07,0.01,0.02,0.02
"6117",0.02,0.1,0,0.06,0.01,0.13,0,0.18,0.17,0,0,0.01,0.92,0.04,0.01,0.08,0.1,0.63,0.05,0.05,0,0.04,0.16,0,0.38,0.01,0.01,0,0.01,0.05,0.01,0.41,0.01,0.01,0.25,0,0.15,0.66,1,0.95,1,0.94,0,0.03,0.07,0.01,0.1,0.15,0.02,0.04,0.02,0.01,0.05,0.07,0.58,0,0.01,0.17,0.01,0.07,0
"6121",0.01,0.02,0.97,0.96,0.01,0.97,0.83,0.99,0.99,0.01,0.04,0.59,0.94,0.9,0.11,0.02,0.03,0.84,0.05,0,0,0.72,0.79,0.08,0.96,0,0.9,0.93,0,0.02,0.02,0.06,0.27,0.9,0.09,0.16,0.1,0.99,1,0.94,1,0.99,0.97,0.01,0.01,0,0.24,0.09,0,0.1,0.01,0.02,0.04,0.05,0.77,0.9,0,0.09,0.02,0.04,0
"6146",0.01,0.06,0,0.01,0,0.01,0.03,0.03,0.03,0,0,0,0.03,0.05,0,0.03,0.04,0.05,0,0.02,0,0,0.02,0,0.07,0,0.03,0.01,0,0.02,0,0,0.07,0.02,0.02,0.06,0.07,0.57,0,0.33,0,0.21,0,0,0.03,0,0.02,0.05,0.02,0.01,0,0,0.04,0,0.06,0.02,0,0.01,0,0,0.03
"6159",0,0.01,0,0,0,0.01,0.03,0.01,0.01,0,0,0,0.01,0.02,0,0.03,0.03,0.04,0.01,0.01,0,0,0.06,0,0.06,0,0.02,0,0,0.02,0,0.02,0.03,0.01,0.02,0.02,0.03,0.42,0,0.11,0,0.02,0,0,0.01,0,0.02,0.02,0,0.01,0,0,0.01,0.02,0.06,0.02,0,0.01,0,0,0
"6177",0.02,0.01,0.52,0.13,0.02,0.85,0.15,0.41,0.47,0,0,0.01,0.14,0.03,0.01,0.15,0.17,0.63,0.34,0.01,0,0.38,0.55,0,0.05,0.03,0.03,0,0,0.07,0.01,0.06,0.01,0.19,0.71,0.01,0.19,0.94,1,0.19,0.99,0.95,0.14,0.11,0.03,0.04,0.03,0.2,0.01,0.03,0.01,0.02,0.05,0.32,0.62,0.01,0.02,0.2,0.03,0.05,0.02
"6191",0,0.02,0,0.01,0.15,0.25,0.01,0.07,0.07,0.85,0.01,0,0.98,0.97,0.02,0.08,0.09,0.08,0.03,0,0,0.01,0.01,0,0.97,0,0.95,0.2,0.03,0.06,0,0,0.01,0,0,0.55,0.27,0.38,1,1,1,0.98,0,0,0.01,0,0.01,0.33,0.03,0.02,0,0,0.01,0.17,0.05,0.74,0,0,0.01,0.05,0
"6193",0.03,0.04,0.91,0.69,0.02,0.89,0.06,0.79,0.78,0,0.01,0.04,0.27,0.12,0.03,0.05,0.05,0.71,0.37,0.13,0.01,0.43,0.78,0.06,0.08,0.03,0.09,0.01,0.03,0.07,0.06,0.12,0.04,0.44,0.76,0.02,0.07,0.86,0.99,0.42,0.98,0.94,0.2,0.04,0.06,0.17,0.08,0.06,0.11,0.08,0.01,0.25,0.13,0.34,0.84,0.04,0.04,0.07,0.26,0.05,0.01
"6212",0,0,0,0,0,0.91,0.01,0.56,0.57,0,0,0,0,0,0,0.02,0.03,0.02,0.02,0,0,0.01,0.01,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,0,0.1,0.35,0.98,0.01,0.98,0.92,0,0,0.01,0,0,0.1,0,0,0,0,0,0.04,0.02,0,0,0,0,0,0
"6215",0.02,0.03,0.61,0.5,0.01,0.18,0.41,0.72,0.79,0,0,0,0.11,0.11,0.01,0.09,0.09,0.76,0.06,0.01,0,0.39,0.61,0.01,0.08,0.05,0.1,0.04,0.02,0.04,0.01,0.06,0.34,0.71,0.69,0.01,0.11,1,1,0.65,0.99,0.95,0.41,0.07,0.04,0.14,0.3,0.12,0.08,0.05,0.02,0.04,0.08,0.07,0.82,0.03,0.01,0.12,0.14,0.06,0.03
"6299",0,0.01,0.53,0.27,0.05,0.16,0.17,0.59,0.72,0.01,0.01,0,0.05,0.07,0.03,0.16,0.17,0.91,0.03,0.01,0,0.31,0.61,0.02,0.06,0.15,0.04,0.01,0.02,0.02,0,0.02,0.01,0.53,0.66,0.01,0.18,1,1,0.54,1,0.91,0.35,0.04,0.01,0.02,0.38,0.17,0.03,0.01,0,0,0.01,0.04,0.67,0.02,0.01,0.09,0.05,0.02,0
"6313",0,0.01,0.62,0.31,0.08,0.11,0.03,0.42,0.43,0,0,0,0.07,0.15,0.08,0.09,0.08,0.92,0.21,0,0,0.21,0.74,0.11,0.06,0.38,0.11,0.08,0.05,0.02,0.01,0.03,0.69,0.29,0.75,0.01,0.09,1,1,0.09,0.99,0.86,0.25,0.06,0.01,0.05,0.57,0.1,0.02,0.02,0,0.01,0.02,0.08,0.72,0.04,0,0.03,0.06,0.01,0
"6386",0,0.01,0.25,0.39,0.01,0.04,0.22,0.71,0.77,0,0,0,0.1,0.08,0.05,0.16,0.14,0.93,0.06,0,0.01,0.37,0.55,0.01,0.05,0.18,0.09,0.03,0.01,0.03,0.01,0.09,0.04,0.54,0.52,0.01,0.16,1,1,0.3,1,0.97,0.32,0.13,0,0.02,0.66,0.14,0.06,0.04,0.01,0.01,0.02,0.11,0.59,0.06,0,0.07,0.05,0.02,0.01
"6399",0,0.01,0.22,0.15,0.25,0.09,0.13,0.35,0.37,0,0,0,0.28,0.24,0.1,0.12,0.1,0.88,0.24,0.01,0,0.19,0.33,0.02,0.22,0.08,0.21,0.12,0.09,0.12,0.02,0.12,0.1,0.2,0.3,0.03,0.18,0.99,0.98,0.24,0.98,0.96,0.05,0.14,0,0.15,0.45,0.19,0.04,0.09,0.01,0.02,0.18,0.19,0.52,0.14,0.01,0.07,0.08,0.05,0
"6421",0,0.01,0.05,0.15,0.01,0.05,0.11,0.48,0.72,0,0,0,0.16,0.05,0.08,0.24,0.24,0.66,0.06,0.01,0,0.44,0.23,0.03,0.08,0.05,0.04,0,0,0.11,0,0.11,0.02,0.07,0.32,0.01,0.29,1,1,0.66,1,0.96,0.42,0.28,0,0.01,0.27,0.29,0.04,0.06,0.01,0,0.02,0.09,0.56,0.03,0,0.09,0.02,0.01,0
"6424",0.01,0.01,0.11,0.22,0.01,0.18,0.04,0.56,0.73,0,0,0,0.11,0.02,0.02,0.14,0.12,0.94,0.21,0.02,0.02,0.38,0.36,0.11,0.05,0.07,0.02,0.02,0,0.05,0,0.45,0.23,0.11,0.6,0.01,0.12,1,1,0.35,0.99,0.87,0.23,0.29,0.01,0.06,0.34,0.12,0.05,0.1,0.01,0.01,0.05,0.2,0.78,0.04,0,0.21,0.03,0.07,0.06
"6439",0.53,0.62,0.01,0.05,0.01,0.91,0.01,0.44,0.42,0,0.02,0.84,1,0.24,0.06,0.23,0.29,0.4,0.13,0.54,0,0.03,0.02,0.02,0.51,0,0.13,0,0.01,0.07,0,0.37,0.21,0.01,0.01,0.01,0.46,0.98,1,1,1,0.94,0.05,0,0.29,0.2,0.04,0.53,0.02,0.14,0.02,0.01,0.77,0.28,0.08,0.02,0.28,0.31,0,0.14,0.2
"6483",0.03,0.48,0.1,0.69,0.24,0.6,0.4,0.8,0.79,0,0.01,0.2,0.97,0.09,0.27,0.14,0.13,0.42,0.64,0.02,0.47,0.3,0.05,0.03,0.4,0,0.07,0.04,0.02,0.11,0.06,0.18,0.57,0.49,0.04,0.01,0.55,1,1,0.96,1,0.98,0.32,0.01,0.48,0.02,0.01,0.61,0.04,0.9,0.04,0.05,0.02,0.64,0.42,0.06,0,0.12,0.1,0.48,0.19
"6484",0.11,0.75,0.11,0.62,0.08,0.15,0.31,0.64,0.63,0.02,0.01,0.01,0.97,0.29,0.05,0.18,0.18,0.42,0.01,0.07,0.03,0.34,0.14,0.02,0.93,0,0.2,0.22,0.31,0.04,0.06,0.22,0.27,0.61,0.03,0.18,0.27,1,1,0.94,1,0.94,0.11,0.02,0.63,0.02,0.02,0.28,0.07,0.58,0.03,0.1,0.08,0.02,0.49,0.14,0.02,0.09,0.02,0.15,0.1
"6486",0.18,0.09,0.02,0.03,0.01,0.73,0.15,0.29,0.31,0,0.01,0.57,0.99,0.2,0,0.21,0.26,0.1,0.37,0.01,0.59,0.07,0.03,0,0.71,0,0.06,0.01,0,0.35,0.02,0.17,0.72,0.08,0.02,0.02,0.52,1,1,0.99,1,0.96,0.16,0.04,0.09,0.08,0,0.57,0.07,0.53,0.13,0.18,0.12,0.57,0.18,0.03,0.3,0.03,0.02,0.22,0.06
"6494",0,0.01,0.38,0.24,0.02,0.09,0.15,0.53,0.79,0,0,0,0.1,0.11,0.12,0.18,0.17,0.88,0.14,0.01,0,0.54,0.5,0.13,0.04,0.05,0.05,0.03,0.01,0.1,0.03,0.07,0.04,0.56,0.61,0,0.28,1,0.97,0.42,0.96,0.91,0.69,0.17,0,0.03,0.53,0.31,0.01,0.04,0,0.01,0.01,0.14,0.64,0.02,0,0.1,0.11,0.01,0
