variable,p_value,FDR
Benzoic acids and derivatives,0.06051727745455121,0.21566895522393753
Benzopyrans,0.52674651757798,0.8394946098353562
Benzothiazoles,0.14367790419325563,0.3783328998559026
Benzoyl derivatives,0.21115271320520734,0.4917635557542329
Benzylamines,0.32008704690916767,0.6302927397600147
Beta-amino ketones,0.9960502312077786,0.9999999996246786
Beta-diketones,0.952767956617384,0.9999999996246786
Beta amino acids and derivatives,0.0028392435062909063,0.04711369693251473
Beta hydroxy acids and derivatives,0.026263776155963144,0.13937203313251975
Beta lactams,0.6725680306879551,0.9731161424940168
Bicyclic monoterpenoids,0.7743310277866733,0.9999999996246786
"Bile acids, alcohols and derivatives",0.7486501101069563,0.9999999996246786
Boronic acid derivatives,0.05038870360635784,0.19781044876946946
Branched fatty acids,0.6645821936696454,0.9641889203239937
Branched unsaturated hydrocarbons,0.9023393810388001,0.9999999996246786
Butenolides,0.30692003768237,0.6149982641861829
Butyrophenones,0.8340151826891222,0.9999999996246786
C-nitro compounds,0.7901905036053889,0.9999999996246786
Carbamate esters,2.126550872107672e-4,0.025609467875783557
Carbamic acids and derivatives,5.505044701165089e-4,0.025609467875783557
Carbohydrates and carbohydrate conjugates,0.007646475558303264,0.07382324584470969
Carbonyl compounds,0.08284466734027396,0.25899151412372745
Carboxamidines,0.06398732199480563,0.22353465775816964
Carboximidamides,0.02984539957748836,0.14383286783752014
Carboximidic acids,0.3428377441311925,0.6572088163670152
Carboximidic acids and derivatives,0.31042030858714253,0.6190230766756749
Carboxylic acid amides,0.030218874007131868,0.14383286783752014
Carboxylic acid derivatives,0.024929848068737742,0.13771373789231678
Carboxylic acid esters,0.054586035590504754,0.20412102041238045
Carboxylic acid hydrazides,0.049488940662911915,0.19781044876946946
Carboxylic acid imides,0.8271432822465773,0.9999999996246786
Carboxylic acid salts,0.24845239154892346,0.5361741231438418
Carboxylic acids,0.04111642324152643,0.17607113501008495
Carboxylic acids and derivatives,0.017461369355753927,0.11171068828801609
Cardenolides and derivatives,0.44524993922237216,0.7500905593813293
Catechols,0.05102055828581638,0.19781044876946946
Chalcones and dihydrochalcones,0.9448774571294531,0.9999999996246786
Chloroalkenes,0.9446441558485021,0.9999999996246786
Chlorobenzenes,0.3629738716256887,0.6688997086797965
Cholestane steroids,0.9886553321898144,0.9999999996246786
Cholesterols and derivatives,0.7684627059598244,0.9999999996246786
Cholines,0.9449211122266953,0.9999999996246786
Chromones,9.308217699249367e-4,0.03530473998786724
Cinnamaldehydes,0.9082062629239127,0.9999999996246786
Cinnamic acids and derivatives,0.3465774746110181,0.6619879101383116
Coumarins and derivatives,0.08123198489377788,0.2567510951106908
Cyclic alcohols and derivatives,0.5065961625288895,0.8176369674858369
Cyclic ketones,0.7878177659422766,0.9999999996246786
Cyclic olefins,0.7780487284580742,0.9999999996246786
Cyclitols and derivatives,0.0887053722334171,0.27124385089082353
Cyclohexenones,0.7386138111199626,0.9999999996246786
Cysteine and derivatives,0.9545330246739654,0.9999999996246786
Delta-4-steroids,0.8372038468775689,0.9999999996246786
Delta-5-steroids,0.6494674757816016,0.9553108854294472
Delta lactams,0.014835709309278283,0.10617097922672815
Delta valerolactones,0.9107724861692958,0.9999999996246786
Depsipeptides,0.2237329150875223,0.5056684054547932
Diacylglycerols,0.48309177774856216,0.7941849349364908
Dialkyl ethers,0.08762007364933126,0.27050150644066806
Dialkyl peroxides,0.9651510134673835,0.9999999996246786
Dialkyl phosphates,0.6385864957275532,0.9438037360525825
Dialkylamines,0.1566322698297698,0.4062389787771377
Dialkylarylamines,0.010778060402044229,0.0871809452029563
Dialkyldisulfides,0.5760810219567503,0.8841012215579029
Dialkylthioethers,0.9853050110965189,0.9999999996246786
Diazanaphthalenes,0.06677059673303182,0.22582921570216494
Diazinanes,0.024688536722724967,0.13771373789231678
Diazines,5.353711303178906e-4,0.025609467875783557
Dicarboximides,0.7372110204830995,0.9999999996246786
Dicarboxylic acids and derivatives,0.1903041034127942,0.4551489987017144
Dichlorobenzenes,0.7063486627863452,0.9896336146162252
Dihydrofurans,0.0075814365261707446,0.07382324584470969
Dihydropyranones,0.6620480603947121,0.9641889203239937
Dihydropyridinecarboxylic acids and derivatives,0.010077075955342393,0.08705336885824459
Dihydropyridines,0.04820172446911806,0.19781044876946946
Dimethoxybenzenes,0.0829163039567489,0.25899151412372745
Dioxopiperazines,0.005369732702607951,0.06198539271923526
Dipeptides,0.06164667500574792,0.21822922952034765
Diphenylmethanes,0.18309695646276525,0.4459838710171025
Diradylglycerols,0.37154801051979536,0.6724726478228134
Disaccharides,0.9999970123599069,0.9999999996246786
Diterpene glycosides,0.24561213864721015,0.5341159792957594
Diterpene lactones,0.3737288990965305,0.6724726478228134
Diterpenoids,0.7617652179040069,0.9999999996246786
Eicosanoids,0.973493298177041,0.9999999996246786
Enoate esters,0.030592552474779783,0.14383286783752014
Enols,0.9887694014959952,0.9999999996246786
Enones,0.991127033327289,0.9999999996246786
Epoxides,0.6398669396966661,0.9438037360525825
Ethers,0.09869503106554556,0.2927768798648307
Fatty acid esters,0.35522101752954127,0.6651417867392205
Fatty acid methyl esters,0.18701016999875897,0.45343561766822377
Fatty acids and conjugates,0.8398064402753248,0.9999999996246786
Fatty acyl glycosides,0.6991552030258518,0.9867988437667069
Fatty acyl glycosides of mono- and disaccharides,0.9356288142604485,0.9999999996246786
Fatty Acyls,0.7006085952919934,0.9867988437667069
Fatty alcohols,0.9968122297866706,0.9999999996246786
Fatty amides,0.3974322591919968,0.6976560780871777
Flavones,0.5697657757623911,0.8841012215579029
Flavonoids,0.22300916155270112,0.5056684054547932
Formamidines,0.09580423663720294,0.28904573667247024
Furanoid lignans,0.002503866487221545,0.04288880982950453
Furanones,0.11290280496533113,0.32231929804618725
Furans,0.08019022613341781,0.25497610824457995
Furazans,0.6914775607827514,0.9838210132148262
Furofurans,0.6296637751290723,0.937513259328119
Furopyrans,0.31242595960278885,0.6190230766756749
Galloyl esters,0.2912601733993513,0.5948428925963674
Gamma-keto acids and derivatives,0.6840202359991707,0.9806964643311709
Gamma amino acids and derivatives,0.02288754752716935,0.13304225647606369
Gamma butyrolactones,0.2970754487181927,0.6020880277456501
"Gluco/mineralocorticoids, progestogins and derivatives",0.5386920560943456,0.848357074815472
Glucuronic acid derivatives,0.1332071413172736,0.35544217105262454
Glucuronides,0.1711959898041272,0.42479004946725024
Glutamic acid and derivatives,0.3299259734697325,0.6351705895248588
Glutamine and derivatives,0.5831494785182678,0.8898056698080467
Glycerol ethers,0.006549296678936228,0.06818973601010073
Glycerolipids,0.14138578995960877,0.37537927234276125
Glycerophosphocholines,0.8696281007293897,0.9999999996246786
Glycerophosphoethanolamines,0.6320710863266791,0.937513259328119
Glycerophospholipids,0.4930799372840534,0.8056167590702534
Glycosyl compounds,0.0016173899648656877,0.0403101904955541
Glycosylamines,3.825342982055714e-4,0.025609467875783557
Guanidines,0.010100593698920924,0.08705336885824459
Haloalkenes,0.918219264541538,0.9999999996246786
Halobenzenes,0.610035560369081,0.9255110930170914
Halogenated fatty acids,0.4970284053614227,0.8095769424752007
Hemiacetals,0.513263153539768,0.8233919472193862
Heteroaromatic compounds,5.776665461212699e-4,0.025609467875783557
Heterocyclic fatty acids,0.7352053509405778,0.9999999996246786
Hexoses,0.25749164375199407,0.5491086860735295
Hippuric acids,0.725373463195067,0.9980882607349111
Hippuric acids and derivatives,0.05320289415099767,0.20179097710128402
Histidine and derivatives,0.17031767230755518,0.4245947605413699
Hydrocarbons,0.8272404753258097,0.9999999996246786
Hydropyridines,0.16649536561635875,0.4190001855084668
Hydropyrimidines,4.034517518733684e-4,0.025609467875783557
Hydroquinolines,0.4003927446356659,0.6976560780871777
Hydroquinolones,0.6998449952575564,0.9867988437667069
Hydroxamic acids,0.018564538854631964,0.11597376625658322
Hydroxy acids and derivatives,0.04446563777699321,0.1859153831463259
"Hydroxy bile acids, alcohols and derivatives",0.9685282610309458,0.9999999996246786
Hydroxy fatty acids,0.4433944399503188,0.7500905593813293
Hydroxybenzoic acid derivatives,0.02941119657106797,0.14383286783752014
Hydroxycoumarins,0.05251006955034782,0.20059602108801936
Hydroxyflavonoids,0.023180344810241848,0.13304225647606369
Hydroxyindoles,0.07250680211929542,0.23766118472435718
Hydroxysteroids,0.04854518241068849,0.19781044876946946
Hypoxanthines,0.289014482136484,0.592535482681363
