variable,p_value,FDR
Tertiary alcohols,0.2293176899932306,0.5094882568468847
Tertiary alkylarylamines,0.004319834391703409,0.057564927675943185
Tertiary amines,0.22664610263322182,0.5056684054547932
Tertiary carboxylic acid amides,0.03209443463836723,0.14819256341715653
Tetraalkylammonium salts,0.8835060380380055,0.9999999996246786
Tetracarboxylic acids and derivatives,0.001746277894150883,0.0403162418171356
Tetrahydrofuran lignans,0.011766231296391358,0.09080376259727577
Tetrahydrofurans,0.0023899364884800945,0.042301875846097674
Tetralins,0.29282748162246675,0.5957524626112254
Tetrapyrroles and derivatives,0.043891649740427405,0.18590964006713312
Tetrazoles,0.4852476318569545,0.7952669522100088
Thia fatty acids,0.9941416090545709,0.9999999996246786
Thiadiazoles,0.9730098504541007,0.9999999996246786
Thiazoles,0.39218519760509624,0.6955599926622148
Thiocarboxylic acids and derivatives,0.9579104799516424,0.9999999996246786
Thioethers,0.8096388335470286,0.9999999996246786
Thiols,0.9551790757991607,0.9999999996246786
Thiophenes,0.14392325003934525,0.3783328998559026
Thiophosphate triesters,0.6183065823582765,0.9316075678306611
Thiophosphoric acid esters,0.42175943734857213,0.7294927075963903
Triacylglycerols,0.32467523881533006,0.6338329110696332
Trialkylamines,0.93091495611591,0.9999999996246786
Triazines,0.05431525108082001,0.20412102041238045
Triazoles,0.012788545807072116,0.09701025462221848
Tricarboxylic acids and derivatives,2.672387584571193e-4,0.025609467875783557
Triradylcglycerols,0.03729825078649878,0.1610192777856167
Triterpenoids,0.6851947048340196,0.9806964643311709
Tryptamines and derivatives,0.35355463166827805,0.6651417867392205
Tyrosine and derivatives,0.2337043030802713,0.5149252486955356
Unsaturated aliphatic hydrocarbons,0.9494001536590084,0.9999999996246786
Unsaturated fatty acids,0.9907916645546406,0.9999999996246786
Unsaturated hydrocarbons,0.713221692027504,0.991040844894372
Ureas,0.32111988394066193,0.6302927397600147
Valine and derivatives,0.02684555110470453,0.13937203313251975
Vinyl chlorides,0.9418488910547151,0.9999999996246786
Vinyl halides,0.9679171730147058,0.9999999996246786
Vinylogous acids,0.9430836880976794,0.9999999996246786
Vinylogous amides,0.0014347873897466218,0.0403101904955541
Vinylogous esters,0.010164423482506901,0.08705336885824459
Vinylogous thioesters,0.16816553563506498,0.42120707274631836
Xylenes,0.9783137471274426,0.9999999996246786
