Taxonomy,CCE-P1706_139_D_I,CCE-P1706_140_D_I,CCE-P1706_145_D_I,CCE-P1706_146_D_I,CCE-P1706_47_D_I,CCE-P1706_49_D_I,CCE-P1706_59_D_I,CCE-P1706_61_D_I,CCE-P1706_71_D_I,CCE-P1706_73_D_I,Exp1_Pn-delicatissima_A_I,Exp1_Pn-delicatissima_A_II,Exp1_Pn-delicatissima_B_I,Exp1_Pn-delicatissima_B_II,Exp1_Pn-multiseries_A_I,Exp1_Pn-multiseries_A_II,Exp1_Pn-subpacifica_A_I,Exp1_Pn-subpacifica_A_II,Exp1_Pn-subpacifica_B_I,Exp1_Pn-subpacifica_B_II,Exp2_Pn-delicatissima_A_I,Exp2_Pn-delicatissima_B_I,Exp2_Pn-galaxiae_A_I,Exp2_Pn-galaxiae_B_I,Exp2_Pn-hasleana_A_I,Exp2_Pn-hasleana_B_I,Exp2_Pn-multiseries_A_I,Exp2_Pn-multiseries_B_I,Exp2_Pn-subpacifica_A_I,Exp2_Pn-subpacifica_B_I,Piers_Goleta_I_I,Piers_NewportBeach_I_I,Piers_NewportBeach_M_I,Piers_SantaMonica_I_I,Piers_Scripps_I_I,Piers_Scripps_M_I,Piers_StearnWharf_I_I
Bacteria;Actinobacteria;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;8424,0,0.015310000990116113,0.024473992510155244,0.019059830676480788,0.025294606442522273,0.01145011480217019,0.02391064576343037,0.011202123532326943,0.020509351012983713,0.0213279500374111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03798408950203886,0.047854269754962084,0.05560733803415244,0.03763272283658548,0.0785546068806831,0.10648273566730665,0.03419889746328906
Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010018316873562538,0.020221094497159694,0,0.019107302969375604,0,0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus Aquiluna;10268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006900381774704269,0,0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus Aquiluna;1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014560374418506102,0,0.012598549144415383,0,0
Bacteria;Bacteroidetes;Bacteroidia;10081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009504193993527836,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;180,0,0,0,0,0.013383619934469952,0,0.012601149539883571,0.013719886827605533,0.007942764152517741,0.007540068830896191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019530209710808894,0,0.026328530253205973,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;2410,0.016631669227973024,0.014709328953199628,0.014757435147218573,0,0.02085775494204179,0,0.01690657415878016,0.012524420344981585,0.012970706862439585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;5313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009286991073819693
Bacteria;Bacteroidetes;Bacteroidia;5316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008190330106031197
Bacteria;Bacteroidetes;Bacteroidia;5882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108612808379087,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;6620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063073387586291664,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;6900,0,0,0,0.007573222582371389,0,0.01145011480217019,0,0,0,0.012313075303419635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063073387586291664,0,0,0,0,0,0.00875584516830548
Bacteria;Bacteroidetes;Bacteroidia;8090,0.015182450673423002,0.013427638081161408,0.007378516701990942,0.00874483205772461,0.013383619934469952,0,0.007969540184353648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011422696025782369,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;9427,0.015182450673423002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008190330106031197
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;7169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010723744978595146
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured marine bacterium;6729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01026718773966712
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;2865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012269984841247457,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009504193993527836,0,0,0,0,0
