Taxonomy,CCE-P1706_139_D_I,CCE-P1706_140_D_I,CCE-P1706_145_D_I,CCE-P1706_146_D_I,CCE-P1706_47_D_I,CCE-P1706_49_D_I,CCE-P1706_59_D_I,CCE-P1706_61_D_I,CCE-P1706_71_D_I,CCE-P1706_73_D_I,Exp1_Pn-delicatissima_A_I,Exp1_Pn-delicatissima_A_II,Exp1_Pn-delicatissima_B_I,Exp1_Pn-delicatissima_B_II,Exp1_Pn-multiseries_A_I,Exp1_Pn-multiseries_A_II,Exp1_Pn-subpacifica_A_I,Exp1_Pn-subpacifica_A_II,Exp1_Pn-subpacifica_B_I,Exp1_Pn-subpacifica_B_II,Exp2_Pn-delicatissima_A_I,Exp2_Pn-delicatissima_B_I,Exp2_Pn-galaxiae_A_I,Exp2_Pn-galaxiae_B_I,Exp2_Pn-hasleana_A_I,Exp2_Pn-hasleana_B_I,Exp2_Pn-multiseries_A_I,Exp2_Pn-multiseries_B_I,Exp2_Pn-subpacifica_A_I,Exp2_Pn-subpacifica_B_I,Piers_Goleta_I_I,Piers_NewportBeach_I_I,Piers_NewportBeach_M_I,Piers_SantaMonica_I_I,Piers_Scripps_I_I,Piers_Scripps_M_I,Piers_StearnWharf_I_I
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;4599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004480267552900963,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;4627,0,0.004246077154196644,0.0060245154375386965,0.007573222582371389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;4788,0,0,0,0.00874483205772461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;4861,0,0,0,0,0.011311126846556213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036650288496520016,0.021950428057622363,0,0.022719506617267207,0,0,0.024960271508808397
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;4868,0.02540685647122196,0,0,0,0.008761486447401984,0,0.007969540184353648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;4889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15882520305195896,0.1592123861572118,0.15491044445318017,0.15652349056011944,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;4925,0,0,0,0.013827057891708294,0,0,0,0.012524420344981585,0.0177613076575767,0.006156420975116832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;4944,0,0,0.020431423721681552,0.01693488807886788,0.09299352043982205,0.04494764634533725,0.03985783160894668,0.03587123663228452,0.02511960318156731,0.0345594877498425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032166576945449575,0.030719895664613663,0,0,0.011268425299890316,0,0.029208165871266706
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;4967,0,0,0.014757435147218573,0.017490332940522817,0.018239266362942572,0.014483566799287284,0.021086760865485724,0.01771266823382912,0.01834386397718088,0.01508056637725084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;4978,0.021472052691431785,0.029113663547594964,0.04042444261930242,0.05025574731007845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5002,0,0,0.009525681726467821,0.006183490642206207,0,0.008869143265935311,0,0,0.009171546189131179,0.009734248496687843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06878640668531683,0.02392028466201263,0,0.0415475477379097,0.027890955561053647,0,0.024573188586746533
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023176563571064263,0.029211827675136807,0,0,0.014906962129740515,0,0.02122408936123737
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5046,0,0.04917156137184735,0.04859002028863255,0.0469055383657038,0.075269304720969335,0.07082640380582908,0.07375739466755377,0.03716101584363388,0.06822437582915203,0.06916033840783042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015520673269346549,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015520673269346549,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5124,0.003919951346941987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006900381774704269,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5146,0.03417991086949376,0.012738537697682819,0,0,0.027709444202183388,0,0.021086760865485724,0,0.013757560392383817,0.01508056637725084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5226,0,0,0,0,0.024261527166849872,0,0.01952234033347064,0,0.021015904686627895,0.018976382856528192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02463327309632635,0,0,0,0,0,0.03516672332269953
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5269,0.009602003573780193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5280,0,0,0.020431423721681552,0,0.02816760276499967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02851601726605,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;53,0.03349825778327137,0.018990118613034842,0.043456812546247274,0.052309677128342925,0.03239511321482828,0.02897017298595367,0.03652875770345728,0,0.03726309738110337,0.03694669767349799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5300,0.02448247131243958,0,0.020870922595298772,0.023950693427774998,0.025294606442522273,0.01983304743780196,0.01593958659893012,0,0.0177613076575767,0.01741375815614805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5357,0.1465650028528556,0.03938656392518698,0.04109303380786307,0.04649557839354097,0.039517509648221504,0,0.02982339404370322,0.029641753674692062,0.030766723523870877,0.034832799646521875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020439401111533355,0,0,0,0,0,0.02122408936123737
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5410,0,0,0,0,0.018239266362942572,0,0,0,0.013757560392383817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015840747324569297,0,0,0.022183267297080308,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5480,0.06076485707950915,0,0,0.023548057033391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5546,0,0.014709328953199628,0.018074421073619035,0.0290070247508925,0,0.014483566799287284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009406098887586051,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007680009831309492,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5554,0.019204892580492315,0,0.016499463816901944,0.018028679992434456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01865831852840955,0.018473605294737083,0,0,0,0,0.019083836641378173
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5630,0,0,0,0,0.018927861957967113,0.03157034242288116,0,0.02240565310072081,0.022467183454713505,0.028549847696313913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025428267023506465,0,0,0.014368335898121235,0.014906962129740515,0,0.02437734421555009
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015193860235128618,0,0,0,0,0.013844472148604296
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00875584516830548
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;587,0,0,0.00852000297838608,0.012367217729439708,0,0,0.005635286080377335,0.007921014678304417,0.007942764152517741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01512494340899212,0.014859863597362284,0,0,0,0,0.015478714046096624
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011161645482739754
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013062440054753963,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005462306540781357,0.026127109584678936,0,0,0,0,0.006191277938308444
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02463327309632635,0.05031193330716811,0,0.03348231327988547,0.023571286390256154,0.022193243975441205,0.03017694352308212
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;5949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038912960718110266,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01727410312071422,0.013809504735682945,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08773553429691178,0,0.03582449164939177,0.026429317287669302,0.013011241653064849,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013441162413599298,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6107,0.006789589672938464,0.00849223086406066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031680222689031015,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012269984841247457,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007724906407000734,0.008381883196845238,0,0.006651067269206133,0,0,0.01276391148070562
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15477727294289903,0.1557211899086563,0.13282429115259456,0.12941239333403384,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02070245982861645,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6603,0.011760094991816704,0,0,0,0,0.02172629985052453,0,0.020195865892512006,0.013757560392383817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019695801767483385,0.01927148777004043,0,0.02518301032486015,0.028174194300665995,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6627,0.01708745955015882,0.01644567799725893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008919983159780733,0.011422696025782369,0,0.02138166150409451,0.028454616761161514,0.0141447835037602,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6637,0.016631669227973024,0.03149486285079527,0.026263114189423818,0.03632754207150582,0.020234908207449873,0.01698371018809873,0.025204300559532714,0,0.01834386397718088,0.0213279500374111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006922070224703229
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01698373322367987,0.026127109584678936,0,0,0,0,0.01667119175313083
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6697,0.003919951346941987,0.012738537697682819,0.026263114189423818,0.023950693427774998,0.01517572802027589,0,0.021086760865485724,0,0.012970706862439585,0.01508056637725084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01727410312071422,0,0,0,0,0,0.011161645482739754
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6792,0.003919951346941987,0.013427638081161408,0.012780197753226544,0.00874483205772461,0,0,0,0,0,0.008706549038685521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6800,0,0.02286774955230352,0.023334824447594243,0.02623717193398877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010723744978595146
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031680222689031015,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;6990,0,0,0,0,0,0,0,0,0.00458572487647892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7000,0,0,0.0060245154375386965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008919983159780733,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7111,0,0,0,0,0,0,0,0,0.025943596549412185,0.023444952314036614,0,0,0,0,1.3324980601769851,1.3151794800009626,0,0,0,0,0,0,0,0,0,0,1.2285734656791867,1.226600353356295,0.9330946674237753,0.9139236798378276,0.021390715797281305,0,0,0.015360472695953722,0,0,0.013844472148604296
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7120,0.014667603272828922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031680222689031015,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7147,0.08723565237694252,0.04474999856333001,0.038348948454865625,0.045664650503557544,0.04352758955732697,0.01983304743780196,0.04816627259269689,0.0268644179946206,0.04375883777639825,0.049270989557056576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03353002547554917,0.06203910316732615,0.04192271443108651,0,0.059125312627352565,0.038245278533200776,0.04096264718779958
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006336076333792783,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7266,0.0472198898864142,0.026519772092437863,0.0330034214620449,0.03213568594190726,0.045258992276076875,0.03239077119906507,0.03334480446975706,0.040786799967227255,0.03582319220200963,0.03668911026515491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7307,0.03528679425371915,0.048987594346781245,0.05921571667592392,0.05934440738177017,0.09229909900253508,0.06759596219931097,0.07857085347832264,0.07156915629011053,0.06945018304453579,0.06846970135314202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023601935367467203,0,0.023349839230746686,0.036029879905815056,0,0,0.026270221389979424
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7352,0,0,0,0.0195550359927636,0.015996690128943867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005462306540781357,0.005487193886588305,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7355,0.013579492361218314,0.03678028842911728,0.05184775418566961,0.05934440738177017,0.08196882199888805,0.05469962741551964,0.07630636307447561,0.07542449609251216,0.06760319039823927,0.07521913086397009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01576889584843856,0,0,0.013302428782431059,0,0,0.023577717839491048
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007083960546372799,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010018316873562538,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7400,0,0,0.024100248902784217,0,0.02816760276499967,0.052243178732946954,0.04438662556790281,0.040009418506030243,0.030075037221387362,0.030477254622139988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04100892346829249,0.024336402252793547,0,0,0,0,0.046554175044908545
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012269984841247457,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7420,0.014667603272828922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022846882802332685,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7458,0,0,0,0,0,0,0,0,0.015209661913401024,0.011517790908864926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021156895382045533,0.009504193993527836,0.005503137568362641,0.014368335898121235,0.016903085140567205,0.02112717620164013,0.016381209696258114
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049506226735267174,0,0.009406098887586051,0,0.008772042323709546,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012269984841247457,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7524,0.042049077594886596,0.030916740427394413,0.022543445738747416,0.02434667708686064,0.019592282048358084,0.01916046040871891,0.012601149539883571,0.005600973907519465,0.01653476164768724,0.023037110117020806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010459659414237953,0,0,0,0,0,0.009789363770353233
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;756,0.02744303367591799,0.03502110231757001,0.030426822276440696,0.032725589446277695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008919983159780733,0.02101579418680938,0,0,0,0,0.013133977538355456
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010974552997431655,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02125330388793945,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031680222689031015,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7857,0.015680407794406423,0,0,0,0.007153693219456895,0,0,0.009701272828682573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008343866388503127,0,0.011674123920611582,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7880,0.30207577048705203,0.7738946064686804,0.6068620091457401,0.6641750635401069,0.759364191956235,0.9474400777323411,0.8849430022202593,0.9703945441864539,0.849352533579609,0.7874163992784229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427912270338975,0.06395592939997007,0.04862130448486547,0.07117727170476218,0.07099103789055619,0.12146545442651438,0.029857506363076183
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06207943441135633,0.027802817863372957,0.008701290376886621,0.05351008618281744,0.043472971890298154,0.018814803543413524,0.04582701924090622
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7922,0.0640962478105926,0.04495125843651694,0.17004069455429258,0.19645668453477327,0.24114821355739416,0.1578138074333253,0.2552186316646855,0.23560614600811364,0.3450963385823982,0.35640768736395306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14927766380781152,0,0,0,0,0,0.1612830928479764
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;7951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03708919072218401,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;80,0.05319775900318834,0.05097484567898221,0.03690062251192007,0.054109510189032234,0.05658461905632555,0.1577293178864421,0.07482993810727633,0.12263362728447895,0.13250035275057967,0.13642168632641977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12880657904116438,0.06089324364679603,0.03348036457521176,0.1598885774697634,0.12284215552785946,0.08228726591676432,0.12847588501023993
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;8112,0.12258128239263644,0.027846905084077927,0.06672827240552415,0.0696028335543803,0.042635598958808404,0,0.03609108056550912,0.023095339384212207,0.03864949080960966,0.04525543032598127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;8135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022403136799036716,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;8137,0,0,0,0,0,0,0,0,0.00458572487647892,0.009734248496687843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;8196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00875584516830548
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008908401697282525,0,0
