category,term,df,sumsq,meansq,statistic,p.value,FDR
Amino acids and derivatives,Organism,4,0.041264783745657105,0.010316195936414276,11.643961979807509,4.073106205541379e-6,7.678238506616302e-6
"Amino acids, peptides, and analogues",Organism,4,0.04687387312665948,0.01171846828166487,13.0552064850202,1.3188282627446637e-6,2.92120460197943e-6
Amino fatty acids,Organism,4,0.09893687848305271,0.02473421962076318,32.988576619049205,1.981127681724293e-11,2.102053221778622e-10
Aminoglycosides,Organism,4,0.18430325883276383,0.04607581470819096,53.70658197525347,1.8533231304157688e-14,5.473480978494571e-13
Aminoimidazoles,Organism,4,0.16336065169959368,0.04084016292489842,32.51190498623218,2.415271497693576e-11,2.431739257905123e-10
Aminopyrimidines and derivatives,Organism,4,0.02341386577905903,0.005853466444764758,5.933559496220801,9.387625654445272e-4,0.0011089915106451348
Aminosaccharides,Organism,4,0.06993359918124709,0.01748339979531177,15.396946098572686,2.3438857247181274e-7,6.885934522958983e-7
Aminosulfonyl compounds,Organism,4,0.022830070890350742,0.0057075177225876855,6.659088433790383,4.282074305202895e-4,5.343546245647556e-4
Amphetamines and derivatives,Organism,4,0.06614259772353738,0.016535649430884345,13.776781649567594,7.606515889320818e-7,1.8214521832265526e-6
Androgens and derivatives,Organism,4,0.03262873911570269,0.008157184778925672,10.325181829981652,1.2502345776075917e-5,2.113946251451004e-5
Aniline and substituted anilines,Organism,4,0.08530910776268777,0.021327276940671942,11.955210682458784,3.1567974748478914e-6,6.1336021112176135e-6
Anisoles,Organism,4,0.11247229060867878,0.028118072652169694,15.607026552740352,2.023250707113876e-7,6.181379746561704e-7
Aralkylamines,Organism,4,0.050311283429505665,0.012577820857376416,5.437559664496252,0.0016354859175392459,0.0018916978106263338
Aromatic hydrocarbons,Organism,4,0.01651693901350012,0.00412923475337503,12.526315789473678,1.9959439274199386e-6,4.151188543882813e-6
Aryl alkyl ketones,Organism,4,0.06728062833308956,0.01682015708327239,19.47588062317246,1.641541405127385e-8,7.654766762857174e-8
Aryl bromides,Organism,4,0.012538203145320802,0.0031345507863302004,2.8862292738128366,0.0363933318787846,0.03802416514693768
Aryl chlorides,Organism,4,0.013208794344708232,0.003302198586177058,8.232855234519715,8.648178772164159e-5,1.227930511560488e-4
Aryl halides,Organism,4,0.013609811680561352,0.003402452920140338,6.607057426824382,4.52532344212243e-4,5.615457380560887e-4
Aryl ketones,Organism,4,0.04560672300495849,0.011401680751239622,16.087687898159636,1.4515558712129707e-7,4.659704717009754e-7
Aspartic acid and derivatives,Organism,4,0.17192722962512483,0.04298180740628121,50.03014181635158,5.307184354850338e-14,1.3829898054109998e-12
Azacyclic compounds,Organism,4,0.06942960500137431,0.017357401250343577,17.25900264008769,6.62645655294531e-8,2.3294860401332007e-7
Azaspirodecane derivatives,Organism,4,0.024573748155511704,0.006143437038877926,9.598349254948072,2.39251506426698e-5,3.758454515852029e-5
Azetidines,Organism,4,0.012376961135296637,0.0030942402838241593,12.053964446462217,2.9137659268226988e-6,5.7883332088899355e-6
Azo compounds,Organism,4,0.08011276153682396,0.02002819038420599,15.556383349054284,2.096053636749465e-7,6.31667864680281e-7
Azo imides,Organism,4,0.03711654905272503,0.009279137263181258,9.145106297424098,3.629249143476229e-5,5.563174292595049e-5
Azoles,Organism,4,0.04330504243993675,0.010826260609984187,15.325630639235634,2.4645885642117583e-7,7.182978512801374e-7
Azolines,Organism,4,0.05790476467263112,0.01447619116815778,16.28052537288046,1.2726934428543724e-7,4.1456117292976985e-7
Benzene and substituted derivatives,Organism,4,0.0922258354195975,0.023056458854899375,15.621304629704222,2.0032112371107477e-7,6.175593723026915e-7
Benzenoids,Organism,4,0.08631115988480757,0.021577789971201893,15.958931539650042,1.585631211686878e-7,5.053486523577604e-7
Benzodiazines,Organism,4,0.14222952172839967,0.03555738043209992,17.772959191082364,4.747578302235061e-8,1.75264765657511e-7
Benzoic acid esters,Organism,4,0.23436520846848347,0.058591302117120866,34.55412484718101,1.0493621307327604e-11,1.1919677536272125e-10
Benzoic acids,Organism,4,0.3809118439419345,0.09522796098548363,58.36834574392201,5.314128359945274e-15,1.9617990528797968e-13
Benzoic acids and derivatives,Organism,4,0.258676723720908,0.064669180930227,41.14798016822339,9.059199119899793e-13,1.3838707621088305e-11
Benzopyrans,Organism,4,0.027461095483195034,0.0068652738707987585,8.765698820354151,5.1821982040452684e-5,7.703737598631054e-5
Benzoyl derivatives,Organism,4,0.1628552291461808,0.0407138072865452,30.984479056023027,4.628465322350716e-11,4.100820275602734e-10
Beta-amino ketones,Organism,4,0.030955553636836036,0.007738888409209009,7.22510012000688,2.3713098006021116e-4,3.089677181372751e-4
Beta-diketones,Organism,4,0.025666417427124173,0.006416604356781043,11.462530915608973,4.7333706884789716e-6,8.700760228199934e-6
Beta amino acids and derivatives,Organism,4,0.18701226348458055,0.04675306587114514,49.77641006134724,5.720493574674988e-14,1.4078770297672333e-12
Beta hydroxy acids and derivatives,Organism,4,0.031138138850009406,0.0077845347125023515,10.690551430774118,9.099242959550548e-6,1.586993949244446e-5
Beta lactams,Organism,4,0.02259358437126096,0.00564839609281524,14.365977372079826,4.912912343333649e-7,1.2794015097982634e-6
Br,Organism,4,1.6183112847119352,0.4045778211779838,41.66959727462968,7.567375518028572e-13,1.1972669123166632e-11
Branched fatty acids,Organism,4,0.11620346337257927,0.029050865843144816,54.596853839764016,1.449816163622e-14,4.940527388342662e-13
Branched unsaturated hydrocarbons,Organism,4,0.02633453068000894,0.006583632670002235,15.759987020989598,1.819128471050661e-7,5.715417820393212e-7
