category,term,df,sumsq,meansq,statistic,p.value,FDR
Hypoxanthines,Organism,4,0.10279876200840536,0.02569969050210134,19.087756333124993,2.0795265100226153e-8,9.295534812248683e-8
Imidazoles,Organism,4,0.04222771117339836,0.01055692779334959,14.011663618248097,6.38184488126652e-7,1.5706429346672603e-6
Imidazolyl carboxylic acids and derivatives,Organism,4,0.03936050236070822,0.009840125590177055,20.08819853075217,1.1374967291957494e-8,5.6619219217271574e-8
Imidazopyrimidines,Organism,4,0.03766521954109219,0.009416304885273048,8.100172602435409,9.846282864532195e-5,1.375994734696455e-4
Imidolactams,Organism,4,0.03825013881677664,0.00956253470419416,10.034728235128647,1.6159555797320594e-5,2.641580523325839e-5
Imines,Organism,4,0.042976728102654536,0.010744182025663634,12.30364110502066,2.3832793431361375e-6,4.910663948880506e-6
Indoles,Organism,4,0.09222283339218156,0.02305570834804539,12.081969888243961,2.8484993379641204e-6,5.6841675978293035e-6
Indoles and derivatives,Organism,4,0.16018748074456624,0.04004687018614156,16.81468944962767,8.885856245690076e-8,3.0514994704191497e-7
Indolines,Organism,4,0.1047264000027599,0.026181600000689975,14.46277306143877,4.5770915975070297e-7,1.2141626213746194e-6
Isoindoles and derivatives,Organism,4,0.034394752735167344,0.008598688183791836,6.8292724748883105,3.5780498117488795e-4,0.00045030570073998683
Isoindolines,Organism,4,0.039041506965266454,0.009760376741316613,9.94735388015147,1.746872716433859e-5,2.8346689134805843e-5
Isoindolones,Organism,4,0.03457851042159808,0.00864462760539952,11.472603570745488,4.693901883660028e-6,8.664160560255802e-6
Isoleucine and derivatives,Organism,4,0.06487427299019946,0.016218568247549865,13.552629376129456,9.008384855232804e-7,2.089379314590645e-6
Isoxazoles,Organism,4,0.03418794735289432,0.00854698683822358,10.448331856235388,1.1225676883944364e-5,1.912682638302828e-5
Ketimines,Organism,4,0.0380575040427717,0.009514376010692925,9.617251969409491,2.3517768063732886e-5,3.720846875797739e-5
Keto acids and derivatives,Organism,4,0.01994523473816975,0.0049863086845424376,7.218213813355696,2.3881617629423573e-4,3.1025092697462296e-4
Ketones,Organism,4,0.017624176879544488,0.004406044219886122,7.075576997303134,2.767097456966256e-4,3.5531135461914533e-4
Lactams,Organism,4,0.04246831875936217,0.010617079689840542,14.084646757599325,6.045170030354047e-7,1.4960951527635993e-6
Lactones,Organism,4,0.022887707785929738,0.0057219269464824345,10.24424280087054,1.3424184244103187e-5,2.244118347221778e-5
Leucine and derivatives,Organism,4,0.2728862684512995,0.06822156711282487,63.683020854181194,1.4148904963274302e-15,6.964405443033906e-14
Lineolic acids and derivatives,Organism,4,0.014030295868981753,0.003507573967245438,12.611821389560973,1.8653974849525268e-6,3.917124354588651e-6
Lipids and lipid-like molecules,Organism,4,0.02843759446473238,0.007109398616183095,14.857442708863045,3.4392291705505255e-7,9.404805694777055e-7
Long-chain fatty acids,Organism,4,0.06341927720759094,0.015854819301897735,30.196538531040655,6.536503790170798e-11,5.463530526501252e-10
Macrolactams,Organism,4,0.1671562401806986,0.04178906004517465,27.974346773434327,1.797643371723217e-10,1.3055016617596477e-9
Macrolide lactams,Organism,4,0.1500275106518525,0.03750687766296312,44.61217432132891,2.834823864391535e-13,5.460117269241087e-12
Macrolides and analogues,Organism,4,0.03759931780809529,0.009399829452023823,9.931045231577073,1.772523811643027e-5,2.865795797656427e-5
Medium-chain fatty acids,Organism,4,0.07601348622710803,0.019003371556777008,39.924014589062985,1.392079474310224e-12,1.9271600222482163e-11
Methoxybenzenes,Organism,4,0.10625749236649404,0.02656437309162351,14.867783944497436,3.41377784463613e-7,9.393189970023638e-7
Methyl-branched fatty acids,Organism,4,0.09458208913499094,0.023645522283747736,47.55647348046839,1.1181270907726206e-13,2.358715720058433e-12
Methyl esters,Organism,4,0.06030098344120358,0.015075245860300896,12.878857686158918,1.512628173466903e-6,3.268752589491893e-6
Monoalkyl phosphates,Organism,4,0.13569522411303522,0.033923806028258806,6.081043455211744,7.98258579899986e-4,9.480658200956938e-4
Monoalkylamines,Organism,4,0.04579445574886557,0.011448613937216393,12.204762156821118,2.580023832338214e-6,5.2670532614093495e-6
Monocarboxylic acids and derivatives,Organism,4,0.026130537361128223,0.006532634340282056,11.658494497188887,4.024603253063687e-6,7.619227526099202e-6
Monoradylglycerols,Organism,4,0.023767859173049195,0.005941964793262299,9.153338475512212,3.60158070256192e-5,5.5471427345171414e-5
Monosaccharide phosphates,Organism,4,0.4605687316140791,0.11514218290351977,18.919415482606453,2.3064510419995455e-8,1.0017233447115672e-7
Monosaccharides,Organism,4,0.09109690760548098,0.022774226901370244,14.138779088136454,5.807595240975261e-7,1.4574767465794988e-6
Monoterpenoids,Organism,4,0.016049278719215222,0.0040123196798038056,7.938288600091649,1.154929473670707e-4,1.598855490112885e-4
mz,Organism,4,0.027322103925978655,0.006830525981494664,8.37413726323735,7.539683888729594e-5,1.0844415463335097e-4
N,Organism,4,0.04756466886539997,0.011891167216349993,14.739996092634422,3.7427615955545893e-7,1.017204531797965e-6
N-acyl-alpha-hexosamines,Organism,4,0.07318406974749073,0.01829601743687268,13.5152249357253,9.267728775243815e-7,2.127255879498969e-6
N-acyl-alpha amino acids,Organism,4,0.022811789784065714,0.0057029474460164285,9.970318345415915,1.7114148580199816e-5,2.7873411106722492e-5
N-acyl-alpha amino acids and derivatives,Organism,4,0.08944646045839065,0.022361615114597663,23.389380222933895,1.7775925485022198e-9,1.0787308205294292e-8
N-acyl amines,Organism,4,0.25628929654009575,0.06407232413502394,65.58442241172368,9.02027200416418e-16,5.708543568349617e-14
N-acylpyrrolidines,Organism,4,0.0365656461492015,0.009141411537300375,13.07858694621048,1.2951734144749445e-6,2.8832252392582938e-6
N-alkylindoles,Organism,4,0.18805856959041198,0.047014642397602995,23.72138335489594,1.4902601765053285e-9,9.169239697109174e-9
N-alkylpyrrolidines,Organism,4,0.029235142332563534,0.007308785583140884,8.455068967943037,6.973088024561713e-5,1.0095026127061564e-4
N-substituted carboxylic acid imides,Organism,4,0.03413042035014939,0.008532605087537348,18.122887526732352,3.796765272687331e-8,1.449971565345248e-7
N-substituted imidazoles,Organism,4,0.054442760433840096,0.013610690108460024,13.621704214781019,8.549387831373045e-7,1.993357268051715e-6
N/C,Organism,4,0.034092718009318346,0.008523179502329586,13.732454860658688,7.864261880405845e-7,1.8730473188278439e-6
Nitroaromatic compounds,Organism,4,0.016220442562050057,0.004055110640512514,5.618501982891191,0.001333283525058653,0.001558429027970932
Nitrobenzenes,Organism,4,0.02522677165693016,0.00630669291423254,7.4907489625222805,1.8080763100685715e-4,2.4053387548359677e-4
"Nucleosides, nucleotides, and analogues",Organism,4,0.1299129836365326,0.03247824590913315,12.99369961920096,1.3832616007393005e-6,3.0186447740271434e-6
O,Organism,4,0.029957768230431867,0.007489442057607967,9.528986813021975,2.548493610271651e-5,3.9893380542414894e-5
O-glucuronides,Organism,4,0.16303047714371963,0.04075761928592991,49.41205885591171,6.374514838443039e-14,1.48626845970014e-12
O-glycosyl compounds,Organism,4,0.04152531273856666,0.010381328184641665,15.102531864555296,2.886468493786781e-7,8.196830402227845e-7
O/C,Organism,4,0.02608531994961267,0.006521329987403167,9.429723955718659,2.7906243551879636e-5,4.352980948409394e-5
Olefins,Organism,4,0.022087804112000137,0.005521951028000034,12.26042898204503,2.4672382525499634e-6,5.060122897590897e-6
Oligopeptides,Organism,4,0.23670106793246584,0.05917526698311646,46.01907919530828,1.8062827877645262e-13,3.6371967044531143e-12
"Organic 1,3-dipolar compounds",Organism,4,0.033268637132070324,0.008317159283017581,8.602870177080739,6.0510433028716226e-5,8.846904894957521e-5
Organic acids and derivatives,Organism,4,0.024985595519315066,0.0062463988798287665,9.80540132564886,1.9839721643021745e-5,3.184419089803853e-5
Organic carbonic acids and derivatives,Organism,4,0.05849992917676896,0.01462498229419224,19.268066064733365,1.862416438708433e-8,8.505675075750884e-8
Organic cations,Organism,4,0.032667486550024105,0.008166871637506026,8.158699323702942,9.297557517282478e-5,1.3159162875898205e-4
Organic nitro compounds,Organism,4,0.021212024764828783,0.005303006191207196,6.254730630029772,6.606291705867578e-4,7.931130692952133e-4
Organic nitrogen compounds,Organism,4,0.04043565754856207,0.010108914387140518,10.668292727295185,9.275618522603334e-6,1.608477848002675e-5
Organic oxides,Organism,4,0.022350346140794782,0.0055875865351986955,8.950839321911706,4.351639165008464e-5,6.548954498583407e-5
Organic oxoanionic compounds,Organism,4,0.25450150380079656,0.06362537595019914,9.717544381812363,2.1475317247691957e-5,3.422145877959546e-5
Organic oxoazanium compounds,Organism,4,0.024919134007696023,0.006229783501924006,5.715556328195007,0.0011959141482665878,0.0014052784288649824
Organic peroxides,Organism,4,0.0699701626218779,0.017492540655469475,17.604609899258136,5.291832170779703e-8,1.921542337422466e-7
Organic phosphonic acids,Organism,4,0.11499976720426626,0.028749941801066565,17.519759531413495,5.590774539179866e-8,2.0135879031355127e-7
Organic phosphonic acids and derivatives,Organism,4,0.03873500452484286,0.009683751131210715,6.748081321520125,3.89736842155673e-4,4.877215284603479e-4
Organic phosphoric acids and derivatives,Organism,4,0.02782388501723848,0.00695597125430962,3.300093938092521,0.021413327615858326,0.022803134937079902
Organic pyrophosphates,Organism,4,0.23281594398320354,0.058203985995800886,9.691810323110712,2.198088066822855e-5,3.4901541706183684e-5
Organic salts,Organism,4,0.047292109398347985,0.011823027349586996,12.611603553006418,1.8657183720501252e-6,3.917124354588651e-6
Organic sulfonic acids and derivatives,Organism,4,0.039366243840499034,0.009841560960124758,6.245244748335613,6.674610026978817e-4,7.991492545815178e-4
Organic sulfuric acids and derivatives,Organism,4,0.015359488288181344,0.003839872072045336,2.772001019715519,0.04219466606794189,0.0437757308386376
Organic thiophosphoric acids and derivatives,Organism,4,0.009847061195005842,0.0024617652987514605,5.590697733668959,0.0013756186236897475,0.0016036817113014687
Organic zwitterions,Organism,4,0.02019114228777112,0.00504778557194278,6.3932919090694735,5.687976179453e-4,6.903488897253915e-4
Organobromides,Organism,4,1.0916765274992324,0.2729191318748081,39.958336776783845,1.3752112414174697e-12,1.9271600222482163e-11
Organochlorides,Organism,4,0.06250260287145933,0.01562565071786483,3.1812846588763275,0.02491141998983009,0.026275616798796978
Organohalogen compounds,Organism,4,0.22009933477655508,0.05502483369413877,18.393842801756342,3.1995701180245956e-8,1.3246818339111177e-7
Organoheterocyclic compounds,Organism,4,0.04041529448124585,0.010103823620311463,13.679640031299744,8.18345443181784e-7,1.9283352730294164e-6
Organonitrogen compounds,Organism,4,0.039576293015243555,0.009894073253810889,10.249971917993069,1.3356632832643676e-5,2.2412834639625563e-5
Organophosphorus compounds,Organism,4,0.07393268012532907,0.018483170031332267,3.160250864890895,0.02558986489366506,0.026927102489058483
Organopnictogen compounds,Organism,4,0.03329867951405016,0.00832466987851254,9.080375085970829,3.8547781720732656e-5,5.848173733659098e-5
Organosulfonic acids,Organism,4,0.04613015627090661,0.011532539067726652,3.2590373527164873,0.02256076768333075,0.02396743425351444
Organosulfonic acids and derivatives,Organism,4,0.04987292277829898,0.012468230694574745,7.063849609887592,2.800949432535213e-4,3.5861867011939287e-4
Organosulfur compounds,Organism,4,0.051997425348754525,0.012999356337188631,4.129702489232981,0.007621933074497409,0.008337077412351488
Organothiophosphorus compounds,Organism,4,0.04188352157541294,0.010470880393853235,4.323356115563164,0.006026434466765407,0.006641070817853422
Ortho amides,Organism,4,0.01219980195747512,0.00304995048936878,4.097547841398403,0.007926908427775005,0.008628060033180165
Oxacyclic compounds,Organism,4,0.03364922253371059,0.008412305633427647,12.816127535029501,1.5886312926818773e-6,3.3998244572853706e-6
Oxadiazoles,Organism,4,0.05988648617381805,0.014971621543454513,23.089210257882453,2.087977801388433e-9,1.2332988880201012e-8
Oxanes,Organism,4,0.03066225299627364,0.00766556324906841,11.379091536401463,5.074104754798387e-6,9.250322659982245e-6
Oxazolidinones,Organism,4,0.11024831847413089,0.02756207961853272,19.480490062391347,1.6369681047035297e-8,7.654766762857174e-8
Oxepanes,Organism,4,0.019488076571005875,0.004872019142751469,14.448963986591787,4.6234794219621646e-7,1.2191674904340709e-6
Oxime ethers,Organism,4,0.07191978529643733,0.017979946324109333,31.714445236899486,3.381717868672957e-11,3.183320019856622e-10
Oxosteroids,Organism,4,0.018565670956583884,0.004641417739145971,4.713313370444158,0.003783188573872911,0.004221542917445087
P,Organism,4,0.1655909804950119,0.04139774512375297,5.661620643359361,0.0012703144946802818,0.0014887548178395894
p-Hydroxybenzoic acid esters,Organism,4,0.120094807130733,0.03002370178268325,39.69554286600886,1.5100893521003197e-12,2.0271805544861866e-11
Pentose phosphates,Organism,4,0.22202271992600073,0.05550567998150018,11.706441699049556,3.868854192180833e-6,7.355804322472572e-6
Pentoses,Organism,4,0.06423393367609127,0.01605848341902282,5.371803650086157,0.0017624323348742782,0.002027941621686507
Peptides,Organism,4,0.1663788337233145,0.041594708430828624,40.57142538634522,1.107662863230594e-12,1.635648828037177e-11
Peptidomimetics,Organism,4,0.4033797390817912,0.1008449347704478,145.7151247414322,2.6537593714446754e-21,5.878077007749956e-19
Phenazines and derivatives,Organism,4,0.024184877037025425,0.006046219259256356,10.194494780859912,1.402613388625297e-5,2.3184989968694274e-5
Phenethylamines,Organism,4,0.07199102982797709,0.017997757456994272,14.278579027081207,5.238515905221912e-7,1.3281185655601428e-6
Phenol ethers,Organism,4,0.06586728744285984,0.01646682186071496,13.624624506622776,8.530535263882534e-7,1.993357268051715e-6
Phenols,Organism,4,0.09552129111669838,0.023880322779174595,21.65157796023206,4.6090221374813185e-9,2.5207367986471905e-8
Phenoxy compounds,Organism,4,0.07754845588089042,0.019387113970222605,15.843335183251318,1.71716537101117e-7,5.433601852556774e-7
Phenylalanine and derivatives,Organism,4,0.03032846838032952,0.00758211709508238,13.99720968549757,6.450839643371439e-7,1.5788519127146672e-6
Phenylketones,Organism,4,0.18956402710860495,0.04739100677715124,43.48774857962623,4.0988792890407206e-13,7.450365152887636e-12
Phenylpropanes,Organism,4,0.06888564898329362,0.017221412245823405,11.611691383990623,4.183030307695678e-6,7.85204417927621e-6
Phenylpropanoic acids,Organism,4,0.040012707847073226,0.010003176961768306,17.398986958120542,6.047414986716794e-8,2.160487773480274e-7
Phenylpropanoids and polyketides,Organism,4,0.026980963832748703,0.006745240958187176,7.651312403779015,1.5376012014863165e-4,2.0841681898651752e-4
Phosphate esters,Organism,4,0.030709905287453584,0.007677476321863396,3.710878242461634,0.012771409126028081,0.013699114389419953
Phosphatidylcholines,Organism,4,0.03370725722472989,0.008426814306182473,6.5822570377934095,4.646341671628063e-4,5.733507968053571e-4
Phosphatidylethanolamines,Organism,4,0.012436316996065106,0.0031090792490162766,3.192433969994711,0.02455936608490055,0.02602639398531261
Phosphocholines,Organism,4,0.09506225756348241,0.023765564390870603,12.905676207938875,1.4813154744976193e-6,3.2167782117766925e-6
Phosphoethanolamines,Organism,4,0.016379131617489148,0.004094782904372287,3.4876085129768404,0.016892165476216296,0.018075433106192803
Phosphonic acid esters,Organism,4,0.08686093591529795,0.021715233978824487,25.34285088044852,6.455460759067355e-10,4.283802098828787e-9
Piperidines,Organism,4,0.04683905757638144,0.01170976439409536,15.567634661559994,2.0796434194069612e-7,6.310150923269067e-7
Polycyclic hydrocarbons,Organism,4,0.00798558091479404,0.00199639522869851,12.526315789473669,1.995943927419953e-6,4.151188543882813e-6
Polyols,Organism,4,0.013161089303562344,0.003290272325890586,5.0951815350894964,0.0024210225016505055,0.0027429999187498057
Porphyrins,Organism,4,0.05844320721419055,0.014610801803547638,9.816592080481092,1.9641020605365176e-5,3.1639898647915535e-5
Prenol lipids,Organism,4,0.018068868054782836,0.004517217013695709,10.22315904579414,1.3675900621723138e-5,2.277602998279455e-5
Primary alcohols,Organism,4,0.017004068912172474,0.004251017228043118,6.413754366789142,5.56417576244299e-4,6.771785337258914e-4
Primary amines,Organism,4,0.04108038129065432,0.01027009532266358,11.993570352914992,3.059946248044946e-6,6.024694168372938e-6
Primary carboxylic acid amides,Organism,4,0.2108732522132461,0.052718313053311525,72.61700961524612,1.8744589927337903e-16,2.0759633344526728e-14
Proline and derivatives,Organism,4,0.06830214092462117,0.017075535231155292,19.840572172526947,1.3181830222432786e-8,6.347337813627962e-8
"Propargyl-type 1,3-dipolar organic compounds",Organism,4,0.034220282982136266,0.008555070745534066,8.274512639052409,8.304512846390159e-5,1.1905822624436376e-4
Prostaglandins and related compounds,Organism,4,0.03559535183044921,0.008898837957612302,19.07309796797062,2.0983148560380776e-8,9.295534812248683e-8
Pteridines and derivatives,Organism,4,0.033102938363256396,0.008275734590814099,8.096733547333779,9.879569623561679e-5,1.3763048249175547e-4
Purine nucleosides,Organism,4,0.06286807846521818,0.015717019616304544,10.081458706123763,1.550223111957562e-5,2.5435142170266668e-5
Purine nucleotides,Organism,4,0.05507512464600345,0.013768781161500862,7.468891213312484,1.8486029296421112e-4,2.4445704412879264e-4
Purine ribonucleoside monophosphates,Organism,4,0.021145901504893583,0.005286475376223396,5.2345653509122965,0.002061842542609259,0.002342041657374107
Purine ribonucleotides,Organism,4,0.09573056691635388,0.02393264172908847,10.946342975274096,7.308347359805567e-6,1.2950391521575465e-5
Purines and purine derivatives,Organism,4,0.05313776568201694,0.013284441420504235,10.538367109260749,1.037974686580752e-5,1.78225886106695e-5
Purinones,Organism,4,0.07618055942599813,0.019045139856499534,12.830208385862548,1.571227016070193e-6,3.3789008161121145e-6
Pyranones and derivatives,Organism,4,0.019725451461353592,0.004931362865338398,11.53477359343836,4.4578568867369295e-6,8.262889543198577e-6
Pyrans,Organism,4,0.05302168472893085,0.013255421182232713,20.008799594635335,1.1923979988855953e-8,5.804750697871634e-8
Pyrazines,Organism,4,0.05603994445441064,0.01400998611360266,14.286312864952187,5.208804864610805e-7,1.3281185655601428e-6
Pyrazolines,Organism,4,0.021322740075206216,0.005330685018801554,5.787350643266717,0.0011039058187137442,0.0013006124406653953
Pyridinecarboxylic acids,Organism,4,0.17399754530092756,0.04349938632523189,31.427476792006996,3.823228657782601e-11,3.456510806934066e-10
Pyridinecarboxylic acids and derivatives,Organism,4,0.10804794331567766,0.027011985828919415,18.229550654116604,3.54871149020733e-8,1.4042873234823348e-7
Pyridines and derivatives,Organism,4,0.05660425462283093,0.014151063655707733,13.183562053213807,1.1943553993641971e-6,2.6722194036279765e-6
Pyrimidine nucleosides,Organism,4,0.22683769262479034,0.056709423156197585,20.043300444100574,1.1682057230370396e-8,5.750168170060095e-8
Pyrimidine nucleotides,Organism,4,0.07896823764309824,0.01974205941077456,12.002095977865986,3.038849661413313e-6,6.009867857170079e-6
Pyrimidine ribonucleotides,Organism,4,0.28419294376930854,0.07104823594232713,30.918575573264892,4.7628092105227796e-11,4.137106824042336e-10
Pyrimidines and pyrimidine derivatives,Organism,4,0.027895538579349916,0.006973884644837479,8.123754244639358,9.62119440626523e-5,1.3506671653261342e-4
Pyrimidones,Organism,4,0.05422511917706427,0.013556279794266067,11.398766741446188,4.991491584780968e-6,9.137317239908963e-6
Pyrrole carboxylic acids,Organism,4,0.30716133959897945,0.07679033489974486,68.6309354815226,4.488350009068453e-16,3.937201318024758e-14
Pyrrole carboxylic acids and derivatives,Organism,4,0.15597082561476003,0.03899270640369001,22.645859535845453,2.6554588334314287e-9,1.5277509911819776e-8
Pyrroles,Organism,4,0.0636052262635089,0.015901306565877224,11.226532522201882,5.765781613907487e-6,1.0383094532361857e-5
Pyrrolidine-2-ones,Organism,4,0.03034994547374205,0.007587486368435512,10.66586890101049,9.29504128868363e-6,1.608477848002675e-5
Pyrrolidine carboxylic acids,Organism,4,0.08766511746704092,0.02191627936676023,34.095001326249644,1.2613442025526044e-11,1.3969387043270093e-10
Pyrrolidine carboxylic acids and derivatives,Organism,4,0.06442485839424704,0.01610621459856176,18.269555349913183,3.460144007461262e-8,1.398957228492528e-7
Pyrrolidinecarboxamides,Organism,4,0.05661015472147755,0.014152538680369387,7.569647863661607,1.6694013303795313e-4,2.2401552619759222e-4
Pyrrolidines,Organism,4,0.023243256194818637,0.005810814048704659,6.921443270567958,3.248629206782764e-4,4.1174174616431667e-4
Pyrrolidones,Organism,4,0.030747937192552477,0.007686984298138119,11.13420356979216,6.232144773107606e-6,1.1132419897123668e-5
Quaternary ammonium salts,Organism,4,0.07158711957879245,0.017896779894698112,8.724829032088842,5.3871293950313194e-5,7.979419716261213e-5
Quinolines and derivatives,Organism,4,0.020619174498872236,0.005154793624718059,5.446395836413021,0.0016191728083588036,0.0018777318170234293
Quinolizidines,Organism,4,0.009653504300563925,0.002413376075140981,6.272748867316787,6.478538600089484e-4,7.798892934346852e-4
Quinoxalines,Organism,4,0.14875398045108884,0.03718849511277221,15.18008620715619,2.731762980089868e-7,7.858253247920853e-7
Ribonucleoside 3'-phosphates,Organism,4,0.013424364862289062,0.0033560912155722656,4.740347964232966,0.003664365696927035,0.0040992777872188805
RT,Organism,4,0.01617064924800789,0.004042662312001973,5.317965673157935,0.0018740560299923324,0.002145237264306468
S,Organism,4,0.29928911080224724,0.07482227770056181,4.011834949324109,0.00880366926348031,0.00951225727737019
Secondary alcohols,Organism,4,0.01573577200020989,0.003933943000052472,6.169748805888848,7.245540042222093e-4,8.628425372861256e-4
Secondary amines,Organism,4,0.03541291509075424,0.00885322877268856,7.301850743463664,2.1917379099985462e-4,2.8726032370691003e-4
Secondary carboxylic acid amides,Organism,4,0.06745572519686013,0.016863931299215033,24.246691657511857,1.1314955734328955e-9,7.160750557582467e-9
Serine and derivatives,Organism,4,0.05022733998263873,0.012556834995659683,20.778106347323693,7.591631453962182e-9,3.910572946634008e-8
Sesquiterpenoids,Organism,4,0.009447275107333397,0.0023618187768333493,6.196558894601015,7.037128478997261e-4,8.402824571956299e-4
Sphingolipids,Organism,4,0.03737850092746424,0.00934462523186606,13.873210453930005,7.076127953154601e-7,1.7129643077855125e-6
Steroid esters,Organism,4,0.07874047549063691,0.019685118872659228,12.443539466849888,2.131539100100464e-6,4.4124851464696525e-6
Steroidal glycosides,Organism,4,0.007909398207926056,0.001977349551981514,4.781117137166788,0.0034925093693840355,0.003916915571233234
Steroids and steroid derivatives,Organism,4,0.0262674229215138,0.00656685573037845,5.295202809302202,0.0019234587251428363,0.0021961139567996816
Straight chain fatty acids,Organism,4,0.11112898443460464,0.02778224610865116,43.4068739981648,4.210309357261497e-13,7.450365152887636e-12
Styrenes,Organism,4,0.10493060236530827,0.026232650591327067,22.69809107231181,2.580859107225793e-9,1.5043691901329294e-8
Substituted imidazoles,Organism,4,0.03774176231398717,0.009435440578496792,13.035209824185372,1.3394214886696338e-6,2.937444155844791e-6
Substituted pyrroles,Organism,4,0.040656374853509564,0.010164093713377391,8.721602021732028,5.4036702367457424e-5,7.979419716261213e-5
Sulfenyl compounds,Organism,4,0.019069883676291175,0.004767470919072794,4.105675372673732,0.00784863887537204,0.008563908920664566
Sulfinyl compounds,Organism,4,0.05559476376677195,0.013898690941692987,18.329920478759995,3.330893327655066e-8,1.366283096436291e-7
Sulfoxides,Organism,4,0.04329882433258756,0.01082470608314689,17.757189086179675,4.795955867216475e-8,1.7558747513858663e-7
Terpene lactones,Organism,4,0.005838593365065945,0.0014596483412664862,4.374390481681607,0.005667011467631977,0.006260563790925102
Tertiary alcohols,Organism,4,0.042079346219214935,0.010519836554803734,14.55832636713002,4.269273770767256e-7,1.1462353214847845e-6
Tertiary alkylarylamines,Organism,4,0.11413897386178298,0.028534743465445746,21.866484889415634,4.085184997904256e-9,2.2621711925894818e-8
Tertiary amines,Organism,4,0.025085881906715377,0.006271470476678844,7.252415869014354,2.3056866280795162e-4,3.013035918109811e-4
Tertiary carboxylic acid amides,Organism,4,0.03219629917204637,0.008049074793011592,12.093270367833478,2.8226021934302594e-6,5.6579763424869e-6
Tetraalkylammonium salts,Organism,4,0.05798955150198991,0.014497387875497477,11.121523439944925,6.29923811062841e-6,1.1207078245013595e-5
Tetracarboxylic acids and derivatives,Organism,4,0.3494548078683396,0.0873637019670849,42.77710852570664,5.195624979090707e-13,8.524673576804382e-12
Tetrahydrofurans,Organism,4,0.02064555479961394,0.005161388699903485,6.951746925321133,3.147423801556066e-4,4.0066343220957965e-4
Tetrapyrroles and derivatives,Organism,4,0.14378304888065513,0.03594576222016378,17.11580954638616,7.279742856955851e-8,2.5194735043995643e-7
Tetrazoles,Organism,4,0.09284824788790284,0.02321206197197571,12.71992235785937,1.7131248157856113e-6,3.6486264105433936e-6
Thiadiazoles,Organism,4,0.012822953434045135,0.0032057383585112837,5.4615111997373695,0.0015916617935165594,0.001850672374088808
Thiazoles,Organism,4,0.03690167207949236,0.00922541801987309,8.136301304150459,9.503647468402958e-5,1.3408012192683155e-4
Thiols,Organism,4,0.02850687639632502,0.007126719099081255,4.870743739539625,0.0031436983877334056,0.0035436600146714976
Thiophosphoric acid esters,Organism,4,0.009298131742239622,0.0023245329355599054,7.650778326632902,1.538426632248109e-4,2.0841681898651752e-4
Triacylglycerols,Organism,4,0.021523755931037735,0.005380938982759434,6.502178394410299,5.060886316151721e-4,6.22770177237559e-4
Trialkylamines,Organism,4,0.029706875931826297,0.007426718982956574,7.499500325194627,1.7921135690383751e-4,2.391284069530121e-4
Triazines,Organism,4,0.05304176192660622,0.013260440481651556,16.212778896113516,1.3327209701131732e-7,4.3094553997090203e-7
Triazoles,Organism,4,0.037901246466088244,0.009475311616522061,11.544550663786948,4.421890646873278e-6,8.230662002373371e-6
Tricarboxylic acids and derivatives,Organism,4,0.22161655116644866,0.055404137791612164,53.33800596933676,2.053718303999616e-14,5.686232554198937e-13
Triradylcglycerols,Organism,4,0.007056772348988377,0.0017641930872470942,2.9316285371303352,0.034321494535154096,0.03594426023421576
Triterpenoids,Organism,4,0.015341879890606803,0.0038354699726517007,7.341215063215437,2.1052466563045193e-4,2.7674310645189973e-4
Tryptamines and derivatives,Organism,4,0.019565154541279654,0.004891288635319914,4.0396682796767776,0.008508378002403626,0.009238263370256877
Tyrosine and derivatives,Organism,4,0.023408379459133336,0.005852094864783334,7.688723592748166,1.4809260689569167e-4,2.0248464461355373e-4
Unsaturated aliphatic hydrocarbons,Organism,4,0.017120151016775827,0.004280037754193957,13.797977053303924,7.486438036960625e-7,1.8024413317247593e-6
Unsaturated fatty acids,Organism,4,0.024553304162015906,0.006138326040503976,14.085450138962203,6.041570108846403e-7,1.4960951527635993e-6
Unsaturated hydrocarbons,Organism,4,0.009643358319706634,0.0024108395799266585,11.971189425750854,3.116066587402204e-6,6.100314793003049e-6
Valine and derivatives,Organism,4,0.18650364910189415,0.04662591227547354,31.812013495345035,3.2441611465261564e-11,3.12426823458932e-10
Vinyl chlorides,Organism,4,0.03350210283574794,0.008375525708936985,18.144049319124004,3.746133336943178e-8,1.4430757115355027e-7
Vinyl halides,Organism,4,0.03497753010939221,0.008744382527348053,11.941736219651348,3.191581509944358e-6,6.17410746246878e-6
Vinylogous acids,Organism,4,0.05179806355914844,0.01294951588978711,19.28320246900783,1.8453142130217782e-8,8.505675075750884e-8
Vinylogous amides,Organism,4,0.08492349493592949,0.021230873733982372,17.247125717942666,6.678210543948453e-8,2.3294860401332007e-7
Vinylogous esters,Organism,4,0.11719626170633163,0.029299065426582907,26.096485725752416,4.4335756425681003e-10,3.068865640090107e-9
