feature,Pn-delicatissima,Pn-galaxiae,Pn-hasleana,Pn-multiseries,Pn-subpacifica,MeanDecreaseAccuracy,MeanDecreaseGini,mean_decrease_important,multiseries_important,delicatissima_important,galaxiae_important,hasleana_important,subpacifica_important
X8425,3.4666666666666665e-5,4.000000000000003e-6,7.269999999999999e-4,2.5666666666666663e-5,4.352380952380952e-5,1.6165278340510538e-4,0.014947903738406055,not important,not important,not important,not important,not important,not important
X8427,0,2.5e-5,-6e-6,5e-6,4e-6,7.238095238095238e-6,8.773766233766235e-4,not important,not important,not important,not important,not important,not important
X8428,2.2714285714285723e-5,5.136666666666666e-4,4.985238095238096e-4,5.199999999999998e-4,4.7699999999999994e-4,3.943069287094054e-4,0.015984941543197722,not important,not important,not important,not important,not important,not important
X8429,0,-8.333333333333334e-6,-6.666666666666665e-6,-1.6666666666666669e-6,1e-5,-2.567047331753214e-6,0.0011733203267320915,not important,not important,not important,not important,not important,not important
X8430,1.1666666666666665e-5,3.3333333333333337e-6,0,0,3.3333333333333333e-6,3.6029411764705883e-6,2.4194949494949495e-4,not important,not important,not important,not important,not important,not important
X8432,-6.666666666666667e-6,3.5e-5,-2.666666666666668e-6,-1.8000000000000004e-5,7.699999999999999e-5,2.1034259857789267e-5,0.0013907629215482225,not important,not important,not important,not important,not important,not important
X8434,1.7333333333333332e-5,-1.333333333333334e-6,1.6466666666666664e-4,5.1333333333333325e-5,4.8571428571428576e-5,5.366296122178475e-5,0.0034885109352811774,not important,not important,not important,not important,not important,not important
X8435,2e-5,1.3000000000000001e-5,1.8999999999999998e-5,0,5e-6,1.2227558389323097e-5,7.037802197802197e-4,not important,not important,not important,not important,not important,not important
X8438,-6.666666666666667e-6,0,1e-5,5e-6,4e-6,1.25e-6,3.4371406371406366e-4,not important,not important,not important,not important,not important,not important
X8439,2.166666666666667e-5,9.166666666666668e-5,2.6199999999999997e-4,-1.5e-5,-3.666666666666665e-6,7.16734146486469e-5,0.01027088337970476,not important,not important,not important,not important,not important,not important
X8440,-6.666666666666667e-6,-1.6666666666666664e-5,6.666666666666667e-6,-1.6666666666666664e-5,1.6666666666666662e-6,-8.395604395604396e-6,0.0010439665539139222,not important,not important,not important,not important,not important,not important
X8441,1.3000000000000001e-5,-6.133333333333332e-5,1.1102230246251566e-21,-1.2666666666666667e-5,4.366666666666667e-5,3.0838720103426004e-6,0.0019046125826180278,not important,not important,not important,not important,not important,not important
X8442,2.142857142857143e-6,1.4e-5,8e-6,1.1666666666666665e-5,0,1.0301659125188538e-5,4.419112554112554e-4,not important,not important,not important,not important,not important,not important
