Taxonomy,Exp2_Pn-delicatissima_A_I,Exp2_Pn-delicatissima_B_I,Exp2_Pn-galaxiae_A_I,Exp2_Pn-galaxiae_B_I,Exp2_Pn-hasleana_A_I,Exp2_Pn-hasleana_B_I,Exp2_Pn-multiseries_A_I,Exp2_Pn-multiseries_B_I,Exp2_Pn-subpacifica_A_I,Exp2_Pn-subpacifica_B_I
6637;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Nereida,0,0,0,0,0,0,0,0,0,7.939058276468253e-4
6889;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia;uncultured Thalassobacter sp.,0,0,0.46141367323290844,0.37819933754893104,0.4276604641438428,0.30826737027264733,0,0,0,0
6896;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,0,0,0,0,8.3629521220991e-4,0,0,0,0,0
7037;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Polaribacter 4,0.06904534931227019,0.08727927117309639,0,0,0,0,0.03665734700217459,0.02977761025254429,0.00417910447761194,0.003572576224410714
7259;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Umboniibacter;uncultured bacterium,0,0,0,0,0.00167259042441982,0.0030782761653474055,0,0,0,0
7309;Bacteria;Proteobacteria;Alphaproteobacteria,0,0,0,0,0,0,0,0.0024500565397663023,0,0
7316;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter,0,0,0,0,0,0,0,0,0,6.615881897056877e-4
7920;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella,0,0,0,0,0.20823750784026762,0.23966578715919085,0,0,0,0
7937;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,0,1.1247328759419637e-4,0,0,0,0,0,0,0,0
8570;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia;uncultured Thalassobacter sp.,0,0,0,0,0.009826468743466444,0,0,0,0,0
8702;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,0,0,0,0,0,0,0,0,4.08483896307934e-4,0
8714;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,0.011030913795451451,0.010347542458666066,0,0,0,0,0.03883193538365952,0.03562005277044855,0.0020109976433621366,0.0030622081923520404
8819;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,5.447364837259975e-4,0,0,0,0,0,0,0,0,0
9037;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hyphomonas,0.001089472967451995,3.374198627825891e-4,0,0,0,0,0.003727865796831314,0.0041462495288352805,0.00204241948153967,0.0022493998449993383
9404;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,0.010894729674519951,0,0,0,0,0,0,0,0,0
