sample_code,Pn_delicatissima,Pn_galaxiae,Pn_hasleana,Pn_multiersies,Pn_subpacifica,featureID,important_org,N,N/C,AI-mod,O,DBE,DBE/C
1455,0.0000623075,0.0000229628,0.0000123423,0.0000609299,0.0000336154,1455,not,0,0,0.25,6,5,0.454545455
1470,3.66029e-6,2.75437e-6,1.37526e-6,0.0000183857,0.0000936341,1470,not,4,0.363636364,0.384615385,1,5,0.454545455
1491,0.0000028043,0.0000183855,8.07076e-6,0.000299487,0.000546699,1491,not,4,0.333333333,0.571428571,2,7,0.583333333
1492,7.43985e-6,0.0000253803,8.54849e-6,0.000227026,0.000571444,1492,important,4,0.333333333,0.571428571,2,7,0.583333333
1522,2.80149e-7,3.74246e-7,2.25365e-7,0.000004869,9.27589e-7,1522,important,4,0.333333333,0.285714286,2,5,0.416666667
1542,8.13201e-7,8.95569e-7,4.09818e-7,0.0000118294,0.0000374138,1542,not,2,0.153846154,0.35,2,5.5,0.423076923
1551,1.83797e-6,7.35413e-7,3.10016e-7,4.97251e-6,0.0000264107,1551,not,4,0.363636364,0.5,2,6,0.545454545
1552,2.76967e-6,1.60531e-6,7.8335e-7,0.0000107464,0.0000170803,1552,not,0,0,0.111111111,6,4,0.333333333
1554,0.000012414,9.11585e-6,5.08074e-6,0.0000552985,0.000263144,1554,not,4,0.333333333,0.333333333,1,5,0.416666667
1555,2.27929e-6,2.87044e-6,1.20713e-6,0.0000193365,0.0000499126,1555,not,3,0.272727273,0,4,3.5,0.318181818
1560,4.66457e-7,5.94921e-7,1.40094e-7,4.24519e-6,0.0000635164,1560,not,1,0.071428571,0,3,1,0.071428571
1562,1.59337e-6,2.25542e-6,1.38984e-6,7.01646e-6,6.65238e-6,1562,not,0,0,0.461538462,4,8,0.533333333
1585,0.0000359862,0.0000521774,0.0000152739,0.000515932,0.000721522,1585,not,4,0.333333333,0.538461538,3,7,0.583333333
1586,0.0000247267,0.000036197,0.0000120014,0.00033977,0.000872828,1586,not,4,0.333333333,0.538461538,3,7,0.583333333
1603,0.0000579084,0.0000607835,0.0000311117,0.000650235,0.001318614,1603,not,4,0.333333333,0.384615385,3,6,0.5
1605,2.43019e-6,2.40577e-6,1.50815e-6,0.0000283947,0.000135745,1605,not,5,0.625,0,3,1,0.125
1611,1.02328e-6,1.53311e-6,8.17569e-7,2.58768e-6,2.75857e-6,1611,not,2,0.142857143,0.409090909,2,6.5,0.464285714
1618,9.97937e-6,0.0000014154,4.76249e-7,0.0000051606,0.000105855,1618,not,0,0,0.1,6,4,0.307692308
